iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
24,0.9764314056309163,2022-09-23 00:29:16.990012,2022-09-23 00:30:34.881811,0 days 00:01:17.891799,33.0,399.0,101.0,44.0,239.0,524.0,COMPLETE
255,0.9764280088893682,2022-09-23 04:46:00.024766,2022-09-23 04:47:22.047421,0 days 00:01:22.022655,25.0,390.0,127.0,40.0,217.0,552.0,COMPLETE
108,0.9764263553494292,2022-09-23 02:05:51.852189,2022-09-23 02:07:05.103825,0 days 00:01:13.251636,18.0,395.0,112.0,38.0,213.0,494.0,COMPLETE
127,0.9764263445683958,2022-09-23 02:28:18.152862,2022-09-23 02:29:37.956806,0 days 00:01:19.803944,23.0,397.0,109.0,39.0,171.0,538.0,COMPLETE
116,0.9764263409736829,2022-09-23 02:15:41.158360,2022-09-23 02:16:45.967207,0 days 00:01:04.808847,20.0,400.0,106.0,34.0,192.0,436.0,COMPLETE
51,0.9764232022855269,2022-09-23 00:58:41.134069,2022-09-23 01:00:02.798569,0 days 00:01:21.664500,28.0,399.0,102.0,44.0,246.0,550.0,COMPLETE
290,0.9764229799116007,2022-09-23 05:19:24.512535,2022-09-23 05:20:29.155442,0 days 00:01:04.642907,18.0,398.0,114.0,34.0,276.0,431.0,COMPLETE
157,0.9764213947303495,2022-09-23 03:02:55.693639,2022-09-23 03:03:43.931939,0 days 00:00:48.238300,26.0,393.0,108.0,46.0,250.0,321.0,COMPLETE
65,0.9764164305192542,2022-09-23 01:13:21.603600,2022-09-23 01:14:33.693239,0 days 00:01:12.089639,26.0,400.0,106.0,42.0,289.0,481.0,COMPLETE
73,0.9764163837615648,2022-09-23 01:23:24.802225,2022-09-23 01:24:44.048539,0 days 00:01:19.246314,24.0,391.0,99.0,44.0,240.0,532.0,COMPLETE
134,0.9764162935969601,2022-09-23 02:37:10.956057,2022-09-23 02:38:39.186788,0 days 00:01:28.230731,37.0,400.0,99.0,39.0,215.0,591.0,COMPLETE
248,0.9764114555248242,2022-09-23 04:37:48.678714,2022-09-23 04:39:07.317617,0 days 00:01:18.638903,26.0,392.0,128.0,37.0,215.0,527.0,COMPLETE
71,0.9764064949091603,2022-09-23 01:20:43.850315,2022-09-23 01:22:01.086281,0 days 00:01:17.235966,22.0,400.0,92.0,39.0,227.0,520.0,COMPLETE
234,0.9764032022101085,2022-09-23 04:20:51.360057,2022-09-23 04:22:11.584355,0 days 00:01:20.224298,16.0,400.0,109.0,38.0,298.0,536.0,COMPLETE
69,0.9764031338434175,2022-09-23 01:18:21.067126,2022-09-23 01:19:34.721904,0 days 00:01:13.654778,29.0,390.0,103.0,46.0,272.0,493.0,COMPLETE
56,0.9763997943182166,2022-09-23 01:03:53.966926,2022-09-23 01:05:13.787547,0 days 00:01:19.820621,39.0,400.0,97.0,43.0,203.0,538.0,COMPLETE
