iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
13,0.9739676425597558,2022-09-21 22:15:25.154514,2022-09-21 22:16:27.267960,0 days 00:01:02.113446,27,250,43,6,424,425,COMPLETE
54,0.9738732927010485,2022-09-21 22:56:13.684778,2022-09-21 22:56:33.418353,0 days 00:00:19.733575,20,279,89,10,426,130,COMPLETE
47,0.9738121057577288,2022-09-21 22:48:23.140557,2022-09-21 22:49:30.751554,0 days 00:01:07.610997,23,252,48,6,484,461,COMPLETE
9,0.9738104327753173,2022-09-21 22:11:31.851082,2022-09-21 22:11:57.139535,0 days 00:00:25.288453,21,251,91,9,281,173,COMPLETE
40,0.9736797401921189,2022-09-21 22:41:21.405884,2022-09-21 22:42:15.252567,0 days 00:00:53.846683,20,243,59,24,371,370,COMPLETE
20,0.9735887351978655,2022-09-21 22:21:57.764125,2022-09-21 22:23:09.284097,0 days 00:01:11.519972,19,239,72,30,315,494,COMPLETE
29,0.9735688637107733,2022-09-21 22:31:05.375864,2022-09-21 22:31:42.431153,0 days 00:00:37.055289,26,236,76,14,308,253,COMPLETE
68,0.9733157158136293,2022-09-21 23:10:35.074242,2022-09-21 23:11:46.356621,0 days 00:01:11.282379,19,224,85,6,290,497,COMPLETE
0,0.9731171546275762,2022-09-21 22:05:21.840094,2022-09-21 22:05:56.821304,0 days 00:00:34.981210,21,222,78,17,242,140,COMPLETE
17,0.9730625866227584,2022-09-21 22:19:14.156063,2022-09-21 22:20:18.676176,0 days 00:01:04.520113,23,228,43,13,415,446,COMPLETE
8,0.9728342370957345,2022-09-21 22:10:53.935096,2022-09-21 22:11:31.850908,0 days 00:00:37.915812,21,213,99,11,283,263,COMPLETE
56,0.9728127131664521,2022-09-21 22:57:40.592425,2022-09-21 22:58:37.146328,0 days 00:00:56.553903,21,206,77,9,378,392,COMPLETE
5,0.9727878982907969,2022-09-21 22:07:57.638163,2022-09-21 22:08:53.394079,0 days 00:00:55.755916,19,213,49,17,190,393,COMPLETE
30,0.9725000010582155,2022-09-21 22:31:42.431335,2022-09-21 22:32:39.852097,0 days 00:00:57.420762,22,197,38,19,387,400,COMPLETE
66,0.9724867829878538,2022-09-21 23:08:30.864351,2022-09-21 23:09:39.154835,0 days 00:01:08.290484,24,185,93,7,310,480,COMPLETE
1,0.9722583997161808,2022-09-21 22:05:56.821517,2022-09-21 22:06:23.288379,0 days 00:00:26.466862,17,177,53,7,203,188,COMPLETE
18,0.97188281997963,2022-09-21 22:20:18.676350,2022-09-21 22:21:13.546642,0 days 00:00:54.870292,16,178,35,8,374,386,COMPLETE
14,0.9715651417418711,2022-09-21 22:16:27.268131,2022-09-21 22:17:10.621527,0 days 00:00:43.353396,23,168,68,5,417,302,COMPLETE
85,0.9714791274520475,2022-09-21 23:28:28.312529,2022-09-21 23:29:30.149957,0 days 00:01:01.837428,22,164,69,6,501,434,COMPLETE
57,0.970990994583843,2022-09-21 22:58:37.146579,2022-09-21 22:59:46.860661,0 days 00:01:09.714082,18,135,87,12,424,498,COMPLETE
26,0.9708983195414954,2022-09-21 22:28:22.639946,2022-09-21 22:29:14.841535,0 days 00:00:52.201589,27,150,56,6,398,371,COMPLETE
3,0.9694174541009588,2022-09-21 22:06:38.063350,2022-09-21 22:07:41.016831,0 days 00:01:02.953481,29,128,95,26,180,464,COMPLETE
2,0.9691030620413073,2022-09-21 22:06:23.288599,2022-09-21 22:06:38.063189,0 days 00:00:14.774590,30,118,61,27,330,104,COMPLETE
35,0.9683965584874109,2022-09-21 22:36:43.650001,2022-09-21 22:37:36.466053,0 days 00:00:52.816052,22,107,68,8,390,385,COMPLETE
