iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
86,0.9095109703746886,2022-09-28 22:00:42.007778,2022-09-28 22:02:08.808888,0 days 00:01:26.801110,25.0,390.0,93.0,28.0,291.0,458.0,COMPLETE
93,0.9095043457522921,2022-09-28 22:12:20.306499,2022-09-28 22:13:56.603981,0 days 00:01:36.297482,34.0,398.0,88.0,40.0,577.0,495.0,COMPLETE
139,0.9095043457522921,2022-09-28 23:23:55.802851,2022-09-28 23:25:25.709910,0 days 00:01:29.907059,22.0,393.0,120.0,18.0,513.0,463.0,COMPLETE
29,0.9095010334410939,2022-09-28 20:29:42.473508,2022-09-28 20:31:11.532847,0 days 00:01:29.059339,33.0,385.0,82.0,29.0,288.0,469.0,COMPLETE
62,0.9094977211298956,2022-09-28 21:20:56.652582,2022-09-28 21:22:30.283339,0 days 00:01:33.630757,30.0,388.0,95.0,31.0,315.0,487.0,COMPLETE
15,0.9094977211298956,2022-09-28 20:06:51.949534,2022-09-28 20:08:28.290395,0 days 00:01:36.340861,25.0,399.0,73.0,11.0,231.0,508.0,COMPLETE
228,0.9094945558891164,2022-09-29 02:33:23.228301,2022-09-29 02:34:37.503039,0 days 00:01:14.274738,25.0,381.0,107.0,18.0,300.0,481.0,COMPLETE
283,0.9094945558891164,2022-09-29 03:43:04.889882,2022-09-29 03:44:22.998934,0 days 00:01:18.109052,28.0,394.0,93.0,18.0,313.0,500.0,COMPLETE
277,0.9094713612596672,2022-09-29 03:35:30.600896,2022-09-29 03:36:44.040576,0 days 00:01:13.439680,38.0,382.0,106.0,23.0,494.0,466.0,COMPLETE
217,0.9094713612596672,2022-09-29 02:19:38.721323,2022-09-29 02:20:55.868832,0 days 00:01:17.147509,26.0,392.0,90.0,21.0,537.0,487.0,COMPLETE
134,0.9094579733955165,2022-09-28 23:16:15.019264,2022-09-28 23:17:48.868495,0 days 00:01:33.849231,29.0,392.0,113.0,24.0,492.0,484.0,COMPLETE
1,0.9094579733955165,2022-09-28 19:44:04.461847,2022-09-28 19:45:39.918721,0 days 00:01:35.456874,23.0,380.0,98.0,13.0,520.0,493.0,COMPLETE
74,0.9094546610843182,2022-09-28 21:40:53.297948,2022-09-28 21:42:25.388338,0 days 00:01:32.090390,28.0,400.0,80.0,37.0,301.0,484.0,COMPLETE
289,0.9094315990377543,2022-09-29 03:50:32.359506,2022-09-29 03:51:47.084714,0 days 00:01:14.725208,26.0,388.0,111.0,20.0,276.0,483.0,COMPLETE
182,0.9094282855192615,2022-09-29 01:35:55.815134,2022-09-29 01:37:11.881660,0 days 00:01:16.066526,28.0,384.0,91.0,21.0,299.0,491.0,COMPLETE
198,0.909421658482276,2022-09-29 01:56:01.312884,2022-09-29 01:57:19.111098,0 days 00:01:17.798214,30.0,381.0,96.0,23.0,523.0,492.0,COMPLETE
183,0.909421658482276,2022-09-29 01:37:11.881930,2022-09-29 01:38:28.719545,0 days 00:01:16.837615,29.0,387.0,95.0,22.0,284.0,496.0,COMPLETE
230,0.9094183449637833,2022-09-29 02:35:55.390615,2022-09-29 02:37:12.129094,0 days 00:01:16.738479,28.0,385.0,92.0,22.0,543.0,485.0,COMPLETE
96,0.9094182256611373,2022-09-28 22:17:10.189492,2022-09-28 22:18:40.107871,0 days 00:01:29.918379,27.0,397.0,70.0,23.0,599.0,462.0,COMPLETE
103,0.9094149133499391,2022-09-28 22:27:58.379983,2022-09-28 22:29:33.131514,0 days 00:01:34.751531,32.0,395.0,88.0,33.0,556.0,488.0,COMPLETE
54,0.9094116010387407,2022-09-28 21:08:23.240710,2022-09-28 21:09:57.666289,0 days 00:01:34.425579,36.0,393.0,88.0,21.0,295.0,497.0,COMPLETE
59,0.9094082887275425,2022-09-28 21:16:00.706285,2022-09-28 21:17:41.320671,0 days 00:01:40.614386,31.0,395.0,93.0,37.0,343.0,522.0,COMPLETE
186,0.9094050908898123,2022-09-29 01:41:00.266850,2022-09-29 01:42:13.734949,0 days 00:01:13.468099,30.0,381.0,108.0,24.0,303.0,475.0,COMPLETE
111,0.9094049764163442,2022-09-28 22:41:00.662081,2022-09-28 22:42:37.859038,0 days 00:01:37.196957,31.0,391.0,87.0,23.0,591.0,500.0,COMPLETE
252,0.9094017773713196,2022-09-29 03:04:17.468217,2022-09-29 03:05:33.344036,0 days 00:01:15.875819,27.0,386.0,107.0,24.0,310.0,485.0,COMPLETE
209,0.909395150334334,2022-09-29 02:09:47.735523,2022-09-29 02:10:59.439264,0 days 00:01:11.703741,28.0,393.0,84.0,23.0,281.0,463.0,COMPLETE
31,0.9093851025491547,2022-09-28 20:32:40.478137,2022-09-28 20:34:04.005900,0 days 00:01:23.527763,26.0,382.0,85.0,36.0,288.0,439.0,COMPLETE
94,0.9093851025491547,2022-09-28 22:13:56.604264,2022-09-28 22:15:39.033667,0 days 00:01:42.429403,36.0,388.0,97.0,40.0,586.0,527.0,COMPLETE
172,0.909381896260363,2022-09-29 01:23:21.697567,2022-09-29 01:24:37.804445,0 days 00:01:16.106878,29.0,379.0,112.0,20.0,281.0,491.0,COMPLETE
130,0.9093817902379564,2022-09-28 23:10:17.183327,2022-09-28 23:11:49.798464,0 days 00:01:32.615137,23.0,390.0,109.0,13.0,530.0,477.0,COMPLETE
255,0.9093752692233775,2022-09-29 03:07:59.437190,2022-09-29 03:09:14.663484,0 days 00:01:15.226294,30.0,376.0,84.0,19.0,523.0,477.0,COMPLETE
171,0.9093719557048848,2022-09-29 01:22:05.333370,2022-09-29 01:23:21.697317,0 days 00:01:16.363947,30.0,385.0,107.0,22.0,307.0,488.0,COMPLETE
148,0.9093652286819651,2022-09-28 23:37:36.212070,2022-09-28 23:39:06.500402,0 days 00:01:30.288332,23.0,393.0,110.0,17.0,294.0,475.0,COMPLETE
204,0.9093620151494065,2022-09-29 02:03:28.449488,2022-09-29 02:04:44.472250,0 days 00:01:16.022762,27.0,382.0,92.0,19.0,285.0,494.0,COMPLETE
238,0.9093587016309138,2022-09-29 02:46:04.799222,2022-09-29 02:47:24.527603,0 days 00:01:19.728381,26.0,373.0,83.0,5.0,316.0,512.0,COMPLETE
132,0.9093586040595686,2022-09-28 23:13:20.772514,2022-09-28 23:14:49.945353,0 days 00:01:29.172839,25.0,395.0,117.0,15.0,546.0,458.0,COMPLETE
184,0.9093487610754356,2022-09-29 01:38:28.719819,2022-09-29 01:39:44.004910,0 days 00:01:15.285091,28.0,390.0,104.0,21.0,310.0,481.0,COMPLETE
191,0.9093421340384501,2022-09-29 01:47:14.576394,2022-09-29 01:48:32.542813,0 days 00:01:17.966419,28.0,385.0,91.0,22.0,339.0,498.0,COMPLETE
105,0.909338730192379,2022-09-28 22:31:09.630211,2022-09-28 22:32:38.897049,0 days 00:01:29.266838,33.0,388.0,85.0,25.0,339.0,466.0,COMPLETE
276,0.9093355070014646,2022-09-29 03:34:15.302844,2022-09-29 03:35:30.600622,0 days 00:01:15.297778,25.0,374.0,82.0,20.0,310.0,484.0,COMPLETE
78,0.9093321055699826,2022-09-28 21:47:16.105785,2022-09-28 21:48:49.955344,0 days 00:01:33.849559,33.0,388.0,100.0,33.0,297.0,493.0,COMPLETE
188,0.9093288799644791,2022-09-29 01:43:31.149235,2022-09-29 01:44:47.849141,0 days 00:01:16.699906,29.0,387.0,101.0,19.0,449.0,486.0,COMPLETE
82,0.9093287932587842,2022-09-28 21:54:10.810985,2022-09-28 21:55:54.634487,0 days 00:01:43.823502,32.0,394.0,95.0,34.0,311.0,541.0,COMPLETE
21,0.909325480947586,2022-09-28 20:17:02.623983,2022-09-28 20:18:38.434785,0 days 00:01:35.810802,27.0,395.0,71.0,10.0,233.0,507.0,COMPLETE
224,0.9093222529274936,2022-09-29 02:28:25.503807,2022-09-29 02:29:41.376387,0 days 00:01:15.872580,29.0,383.0,111.0,21.0,318.0,485.0,COMPLETE
27,0.9093221686363877,2022-09-28 20:26:24.311259,2022-09-28 20:28:01.643620,0 days 00:01:37.332361,22.0,400.0,103.0,21.0,254.0,512.0,COMPLETE
124,0.9093188563251895,2022-09-28 23:01:07.104485,2022-09-28 23:02:39.775716,0 days 00:01:32.671231,26.0,400.0,111.0,18.0,518.0,477.0,COMPLETE
287,0.9093156258905081,2022-09-29 03:48:04.294206,2022-09-29 03:49:19.882235,0 days 00:01:15.588029,30.0,386.0,91.0,4.0,300.0,490.0,COMPLETE
229,0.9093156258905081,2022-09-29 02:34:37.503282,2022-09-29 02:35:55.390359,0 days 00:01:17.887077,29.0,375.0,99.0,20.0,320.0,499.0,COMPLETE
113,0.9093155440139912,2022-09-28 22:44:15.763256,2022-09-28 22:45:51.107251,0 days 00:01:35.343995,30.0,400.0,92.0,34.0,580.0,489.0,COMPLETE
266,0.9093056853350299,2022-09-29 03:21:25.877690,2022-09-29 03:22:40.261308,0 days 00:01:14.383618,29.0,398.0,105.0,21.0,485.0,470.0,COMPLETE
207,0.9092990582980444,2022-09-29 02:07:13.304572,2022-09-29 02:08:31.107838,0 days 00:01:17.803266,29.0,386.0,81.0,22.0,296.0,504.0,COMPLETE
258,0.9092957447795517,2022-09-29 03:11:41.804927,2022-09-29 03:12:57.502940,0 days 00:01:15.698013,26.0,378.0,80.0,18.0,317.0,487.0,COMPLETE
102,0.9092923578356034,2022-09-28 22:26:20.665888,2022-09-28 22:27:58.379755,0 days 00:01:37.713867,27.0,386.0,91.0,28.0,524.0,504.0,COMPLETE
48,0.9092890455244051,2022-09-28 20:59:16.061629,2022-09-28 21:01:07.035527,0 days 00:01:50.973898,28.0,391.0,87.0,26.0,560.0,572.0,COMPLETE
112,0.9092890455244051,2022-09-28 22:42:37.859277,2022-09-28 22:44:15.763016,0 days 00:01:37.903739,35.0,389.0,89.0,37.0,319.0,510.0,COMPLETE
163,0.9092824907055806,2022-09-29 01:11:26.615246,2022-09-29 01:12:44.037584,0 days 00:01:17.422338,28.0,381.0,104.0,21.0,292.0,501.0,COMPLETE
298,0.9092824907055806,2022-09-29 04:02:06.764337,2022-09-29 04:03:20.941044,0 days 00:01:14.176707,29.0,386.0,87.0,19.0,309.0,475.0,COMPLETE
263,0.9092659231131169,2022-09-29 03:17:48.658318,2022-09-29 03:19:02.005395,0 days 00:01:13.347077,30.0,394.0,103.0,20.0,460.0,465.0,COMPLETE
128,0.9092658593460172,2022-09-28 23:07:11.203978,2022-09-28 23:08:46.059536,0 days 00:01:34.855558,24.0,392.0,103.0,20.0,547.0,488.0,COMPLETE
271,0.9092592960761314,2022-09-29 03:27:34.192628,2022-09-29 03:28:48.931513,0 days 00:01:14.738885,27.0,400.0,100.0,22.0,531.0,472.0,COMPLETE
214,0.9092592960761314,2022-09-29 02:15:59.636603,2022-09-29 02:17:12.467980,0 days 00:01:12.831377,26.0,387.0,95.0,20.0,288.0,472.0,COMPLETE
92,0.9092592347236208,2022-09-28 22:10:48.071837,2022-09-28 22:12:20.306267,0 days 00:01:32.234430,33.0,391.0,82.0,38.0,592.0,476.0,COMPLETE
244,0.9092526690391459,2022-09-29 02:53:55.349207,2022-09-29 02:55:15.181379,0 days 00:01:19.832172,27.0,378.0,91.0,26.0,278.0,518.0,COMPLETE
