iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
201,0.952086343332052,2022-09-23 21:19:13.686522,2022-09-23 21:19:58.609385,0 days 00:00:44.922863,21.0,346.0,105.0,9.0,492.0,297.0,COMPLETE
64,0.9520764020518803,2022-09-23 19:24:29.058615,2022-09-23 19:25:13.312187,0 days 00:00:44.253572,29.0,344.0,104.0,7.0,479.0,290.0,COMPLETE
242,0.9520598332515939,2022-09-23 21:50:43.414668,2022-09-23 21:51:29.411789,0 days 00:00:45.997121,19.0,348.0,115.0,4.0,489.0,304.0,COMPLETE
262,0.9520565194915367,2022-09-23 22:04:53.697339,2022-09-23 22:05:38.291085,0 days 00:00:44.593746,19.0,341.0,117.0,4.0,490.0,293.0,COMPLETE
190,0.9520498919714221,2022-09-23 21:10:26.592196,2022-09-23 21:11:11.462100,0 days 00:00:44.869904,21.0,345.0,94.0,18.0,490.0,296.0,COMPLETE
28,0.9520489616848969,2022-09-23 18:42:43.161631,2022-09-23 18:43:37.002217,0 days 00:00:53.840586,22.0,330.0,75.0,9.0,460.0,277.0,COMPLETE
24,0.9520423344941963,2022-09-23 18:37:38.180667,2022-09-23 18:38:36.766459,0 days 00:00:58.585792,27.0,333.0,85.0,6.0,491.0,302.0,COMPLETE
34,0.9520390208988458,2022-09-23 18:48:19.305136,2022-09-23 18:50:03.186745,0 days 00:01:43.881609,32.0,350.0,66.0,6.0,422.0,537.0,COMPLETE
208,0.9520366369311931,2022-09-23 21:24:30.224303,2022-09-23 21:25:16.174600,0 days 00:00:45.950297,23.0,348.0,111.0,8.0,482.0,303.0,COMPLETE
175,0.9520333231711359,2022-09-23 20:59:15.635175,2022-09-23 20:59:59.735145,0 days 00:00:44.099970,23.0,340.0,107.0,11.0,482.0,291.0,COMPLETE
297,0.9520300094110785,2022-09-23 22:30:39.327730,2022-09-23 22:31:26.739717,0 days 00:00:47.411987,21.0,341.0,109.0,5.0,476.0,313.0,COMPLETE
251,0.9520300094110785,2022-09-23 21:57:18.896403,2022-09-23 21:57:58.785459,0 days 00:00:39.889056,19.0,341.0,120.0,4.0,483.0,261.0,COMPLETE
257,0.9520300094110785,2022-09-23 22:01:31.590546,2022-09-23 22:02:13.009300,0 days 00:00:41.418754,19.0,337.0,120.0,4.0,485.0,272.0,COMPLETE
238,0.952023381890964,2022-09-23 21:47:46.000062,2022-09-23 21:48:29.365211,0 days 00:00:43.365149,19.0,350.0,116.0,8.0,455.0,286.0,COMPLETE
167,0.952023381890964,2022-09-23 20:53:24.624091,2022-09-23 20:54:12.329593,0 days 00:00:47.705502,19.0,350.0,116.0,6.0,468.0,314.0,COMPLETE
133,0.9520200681309068,2022-09-23 20:26:31.689115,2022-09-23 20:27:25.386232,0 days 00:00:53.697117,21.0,350.0,113.0,5.0,460.0,355.0,COMPLETE
278,0.9520167543708495,2022-09-23 22:16:44.151411,2022-09-23 22:17:28.806134,0 days 00:00:44.654723,19.0,345.0,115.0,6.0,303.0,300.0,COMPLETE
233,0.9520001855705632,2022-09-23 21:43:45.199485,2022-09-23 21:44:35.294363,0 days 00:00:50.094878,21.0,350.0,112.0,7.0,453.0,332.0,COMPLETE
249,0.951996871810506,2022-09-23 21:55:54.793771,2022-09-23 21:56:36.357285,0 days 00:00:41.563514,19.0,337.0,120.0,5.0,485.0,273.0,COMPLETE
194,0.9519902442903915,2022-09-23 21:13:49.678045,2022-09-23 21:14:37.639817,0 days 00:00:47.961772,22.0,350.0,111.0,17.0,471.0,318.0,COMPLETE
266,0.9519803030102196,2022-09-23 22:07:46.908197,2022-09-23 22:08:46.942857,0 days 00:01:00.034660,20.0,344.0,119.0,5.0,490.0,398.0,COMPLETE
86,0.9519803030102196,2022-09-23 19:44:23.606372,2022-09-23 19:45:37.618460,0 days 00:01:14.012088,34.0,348.0,78.0,6.0,458.0,492.0,COMPLETE
163,0.9519769892501624,2022-09-23 20:50:24.024371,2022-09-23 20:51:08.411085,0 days 00:00:44.386714,21.0,347.0,112.0,7.0,474.0,292.0,COMPLETE
259,0.9519769892501624,2022-09-23 22:02:52.798523,2022-09-23 22:03:35.410761,0 days 00:00:42.612238,19.0,338.0,118.0,5.0,477.0,280.0,COMPLETE
267,0.9519703617300479,2022-09-23 22:08:46.943154,2022-09-23 22:09:32.332734,0 days 00:00:45.389580,19.0,340.0,118.0,4.0,482.0,299.0,COMPLETE
111,0.9519670479699905,2022-09-23 20:08:22.716524,2022-09-23 20:09:05.429600,0 days 00:00:42.713076,28.0,349.0,113.0,4.0,468.0,281.0,COMPLETE
84,0.9519670479699905,2022-09-23 19:41:43.690785,2022-09-23 19:43:00.148277,0 days 00:01:16.457492,33.0,348.0,72.0,23.0,421.0,509.0,COMPLETE
166,0.9519571066898188,2022-09-23 20:52:38.710125,2022-09-23 20:53:24.623600,0 days 00:00:45.913475,18.0,343.0,117.0,12.0,490.0,303.0,COMPLETE
260,0.9519537929297616,2022-09-23 22:03:35.411079,2022-09-23 22:04:15.692529,0 days 00:00:40.281450,19.0,334.0,120.0,5.0,483.0,265.0,COMPLETE
29,0.9519462402290357,2022-09-23 18:43:37.002459,2022-09-23 18:44:52.996936,0 days 00:01:15.994477,32.0,345.0,58.0,6.0,498.0,390.0,COMPLETE
263,0.9519405378895325,2022-09-23 22:05:38.291386,2022-09-23 22:06:21.005911,0 days 00:00:42.714525,19.0,339.0,118.0,6.0,480.0,281.0,COMPLETE
