iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
251,0.9673008679595023,2022-09-28 18:50:00.528907,2022-09-28 18:51:11.000920,0 days 00:01:10.472013,35.0,398.0,148.0,33.0,494.0,451.0,COMPLETE
198,0.9672974598295768,2022-09-28 17:14:50.770863,2022-09-28 17:16:18.884066,0 days 00:01:28.113203,33.0,396.0,150.0,33.0,499.0,453.0,COMPLETE
75,0.9672946331548019,2022-09-28 14:19:42.603885,2022-09-28 14:21:12.430525,0 days 00:01:29.826640,31.0,400.0,147.0,15.0,517.0,460.0,COMPLETE
87,0.9672857590006365,2022-09-28 14:37:32.235982,2022-09-28 14:38:59.259359,0 days 00:01:27.023377,27.0,391.0,129.0,4.0,555.0,446.0,COMPLETE
73,0.96727192158766,2022-09-28 14:17:00.129294,2022-09-28 14:18:20.982439,0 days 00:01:20.853145,33.0,400.0,142.0,14.0,528.0,415.0,COMPLETE
110,0.9672612971580229,2022-09-28 15:09:10.393443,2022-09-28 15:10:22.688033,0 days 00:01:12.294590,50.0,383.0,133.0,24.0,151.0,381.0,COMPLETE
238,0.9672594702846021,2022-09-28 18:34:25.609066,2022-09-28 18:35:37.879525,0 days 00:01:12.270459,32.0,398.0,150.0,32.0,490.0,463.0,COMPLETE
223,0.9672576231982173,2022-09-28 18:16:45.379240,2022-09-28 18:18:01.163282,0 days 00:01:15.784042,32.0,397.0,145.0,35.0,486.0,439.0,COMPLETE
163,0.967257129183909,2022-09-28 16:24:41.246354,2022-09-28 16:26:07.197025,0 days 00:01:25.950671,29.0,393.0,144.0,21.0,493.0,442.0,COMPLETE
248,0.9672569399134516,2022-09-28 18:46:25.224170,2022-09-28 18:47:35.212115,0 days 00:01:09.987945,36.0,398.0,147.0,36.0,469.0,448.0,COMPLETE
255,0.967246215431455,2022-09-28 18:54:47.895990,2022-09-28 18:56:00.994336,0 days 00:01:13.098346,33.0,395.0,148.0,30.0,486.0,468.0,COMPLETE
244,0.9672437436325885,2022-09-28 18:41:37.926273,2022-09-28 18:42:49.408748,0 days 00:01:11.482475,34.0,400.0,150.0,34.0,471.0,458.0,COMPLETE
111,0.9672373393004159,2022-09-28 15:10:22.688277,2022-09-28 15:11:51.288720,0 days 00:01:28.600443,31.0,398.0,147.0,16.0,361.0,459.0,COMPLETE
262,0.9672340410526575,2022-09-28 19:02:33.007341,2022-09-28 19:03:42.678692,0 days 00:01:09.671351,32.0,395.0,146.0,28.0,359.0,450.0,COMPLETE
269,0.9672235756163428,2022-09-28 19:10:42.270873,2022-09-28 19:11:49.940999,0 days 00:01:07.670126,34.0,393.0,144.0,35.0,459.0,433.0,COMPLETE
294,0.9672175103371389,2022-09-28 19:32:19.055747,2022-09-28 19:33:26.956293,0 days 00:01:07.900546,35.0,390.0,150.0,27.0,455.0,434.0,COMPLETE
208,0.9672080356859942,2022-09-28 17:30:13.910057,2022-09-28 17:31:39.961773,0 days 00:01:26.051716,38.0,400.0,145.0,29.0,140.0,453.0,COMPLETE
257,0.9672072783415758,2022-09-28 18:57:11.890478,2022-09-28 18:58:21.306168,0 days 00:01:09.415690,32.0,397.0,147.0,29.0,497.0,444.0,COMPLETE
187,0.9671872856886625,2022-09-28 16:58:32.509877,2022-09-28 16:59:57.006128,0 days 00:01:24.496251,31.0,397.0,144.0,27.0,578.0,433.0,COMPLETE
101,0.9671725079429864,2022-09-28 14:55:58.033651,2022-09-28 14:57:24.162911,0 days 00:01:26.129260,31.0,400.0,149.0,15.0,521.0,442.0,COMPLETE
32,0.9671714683818665,2022-09-28 13:23:30.682030,2022-09-28 13:24:43.990212,0 days 00:01:13.308182,45.0,392.0,142.0,18.0,144.0,387.0,COMPLETE
272,0.9671708715070801,2022-09-28 19:14:07.798915,2022-09-28 19:15:18.160238,0 days 00:01:10.361323,35.0,393.0,150.0,36.0,512.0,449.0,COMPLETE
176,0.9671696387745771,2022-09-28 16:43:11.653491,2022-09-28 16:44:44.517904,0 days 00:01:32.864413,30.0,393.0,147.0,7.0,519.0,477.0,COMPLETE
190,0.9671618066984569,2022-09-28 17:02:54.677555,2022-09-28 17:04:25.659450,0 days 00:01:30.981895,33.0,398.0,150.0,28.0,503.0,468.0,COMPLETE
219,0.9671600451316515,2022-09-28 17:46:38.391521,2022-09-28 17:48:03.676404,0 days 00:01:25.284883,34.0,400.0,143.0,46.0,512.0,438.0,COMPLETE
280,0.9671504130015207,2022-09-28 19:21:12.335455,2022-09-28 19:21:46.408188,0 days 00:00:34.072733,33.0,398.0,147.0,31.0,498.0,214.0,COMPLETE
266,0.9671502999795548,2022-09-28 19:07:14.658561,2022-09-28 19:08:23.598618,0 days 00:01:08.940057,44.0,400.0,69.0,44.0,493.0,443.0,COMPLETE
226,0.9671497856981728,2022-09-28 18:20:23.806956,2022-09-28 18:21:37.265253,0 days 00:01:13.458297,31.0,397.0,143.0,27.0,532.0,468.0,COMPLETE
212,0.9671492792469555,2022-09-28 17:36:03.782866,2022-09-28 17:37:32.956587,0 days 00:01:29.173721,32.0,393.0,144.0,31.0,503.0,460.0,COMPLETE
23,0.9671404446946242,2022-09-28 13:10:28.462594,2022-09-28 13:11:53.180814,0 days 00:01:24.718220,50.0,390.0,150.0,30.0,327.0,440.0,COMPLETE
185,0.9671386268841482,2022-09-28 16:55:39.843833,2022-09-28 16:57:07.945414,0 days 00:01:28.101581,30.0,389.0,140.0,20.0,597.0,450.0,COMPLETE
256,0.967121848369138,2022-09-28 18:56:00.994663,2022-09-28 18:57:11.890182,0 days 00:01:10.895519,35.0,400.0,145.0,31.0,469.0,453.0,COMPLETE
122,0.9671180632518146,2022-09-28 15:26:11.444460,2022-09-28 15:27:36.371077,0 days 00:01:24.926617,30.0,400.0,143.0,24.0,431.0,438.0,COMPLETE
54,0.9671079247035316,2022-09-28 13:50:05.400908,2022-09-28 13:51:33.255885,0 days 00:01:27.854977,49.0,387.0,134.0,15.0,287.0,461.0,COMPLETE
177,0.9671003828561987,2022-09-28 16:44:44.518192,2022-09-28 16:46:07.525746,0 days 00:01:23.007554,32.0,397.0,144.0,6.0,418.0,428.0,COMPLETE
66,0.9670966608084358,2022-09-28 14:07:12.500909,2022-09-28 14:08:45.499451,0 days 00:01:32.998542,28.0,400.0,132.0,22.0,546.0,476.0,COMPLETE
47,0.9670886967546531,2022-09-28 13:41:54.737283,2022-09-28 13:43:14.706028,0 days 00:01:19.968745,41.0,400.0,146.0,13.0,159.0,421.0,COMPLETE
228,0.9670739101009531,2022-09-28 18:22:44.593495,2022-09-28 18:23:54.855556,0 days 00:01:10.262061,32.0,392.0,145.0,36.0,521.0,447.0,COMPLETE
137,0.9670593115181682,2022-09-28 15:47:30.109558,2022-09-28 15:48:59.113395,0 days 00:01:29.003837,35.0,388.0,135.0,25.0,460.0,458.0,COMPLETE
167,0.9670551566682967,2022-09-28 16:30:18.956068,2022-09-28 16:31:50.638362,0 days 00:01:31.682294,35.0,392.0,141.0,11.0,524.0,471.0,COMPLETE
