iteration,recall,datetime_start,datetime_complete,duration,metric,n_neighbors,state
79,0.8241281464530893,2022-06-15 22:26:42.109648,2022-06-15 22:27:20.203536,0 days 00:00:38.093888,minkowski,45,COMPLETE
65,0.8229565217391305,2022-06-15 22:17:48.024728,2022-06-15 22:18:26.096440,0 days 00:00:38.071712,manhattan,43,COMPLETE
52,0.8229565217391305,2022-06-15 22:09:35.098998,2022-06-15 22:10:13.151129,0 days 00:00:38.052131,manhattan,43,COMPLETE
17,0.8229565217391305,2022-06-15 21:47:27.889556,2022-06-15 21:48:05.924743,0 days 00:00:38.035187,manhattan,43,COMPLETE
15,0.8214187643020595,2022-06-15 21:46:11.934597,2022-06-15 21:46:49.901406,0 days 00:00:37.966809,chebyshev,41,COMPLETE
55,0.8214187643020595,2022-06-15 22:11:29.567876,2022-06-15 22:12:07.557502,0 days 00:00:37.989626,manhattan,41,COMPLETE
1,0.8192951945080091,2022-06-15 21:37:28.751983,2022-06-15 21:38:06.753191,0 days 00:00:38.001208,minkowski,39,COMPLETE
44,0.8192951945080091,2022-06-15 22:04:34.078322,2022-06-15 22:05:11.967712,0 days 00:00:37.889390,manhattan,39,COMPLETE
12,0.8185080091533181,2022-06-15 21:44:18.376738,2022-06-15 21:44:56.238144,0 days 00:00:37.861406,chebyshev,37,COMPLETE
59,0.8185080091533181,2022-06-15 22:14:00.870766,2022-06-15 22:14:38.744060,0 days 00:00:37.873294,chebyshev,37,COMPLETE
85,0.8180320366132723,2022-06-15 22:30:31.264016,2022-06-15 22:31:09.640385,0 days 00:00:38.376369,minkowski,50,COMPLETE
58,0.8180320366132723,2022-06-15 22:13:22.522212,2022-06-15 22:14:00.870644,0 days 00:00:38.348432,minkowski,50,COMPLETE
10,0.8180320366132723,2022-06-15 21:43:01.852359,2022-06-15 21:43:40.088616,0 days 00:00:38.236257,chebyshev,50,COMPLETE
11,0.8180320366132723,2022-06-15 21:43:40.088739,2022-06-15 21:44:18.376629,0 days 00:00:38.287890,chebyshev,50,COMPLETE
49,0.8180320366132723,2022-06-15 22:07:41.351537,2022-06-15 22:08:19.711659,0 days 00:00:38.360122,euclidean,50,COMPLETE
93,0.8180320366132723,2022-06-15 22:35:36.818286,2022-06-15 22:36:15.058478,0 days 00:00:38.240192,minkowski,50,COMPLETE
43,0.8180320366132723,2022-06-15 22:03:55.728208,2022-06-15 22:04:34.078146,0 days 00:00:38.349938,manhattan,50,COMPLETE
97,0.8180320366132723,2022-06-15 22:38:09.718965,2022-06-15 22:38:47.977520,0 days 00:00:38.258555,minkowski,50,COMPLETE
69,0.8180320366132723,2022-06-15 22:20:20.874449,2022-06-15 22:20:59.153321,0 days 00:00:38.278872,minkowski,50,COMPLETE
32,0.8180320366132723,2022-06-15 21:56:56.714578,2022-06-15 21:57:34.972437,0 days 00:00:38.257859,manhattan,50,COMPLETE
40,0.8177025171624714,2022-06-15 22:02:01.767479,2022-06-15 22:02:39.560768,0 days 00:00:37.793289,minkowski,35,COMPLETE
39,0.8169885583524027,2022-06-15 22:01:23.583930,2022-06-15 22:02:01.767346,0 days 00:00:38.183416,euclidean,48,COMPLETE
53,0.8169885583524027,2022-06-15 22:10:13.151314,2022-06-15 22:10:51.427726,0 days 00:00:38.276412,minkowski,48,COMPLETE
36,0.8169885583524027,2022-06-15 21:59:29.263196,2022-06-15 22:00:07.460464,0 days 00:00:38.197268,manhattan,48,COMPLETE
92,0.8169885583524027,2022-06-15 22:34:58.621447,2022-06-15 22:35:36.818110,0 days 00:00:38.196663,minkowski,48,COMPLETE
86,0.8169885583524027,2022-06-15 22:31:09.640538,2022-06-15 22:31:47.845136,0 days 00:00:38.204598,minkowski,48,COMPLETE
24,0.8169885583524027,2022-06-15 21:51:53.973162,2022-06-15 21:52:32.277693,0 days 00:00:38.304531,manhattan,48,COMPLETE
61,0.8169885583524027,2022-06-15 22:15:15.249778,2022-06-15 22:15:53.509214,0 days 00:00:38.259436,manhattan,48,COMPLETE
64,0.8169885583524027,2022-06-15 22:17:09.852519,2022-06-15 22:17:48.024601,0 days 00:00:38.172082,minkowski,48,COMPLETE
23,0.8161464530892448,2022-06-15 21:51:16.768652,2022-06-15 21:51:53.973006,0 days 00:00:37.204354,manhattan,31,COMPLETE
96,0.8161281464530893,2022-06-15 22:37:31.574616,2022-06-15 22:38:09.718788,0 days 00:00:38.144172,chebyshev,46,COMPLETE
27,0.8161281464530893,2022-06-15 21:53:47.595475,2022-06-15 21:54:25.699044,0 days 00:00:38.103569,manhattan,46,COMPLETE
62,0.8161281464530893,2022-06-15 22:15:53.509375,2022-06-15 22:16:31.661425,0 days 00:00:38.152050,minkowski,46,COMPLETE
54,0.8161281464530893,2022-06-15 22:10:51.427871,2022-06-15 22:11:29.567721,0 days 00:00:38.139850,minkowski,46,COMPLETE
88,0.8161281464530893,2022-06-15 22:32:25.867794,2022-06-15 22:33:03.978436,0 days 00:00:38.110642,minkowski,46,COMPLETE
84,0.8161281464530893,2022-06-15 22:29:53.115741,2022-06-15 22:30:31.263753,0 days 00:00:38.148012,minkowski,46,COMPLETE
34,0.8161281464530893,2022-06-15 21:58:12.937794,2022-06-15 21:58:51.184920,0 days 00:00:38.247126,manhattan,46,COMPLETE
83,0.8151212814645309,2022-06-15 22:29:15.023652,2022-06-15 22:29:53.115610,0 days 00:00:38.091958,minkowski,44,COMPLETE
48,0.8151212814645309,2022-06-15 22:07:03.324858,2022-06-15 22:07:41.351403,0 days 00:00:38.026545,euclidean,44,COMPLETE
38,0.8151212814645309,2022-06-15 22:00:45.422519,2022-06-15 22:01:23.583820,0 days 00:00:38.161301,manhattan,44,COMPLETE
35,0.8151212814645309,2022-06-15 21:58:51.185048,2022-06-15 21:59:29.263037,0 days 00:00:38.077989,euclidean,44,COMPLETE
90,0.8151212814645309,2022-06-15 22:33:42.204727,2022-06-15 22:34:20.385519,0 days 00:00:38.180792,minkowski,44,COMPLETE
26,0.8145537757437071,2022-06-15 21:53:10.428780,2022-06-15 21:53:47.595334,0 days 00:00:37.166554,manhattan,29,COMPLETE
87,0.8134736842105263,2022-06-15 22:31:47.845303,2022-06-15 22:32:25.867635,0 days 00:00:38.022332,minkowski,42,COMPLETE
16,0.8134736842105263,2022-06-15 21:46:49.901517,2022-06-15 21:47:27.889447,0 days 00:00:37.987930,chebyshev,42,COMPLETE
5,0.8134736842105263,2022-06-15 21:39:57.184403,2022-06-15 21:40:35.168604,0 days 00:00:37.984201,minkowski,42,COMPLETE
42,0.8134736842105263,2022-06-15 22:03:17.717409,2022-06-15 22:03:55.728011,0 days 00:00:38.010602,manhattan,42,COMPLETE
37,0.8113684210526316,2022-06-15 22:00:07.460586,2022-06-15 22:00:45.422402,0 days 00:00:37.961816,minkowski,40,COMPLETE
33,0.8113684210526316,2022-06-15 21:57:34.972563,2022-06-15 21:58:12.937676,0 days 00:00:37.965113,manhattan,40,COMPLETE
70,0.8110389016018307,2022-06-15 22:20:59.153474,2022-06-15 22:21:36.213511,0 days 00:00:37.060037,minkowski,25,COMPLETE
30,0.8090068649885583,2022-06-15 21:55:40.652692,2022-06-15 21:56:18.536587,0 days 00:00:37.883895,manhattan,38,COMPLETE
14,0.8080549199084668,2022-06-15 21:45:34.012810,2022-06-15 21:46:11.934480,0 days 00:00:37.921670,manhattan,36,COMPLETE
0,0.807908466819222,2022-06-15 21:36:51.772187,2022-06-15 21:37:28.751887,0 days 00:00:36.979700,minkowski,23,COMPLETE
28,0.8073592677345538,2022-06-15 21:54:25.699225,2022-06-15 21:55:03.448502,0 days 00:00:37.749277,manhattan,34,COMPLETE
13,0.8073592677345538,2022-06-15 21:44:56.238252,2022-06-15 21:45:34.012700,0 days 00:00:37.774448,chebyshev,34,COMPLETE
50,0.8058215102974828,2022-06-15 22:08:19.711781,2022-06-15 22:08:56.951442,0 days 00:00:37.239661,euclidean,32,COMPLETE
4,0.8046315789473685,2022-06-15 21:39:20.245282,2022-06-15 21:39:57.184297,0 days 00:00:36.939015,minkowski,21,COMPLETE
2,0.8045766590389016,2022-06-15 21:38:06.753316,2022-06-15 21:38:44.007598,0 days 00:00:37.254282,minkowski,30,COMPLETE
29,0.8000732265446224,2022-06-15 21:55:03.448611,2022-06-15 21:55:40.652563,0 days 00:00:37.203952,manhattan,26,COMPLETE
47,0.7883752860411899,2022-06-15 22:06:26.449346,2022-06-15 22:07:03.324692,0 days 00:00:36.875346,euclidean,20,COMPLETE
9,0.7846773455377575,2022-06-15 21:42:24.967240,2022-06-15 21:43:01.852223,0 days 00:00:36.884983,euclidean,18,COMPLETE
57,0.780741418764302,2022-06-15 22:12:45.791915,2022-06-15 22:13:22.522079,0 days 00:00:36.730164,minkowski,16,COMPLETE
8,0.7768237986270022,2022-06-15 21:41:48.317128,2022-06-15 21:42:24.967130,0 days 00:00:36.650002,minkowski,14,COMPLETE
7,0.7768237986270022,2022-06-15 21:41:11.596547,2022-06-15 21:41:48.316999,0 days 00:00:36.720452,euclidean,14,COMPLETE
60,0.7653272311212814,2022-06-15 22:14:38.744249,2022-06-15 22:15:15.249638,0 days 00:00:36.505389,euclidean,10,COMPLETE
6,0.7525308924485126,2022-06-15 21:40:35.168725,2022-06-15 21:41:11.596430,0 days 00:00:36.427705,manhattan,8,COMPLETE
45,0.7320640732265447,2022-06-15 22:05:11.967874,2022-06-15 22:05:48.265353,0 days 00:00:36.297479,manhattan,5,COMPLETE
3,0.6760091533180778,2022-06-15 21:38:44.007715,2022-06-15 21:39:20.245178,0 days 00:00:36.237463,euclidean,4,COMPLETE
