iteration,precision,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
291,0.9999785449162178,2022-06-12 18:44:39.590968,2022-06-12 18:44:40.511029,0 days 00:00:00.920061,1.9992673164075658,7896988,random,0.022267244043315745,COMPLETE
912,0.9999785449162178,2022-06-12 18:52:52.852614,2022-06-12 18:52:53.634265,0 days 00:00:00.781651,1.9995976145940737,9102769,random,0.02373835262275933,COMPLETE
903,0.9999785449162178,2022-06-12 18:52:44.683261,2022-06-12 18:52:45.463490,0 days 00:00:00.780229,1.9990089192219298,9144535,random,0.022131831744786012,COMPLETE
899,0.9999785449162178,2022-06-12 18:52:41.143527,2022-06-12 18:52:41.930488,0 days 00:00:00.786961,1.9997156211995617,8581956,random,0.0224799532953719,COMPLETE
289,0.9999785449162178,2022-06-12 18:44:38.152284,2022-06-12 18:44:38.794642,0 days 00:00:00.642358,1.9990424933951254,7758703,random,0.023152240977997635,COMPLETE
959,0.9999785449162178,2022-06-12 18:53:34.913842,2022-06-12 18:53:35.715671,0 days 00:00:00.801829,1.9991419143688538,4151412,random,0.024245320722447977,COMPLETE
366,0.9999785449162178,2022-06-12 18:45:32.373106,2022-06-12 18:45:33.022025,0 days 00:00:00.648919,1.9997033462999232,8184469,random,0.024925611878800637,COMPLETE
356,0.9999785449162178,2022-06-12 18:45:25.730209,2022-06-12 18:45:26.371457,0 days 00:00:00.641248,1.9998924798723658,8667075,random,0.026203921298477085,COMPLETE
973,0.9999785449162178,2022-06-12 18:53:48.023586,2022-06-12 18:53:48.821109,0 days 00:00:00.797523,1.9995424996515576,8280734,random,0.022758802019914946,COMPLETE
895,0.9999785449162178,2022-06-12 18:52:38.026015,2022-06-12 18:52:38.799020,0 days 00:00:00.773005,1.9990051464998004,8823190,random,0.02490733310397747,COMPLETE
402,0.9999785449162178,2022-06-12 18:45:58.711375,2022-06-12 18:45:59.350183,0 days 00:00:00.638808,1.999950092542146,7922654,random,0.023608639648304633,COMPLETE
988,0.9999785449162178,2022-06-12 18:54:00.916538,2022-06-12 18:54:01.727666,0 days 00:00:00.811128,1.9990343288700076,4204058,random,0.027063357271209516,COMPLETE
319,0.9999785449162178,2022-06-12 18:45:00.067244,2022-06-12 18:45:00.689161,0 days 00:00:00.621917,1.9998050614157477,8235271,random,0.025070874977380895,COMPLETE
336,0.9999785449162178,2022-06-12 18:45:12.440976,2022-06-12 18:45:13.077996,0 days 00:00:00.637020,1.9989051955094073,8091806,random,0.025199489573062214,COMPLETE
318,0.9999785449162178,2022-06-12 18:44:59.446922,2022-06-12 18:45:00.066904,0 days 00:00:00.619982,1.999519527613606,8084387,random,0.024228916845527054,COMPLETE
976,0.9999785449162178,2022-06-12 18:53:50.433098,2022-06-12 18:53:51.235816,0 days 00:00:00.802718,1.99864398993437,9997282,random,0.023701690894850424,COMPLETE
212,0.9999785444558874,2022-06-12 18:43:45.656426,2022-06-12 18:43:46.281012,0 days 00:00:00.624586,1.997809202048431,8710491,random,0.027216466861645795,COMPLETE
342,0.9999785444558874,2022-06-12 18:45:16.557144,2022-06-12 18:45:17.180409,0 days 00:00:00.623265,1.997841016940464,8205507,random,0.025054677218973316,COMPLETE
561,0.9999785444558874,2022-06-12 18:48:01.865667,2022-06-12 18:48:02.557122,0 days 00:00:00.691455,1.997893227709087,7982024,random,0.02425929910844906,COMPLETE
213,0.9999785444558874,2022-06-12 18:43:46.281257,2022-06-12 18:43:46.886060,0 days 00:00:00.604803,1.9969638360017332,8630067,random,0.025467320779842602,COMPLETE
622,0.9999785444558874,2022-06-12 18:48:49.904870,2022-06-12 18:48:50.613410,0 days 00:00:00.708540,1.9981879346008484,3413145,random,0.025103768850641972,COMPLETE
731,0.9999785444558874,2022-06-12 18:50:18.989952,2022-06-12 18:50:19.728468,0 days 00:00:00.738516,1.998398068827235,8891033,random,0.026230809809915132,COMPLETE
371,0.9999785444558874,2022-06-12 18:45:35.758933,2022-06-12 18:45:36.400110,0 days 00:00:00.641177,1.996242246484863,8240898,random,0.02406388679035599,COMPLETE
151,0.9999785444558874,2022-06-12 18:43:06.827502,2022-06-12 18:43:07.401067,0 days 00:00:00.573565,1.9976510982817812,9383675,random,0.026114716328762753,COMPLETE
950,0.9999785444558874,2022-06-12 18:53:26.855526,2022-06-12 18:53:27.723865,0 days 00:00:00.868339,1.9984424668658063,9274208,random,0.022749326132061386,COMPLETE
372,0.9999785444558874,2022-06-12 18:45:36.400450,2022-06-12 18:45:37.029764,0 days 00:00:00.629314,1.9984625451746256,8401692,random,0.023955549170560544,COMPLETE
983,0.9999785444558874,2022-06-12 18:53:56.434044,2022-06-12 18:53:57.584384,0 days 00:00:01.150340,1.9985326867413855,6809353,random,0.024292955096438223,COMPLETE
211,0.9999785444558874,2022-06-12 18:43:44.853817,2022-06-12 18:43:45.656186,0 days 00:00:00.802369,1.9973101123393426,8820790,random,0.026242150862468155,COMPLETE
549,0.9999785444558874,2022-06-12 18:47:52.950426,2022-06-12 18:47:53.649947,0 days 00:00:00.699521,1.9977190323719791,8524936,random,0.025884313794417566,COMPLETE
314,0.9999785444558874,2022-06-12 18:44:56.721075,2022-06-12 18:44:57.340214,0 days 00:00:00.619139,1.9971455417150377,7909945,random,0.024461647790026943,COMPLETE
720,0.9999785444558874,2022-06-12 18:50:10.256603,2022-06-12 18:50:10.981038,0 days 00:00:00.724435,1.9977793698840562,7803464,random,0.024041774916280165,COMPLETE
980,0.9999785444558874,2022-06-12 18:53:54.037277,2022-06-12 18:53:54.844603,0 days 00:00:00.807326,1.9979683174847211,8094650,random,0.02294568519652225,COMPLETE
511,0.9999785444558874,2022-06-12 18:47:22.732183,2022-06-12 18:47:23.761304,0 days 00:00:01.029121,1.9977820323730069,7832748,random,0.022581265791768612,COMPLETE
692,0.9999785444558874,2022-06-12 18:49:46.588118,2022-06-12 18:49:47.311762,0 days 00:00:00.723644,1.9985602275645549,7968007,random,0.022649163896640713,COMPLETE
221,0.9999785444558874,2022-06-12 18:43:51.191228,2022-06-12 18:43:51.841924,0 days 00:00:00.650696,1.9973788493578297,8334056,random,0.024858027974660468,COMPLETE
679,0.9999785444558874,2022-06-12 18:49:36.470845,2022-06-12 18:49:37.186724,0 days 00:00:00.715879,1.9984712866940704,8902974,random,0.02740243304495497,COMPLETE
194,0.9999785444558874,2022-06-12 18:43:34.160723,2022-06-12 18:43:34.779503,0 days 00:00:00.618780,1.992459501872836,8840539,random,0.026053317134907692,COMPLETE
191,0.9999785444558874,2022-06-12 18:43:32.326936,2022-06-12 18:43:32.926345,0 days 00:00:00.599409,1.9966450477165356,9225131,random,0.025962163246346884,COMPLETE
182,0.9999785444558874,2022-06-12 18:43:26.789232,2022-06-12 18:43:27.388468,0 days 00:00:00.599236,1.996799672337839,9394034,random,0.026306658305463325,COMPLETE
190,0.9999785444558874,2022-06-12 18:43:31.692705,2022-06-12 18:43:32.326635,0 days 00:00:00.633930,1.9930497406107612,9520267,random,0.025384345520630562,COMPLETE
272,0.9999785444558874,2022-06-12 18:44:26.547460,2022-06-12 18:44:27.157970,0 days 00:00:00.610510,1.9976503184039036,8353798,random,0.024360305040303582,COMPLETE
876,0.9999785444558874,2022-06-12 18:52:21.466699,2022-06-12 18:52:22.241539,0 days 00:00:00.774840,1.9981756446073937,7764021,random,0.02424616057356948,COMPLETE
847,0.9999785444558874,2022-06-12 18:51:55.720857,2022-06-12 18:51:56.491450,0 days 00:00:00.770593,1.9985931852953864,8701658,random,0.025876915483509403,COMPLETE
246,0.9999785444558874,2022-06-12 18:44:08.683784,2022-06-12 18:44:09.315087,0 days 00:00:00.631303,1.9969018885243772,8144206,random,0.025099972056309296,COMPLETE
241,0.9999785444558874,2022-06-12 18:44:05.165210,2022-06-12 18:44:05.778373,0 days 00:00:00.613163,1.996699107881392,7699294,random,0.023653515722016086,COMPLETE
399,0.9999785444558874,2022-06-12 18:45:56.316930,2022-06-12 18:45:56.952650,0 days 00:00:00.635720,1.9983756832336,8179014,random,0.025085830768754102,COMPLETE
450,0.9999785444558874,2022-06-12 18:46:35.232813,2022-06-12 18:46:35.925688,0 days 00:00:00.692875,1.9985458486957972,8650213,random,0.026100132029199506,COMPLETE
286,0.9999785444558874,2022-06-12 18:44:36.062693,2022-06-12 18:44:36.676189,0 days 00:00:00.613496,1.9970475425105618,8280729,random,0.024685751996430156,COMPLETE
257,0.9999785444558874,2022-06-12 18:44:16.172753,2022-06-12 18:44:16.798906,0 days 00:00:00.626153,1.9951667906482193,8218613,random,0.025043657219395703,COMPLETE
235,0.9999785444558874,2022-06-12 18:44:01.237342,2022-06-12 18:44:01.860284,0 days 00:00:00.622942,1.9983284292509886,7765012,random,0.02341355955075391,COMPLETE
843,0.9999785444558874,2022-06-12 18:51:52.761232,2022-06-12 18:51:53.530234,0 days 00:00:00.769002,1.998327788948497,6316677,random,0.027394337131478368,COMPLETE
902,0.9999785444558874,2022-06-12 18:52:43.896541,2022-06-12 18:52:44.682585,0 days 00:00:00.786044,1.9984685883043016,8338351,random,0.02554235651692685,COMPLETE
242,0.9999785444558874,2022-06-12 18:44:05.778668,2022-06-12 18:44:06.395944,0 days 00:00:00.617276,1.9982528518785696,7764817,random,0.023589038934772488,COMPLETE
228,0.9999785444558874,2022-06-12 18:43:55.793336,2022-06-12 18:43:56.419094,0 days 00:00:00.625758,1.9952951080143042,7791911,random,0.024176000086153497,COMPLETE
887,0.9999785444558874,2022-06-12 18:52:30.998825,2022-06-12 18:52:31.779796,0 days 00:00:00.780971,1.9968150820955148,8648618,random,0.025799715359961593,COMPLETE
260,0.9999785444558874,2022-06-12 18:44:18.551307,2022-06-12 18:44:19.152815,0 days 00:00:00.601508,1.998061672317292,7432954,random,0.0221037411371029,COMPLETE
224,0.9999785444558874,2022-06-12 18:43:53.077431,2022-06-12 18:43:53.691082,0 days 00:00:00.613651,1.9947344580149076,8326158,random,0.024635620389177083,COMPLETE
265,0.9999785444558874,2022-06-12 18:44:22.148951,2022-06-12 18:44:22.752321,0 days 00:00:00.603370,1.997693389371916,8530193,random,0.026681850951074164,COMPLETE
223,0.9999785444558874,2022-06-12 18:43:52.459370,2022-06-12 18:43:53.077172,0 days 00:00:00.617802,1.9981180498609457,8339945,random,0.024692629168969058,COMPLETE
95,0.9999785444558874,2022-06-12 18:42:31.973374,2022-06-12 18:42:32.497202,0 days 00:00:00.523828,1.9922574270939228,9307321,random,0.02644989221404901,COMPLETE
278,0.9999785444558874,2022-06-12 18:44:31.040416,2022-06-12 18:44:31.652860,0 days 00:00:00.612444,1.9966463519624205,8220645,random,0.024587447470073395,COMPLETE
227,0.9999785435351671,2022-06-12 18:43:55.159951,2022-06-12 18:43:55.793083,0 days 00:00:00.633132,1.9892305103123606,7547987,random,0.024887791087993407,COMPLETE
219,0.9999785435351671,2022-06-12 18:43:49.905889,2022-06-12 18:43:50.527648,0 days 00:00:00.621759,1.987888862490478,8236796,random,0.0244361038680027,COMPLETE
222,0.9999785435351671,2022-06-12 18:43:51.842204,2022-06-12 18:43:52.459119,0 days 00:00:00.616915,1.9880922540612695,8251661,random,0.024710555929214943,COMPLETE
218,0.9999785430747774,2022-06-12 18:43:49.300118,2022-06-12 18:43:49.905643,0 days 00:00:00.605525,1.9866625980175106,8330720,random,0.02474531217548036,COMPLETE
193,0.9999785426143679,2022-06-12 18:43:33.552143,2022-06-12 18:43:34.160469,0 days 00:00:00.608326,1.9790848497872888,9001713,random,0.026836455844442796,COMPLETE
534,0.9999785421539386,2022-06-12 18:47:41.277887,2022-06-12 18:47:41.952637,0 days 00:00:00.674750,1.9606174284952265,7842327,random,0.023512037212485487,COMPLETE
417,0.9999785421539386,2022-06-12 18:46:09.488818,2022-06-12 18:46:10.134172,0 days 00:00:00.645354,1.960186035817316,3858696,random,0.02365475146728596,COMPLETE
325,0.9999785421539386,2022-06-12 18:45:03.684636,2022-06-12 18:45:04.309549,0 days 00:00:00.624913,1.959926468398563,8376200,random,0.02530877777632725,COMPLETE
268,0.9999785421539386,2022-06-12 18:44:23.930390,2022-06-12 18:44:24.564802,0 days 00:00:00.634412,1.9603588278172257,7162471,random,0.02352314843962288,COMPLETE
166,0.9999785421539386,2022-06-12 18:43:16.469089,2022-06-12 18:43:17.047543,0 days 00:00:00.578454,1.9541100346760125,9296874,random,0.026223567410076466,COMPLETE
411,0.9999785421539386,2022-06-12 18:46:05.074147,2022-06-12 18:46:05.722795,0 days 00:00:00.648648,1.959375432682954,7776751,random,0.02705712285836796,COMPLETE
267,0.9999785421539386,2022-06-12 18:44:23.328977,2022-06-12 18:44:23.930105,0 days 00:00:00.601128,1.9571616350674104,7896542,random,0.023529621465875866,COMPLETE
377,0.9999785421539386,2022-06-12 18:45:39.510126,2022-06-12 18:45:40.148387,0 days 00:00:00.638261,1.9592010186359659,7903959,random,0.026339650342067734,COMPLETE
488,0.9999785421539386,2022-06-12 18:47:05.784865,2022-06-12 18:47:06.454938,0 days 00:00:00.670073,1.96107115876369,5895107,random,0.02564460718893959,COMPLETE
405,0.9999785421539386,2022-06-12 18:46:00.854004,2022-06-12 18:46:01.499607,0 days 00:00:00.645603,1.957201593504938,7641507,random,0.026803768742078342,COMPLETE
296,0.9999785421539386,2022-06-12 18:44:43.990664,2022-06-12 18:44:44.628652,0 days 00:00:00.637988,1.960104292980628,8113719,random,0.0218233365569835,COMPLETE
485,0.9999785421539386,2022-06-12 18:47:03.684064,2022-06-12 18:47:04.359026,0 days 00:00:00.674962,1.959951038442975,8413949,random,0.027056313386588086,COMPLETE
283,0.9999785421539386,2022-06-12 18:44:34.262389,2022-06-12 18:44:34.870329,0 days 00:00:00.607940,1.957831418125559,7922281,random,0.025752504355378247,COMPLETE
389,0.9999785421539386,2022-06-12 18:45:48.626260,2022-06-12 18:45:49.276305,0 days 00:00:00.650045,1.9591231149892996,8045206,random,0.027228012450125395,COMPLETE
209,0.9999785421539386,2022-06-12 18:43:43.386713,2022-06-12 18:43:44.082939,0 days 00:00:00.696226,1.9594899433716146,8623176,random,0.02696971109853926,COMPLETE
512,0.9999785421539386,2022-06-12 18:47:23.761739,2022-06-12 18:47:24.404387,0 days 00:00:00.642648,1.961129969358273,8399311,random,0.02410226488561388,COMPLETE
513,0.9999785421539386,2022-06-12 18:47:24.404829,2022-06-12 18:47:25.098563,0 days 00:00:00.693734,1.959896919986413,8433212,random,0.026168092254417068,COMPLETE
440,0.9999785421539386,2022-06-12 18:46:27.054657,2022-06-12 18:46:27.741242,0 days 00:00:00.686585,1.9549311459708036,9167580,random,0.02274568355124601,COMPLETE
207,0.9999785421539386,2022-06-12 18:43:42.192183,2022-06-12 18:43:42.810683,0 days 00:00:00.618500,1.9534333340830163,8796026,random,0.026370740216333982,COMPLETE
285,0.9999785421539386,2022-06-12 18:44:35.447460,2022-06-12 18:44:36.062389,0 days 00:00:00.614929,1.9599002663391043,7995535,random,0.025199995403560244,COMPLETE
254,0.9999785421539386,2022-06-12 18:44:14.081249,2022-06-12 18:44:14.715212,0 days 00:00:00.633963,1.9566884299059488,8585018,random,0.025447725370494355,COMPLETE
185,0.9999785421539386,2022-06-12 18:43:28.569631,2022-06-12 18:43:29.168737,0 days 00:00:00.599106,1.9578402195377742,9535417,random,0.026844140704306185,COMPLETE
312,0.9999785421539386,2022-06-12 18:44:55.486586,2022-06-12 18:44:56.100404,0 days 00:00:00.613818,1.9575330620933575,8776245,random,0.02497480596113978,COMPLETE
206,0.9999785421539386,2022-06-12 18:43:41.578251,2022-06-12 18:43:42.191855,0 days 00:00:00.613604,1.949149004108759,8607633,random,0.025900744660814896,COMPLETE
446,0.9999785421539386,2022-06-12 18:46:31.852065,2022-06-12 18:46:32.522399,0 days 00:00:00.670334,1.9590776233958243,8503193,random,0.02471696009615621,COMPLETE
203,0.9999785421539386,2022-06-12 18:43:39.763686,2022-06-12 18:43:40.397877,0 days 00:00:00.634191,1.960903996342086,8729868,random,0.026283795362694946,COMPLETE
358,0.9999785421539386,2022-06-12 18:45:26.969337,2022-06-12 18:45:27.597432,0 days 00:00:00.628095,1.9584835392722981,8659297,random,0.026387720310336947,COMPLETE
200,0.9999785421539386,2022-06-12 18:43:37.936831,2022-06-12 18:43:38.545686,0 days 00:00:00.608855,1.9611928211801655,9110358,random,0.026300149655073095,COMPLETE
248,0.9999785421539386,2022-06-12 18:44:09.902734,2022-06-12 18:44:10.543552,0 days 00:00:00.640818,1.9567741160638992,8140084,random,0.024928921197003472,COMPLETE
244,0.9999785421539386,2022-06-12 18:44:07.011794,2022-06-12 18:44:07.631589,0 days 00:00:00.619795,1.9601715129899808,7424425,random,0.023091495719890106,COMPLETE
362,0.9999785421539386,2022-06-12 18:45:29.630940,2022-06-12 18:45:30.278868,0 days 00:00:00.647928,1.9608178348195635,9076716,random,0.025769674205239613,COMPLETE
181,0.9999785421539386,2022-06-12 18:43:26.182322,2022-06-12 18:43:26.789005,0 days 00:00:00.606683,1.9556084749157825,9460066,random,0.026871264168264408,COMPLETE
163,0.9999785421539386,2022-06-12 18:43:14.323115,2022-06-12 18:43:14.923221,0 days 00:00:00.600106,1.9583324396689603,9581462,random,0.022785558377198454,COMPLETE
715,0.9999785421539386,2022-06-12 18:50:05.876070,2022-06-12 18:50:06.614206,0 days 00:00:00.738136,1.9575041365554486,7711663,random,0.02336359856323232,COMPLETE
798,0.9999785421539386,2022-06-12 18:51:14.244704,2022-06-12 18:51:14.992274,0 days 00:00:00.747570,1.9614380170856338,8258845,random,0.024582072719932777,COMPLETE
938,0.9999785421539386,2022-06-12 18:53:15.493070,2022-06-12 18:53:16.291992,0 days 00:00:00.798922,1.9597161290379685,5868623,random,0.022843276936316787,COMPLETE
740,0.9999785421539386,2022-06-12 18:50:25.787571,2022-06-12 18:50:26.532545,0 days 00:00:00.744974,1.9595972300994131,7919444,random,0.025064883783950696,COMPLETE
874,0.9999785421539386,2022-06-12 18:52:19.912510,2022-06-12 18:52:20.680414,0 days 00:00:00.767904,1.9548857823528256,8443664,random,0.025772694194699384,COMPLETE
