iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
1197,0.9304371876778559,2022-06-14 01:23:52.471370,2022-06-14 01:23:53.506544,0 days 00:00:01.035174,0.6072910607045416,True,0.32041858360425557,6930529.0,False,random,0.08751303799156386,COMPLETE
1288,0.9304372973438352,2022-06-14 01:25:34.937109,2022-06-14 01:25:36.059052,0 days 00:00:01.121943,0.7974586066084108,True,0.2437135741079477,8682561.0,False,random,0.08494535334765577,COMPLETE
1539,0.9304377432994377,2022-06-14 01:30:44.526818,2022-06-14 01:30:45.754993,0 days 00:00:01.228175,0.7227120136961134,True,0.2600410081089424,9084927.0,False,random,0.08918497362223086,COMPLETE
572,0.9304378529654169,2022-06-14 00:22:39.047297,2022-06-14 00:22:40.179686,0 days 00:00:01.132389,0.7693565128788348,True,0.24540080074868756,8500557.0,False,random,0.08664456843628489,COMPLETE
552,0.9304378529654169,2022-06-14 00:22:22.535326,2022-06-14 00:22:23.334649,0 days 00:00:00.799323,0.8327661772172642,True,0.22669831113933323,8073673.0,False,random,0.08881829088547205,COMPLETE
359,0.9304378529654169,2022-06-14 00:19:59.430765,2022-06-14 00:20:00.140847,0 days 00:00:00.710082,0.9204378799985284,True,0.20489162088000296,6204714.0,False,random,0.08298044900252904,COMPLETE
1880,0.9304380722973755,2022-06-14 01:38:35.730045,2022-06-14 01:38:37.131940,0 days 00:00:01.401895,0.5930604781080641,True,0.3219881409291086,8247899.0,False,random,0.07984645405250179,COMPLETE
844,0.9304380722973755,2022-06-14 00:26:37.505827,2022-06-14 00:26:38.451879,0 days 00:00:00.946052,0.9098655300655926,True,0.2086522466206213,6858315.0,False,random,0.08098181536067432,COMPLETE
1327,0.9304382916293341,2022-06-14 01:26:20.633081,2022-06-14 01:26:21.782885,0 days 00:00:01.149804,0.7224652903242773,True,0.2665602249801923,9153670.0,False,random,0.08223924414802766,COMPLETE
1021,0.9304384012953133,2022-06-14 01:20:45.155935,2022-06-14 01:20:46.187488,0 days 00:00:01.031553,0.5369975728001851,True,0.3617771067096382,8417268.0,False,random,0.08873980183262814,COMPLETE
1641,0.9304384012953133,2022-06-14 01:32:58.659280,2022-06-14 01:32:59.927264,0 days 00:00:01.267984,0.579033751974118,True,0.3351680543384786,9721136.0,False,random,0.0856315071877107,COMPLETE
1319,0.9304384012953133,2022-06-14 01:26:11.113716,2022-06-14 01:26:12.231952,0 days 00:00:01.118236,0.6541934537798894,True,0.2962116623726346,8568503.0,False,random,0.08976658833642577,COMPLETE
1169,0.9304385109612928,2022-06-14 01:23:21.756327,2022-06-14 01:23:22.800087,0 days 00:00:01.043760,0.640392970170171,True,0.30381400829738936,6855299.0,False,random,0.08969664821233436,COMPLETE
545,0.9304386206272719,2022-06-14 00:22:17.071951,2022-06-14 00:22:17.874833,0 days 00:00:00.802882,0.8469197307069531,True,0.22946814527147508,7799654.0,False,random,0.0895754716830971,COMPLETE
1719,0.9304393955808122,2022-06-14 01:34:45.189649,2022-06-14 01:34:46.496722,0 days 00:00:01.307073,0.6155451893452755,True,0.3101918083600644,8548219.0,False,random,0.0843864212900662,COMPLETE
1918,0.9304393955808122,2022-06-14 01:39:33.440127,2022-06-14 01:39:34.883956,0 days 00:00:01.443829,0.5835989405166673,True,0.3274988339635887,7903855.0,False,random,0.09394423147847088,COMPLETE
956,0.9304403898663112,2022-06-14 00:28:27.048803,2022-06-14 00:28:28.038318,0 days 00:00:00.989515,0.6300864649634218,True,0.29914077414102624,7748747.0,False,random,0.08394787682437958,COMPLETE
1817,0.930440718864249,2022-06-14 01:37:03.387389,2022-06-14 01:37:05.110751,0 days 00:00:01.723362,0.6999309776259094,True,0.2726637857148761,8338452.0,False,random,0.08297077535780457,COMPLETE
1649,0.9304409381962075,2022-06-14 01:33:09.249524,2022-06-14 01:33:10.520512,0 days 00:00:01.270988,0.6514357820217389,True,0.2962986765942391,9612060.0,False,random,0.08621664273724758,COMPLETE
1059,0.9304409381962075,2022-06-14 01:21:25.077902,2022-06-14 01:21:26.092412,0 days 00:00:01.014510,0.5807546316437983,True,0.33282713885475157,8239729.0,False,random,0.08715503137492375,COMPLETE
1212,0.9304409381962075,2022-06-14 01:24:08.886340,2022-06-14 01:24:10.268232,0 days 00:00:01.381892,0.6133379014170546,True,0.3148750561993665,9012435.0,False,random,0.09123415736326192,COMPLETE
1072,0.9304409381962075,2022-06-14 01:21:38.617358,2022-06-14 01:21:39.636906,0 days 00:00:01.019548,0.7065723993999264,True,0.2730147098071143,8168013.0,False,random,0.08641494134859146,COMPLETE
