iteration,recall,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
1024,0.9028649885583524,2022-07-03 00:32:24.930374,2022-07-03 00:32:26.811880,0 days 00:00:01.881506,1.2000000000000002,0.37589138769464486,364.0,45054825.0,l1,0.07120747859803356,COMPLETE
1022,0.9028649885583524,2022-07-03 00:32:22.047962,2022-07-03 00:32:23.932570,0 days 00:00:01.884608,1.6,0.35768478965820216,92.0,45937125.0,l1,0.07153825633251393,COMPLETE
1279,0.9028649885583524,2022-07-03 00:40:43.202635,2022-07-03 00:40:45.181357,0 days 00:00:01.978722,1.6,0.3597627527124001,390.0,45998407.0,l1,0.06637556788575176,COMPLETE
1239,0.9028649885583524,2022-07-03 00:39:24.674258,2022-07-03 00:39:26.649341,0 days 00:00:01.975083,1.2000000000000002,0.33573991626222366,365.0,43979173.0,l1,0.06718844287153287,COMPLETE
982,0.9028649885583524,2022-07-03 00:31:06.550267,2022-07-03 00:31:08.398664,0 days 00:00:01.848397,1.6,0.37571529274591564,324.0,32049193.0,l1,0.07293069633877504,COMPLETE
1366,0.9028649885583524,2022-07-03 00:43:39.906775,2022-07-03 00:43:41.953643,0 days 00:00:02.046868,1.2000000000000002,0.33966177237882295,421.0,41967966.0,l1,0.06798533888496128,COMPLETE
643,0.9028466819221967,2022-07-03 00:21:06.995898,2022-07-03 00:21:08.690598,0 days 00:00:01.694700,5.6,0.002039665313338712,221.0,22624843.0,l1,0.06824050221949107,COMPLETE
642,0.9028466819221967,2022-07-03 00:21:05.306755,2022-07-03 00:21:06.995301,0 days 00:00:01.688546,5.1,0.2490388963607424,294.0,34859733.0,l1,0.07255382904420991,COMPLETE
1311,0.9028466819221967,2022-07-03 00:41:46.715196,2022-07-03 00:41:48.739977,0 days 00:00:02.024781,1.3000000000000003,0.3615425351161723,383.0,47165119.0,l1,0.06642050830194282,COMPLETE
1045,0.9028466819221967,2022-07-03 00:33:04.707412,2022-07-03 00:33:06.575403,0 days 00:00:01.867991,1.8000000000000003,0.051857063757008715,357.0,45410905.0,l1,0.06959882891873627,COMPLETE
640,0.9028466819221967,2022-07-03 00:21:02.806395,2022-07-03 00:21:04.493664,0 days 00:00:01.687269,3.1,0.6273770947006566,197.0,18963552.0,l1,0.06745384232077893,COMPLETE
644,0.9028466819221967,2022-07-03 00:21:08.691244,2022-07-03 00:21:10.705960,0 days 00:00:02.014716,3.2,0.06060142778988429,203.0,2848427.0,l1,0.06647195165685629,COMPLETE
638,0.9028466819221967,2022-07-03 00:20:59.414419,2022-07-03 00:21:01.110681,0 days 00:00:01.696262,6.7,0.43509345052353515,341.0,31499645.0,l1,0.0671881529484197,COMPLETE
636,0.9028466819221967,2022-07-03 00:20:56.041576,2022-07-03 00:20:57.736135,0 days 00:00:01.694559,3.2,0.5835445806593964,229.0,1755583.0,l1,0.06917778319040851,COMPLETE
635,0.9028466819221967,2022-07-03 00:20:54.352886,2022-07-03 00:20:56.040964,0 days 00:00:01.688078,7.3,0.34341660548149106,163.0,26459314.0,l1,0.06147106575505229,COMPLETE
639,0.9028466819221967,2022-07-03 00:21:01.111329,2022-07-03 00:21:02.805772,0 days 00:00:01.694443,5.4,0.6027787282043274,240.0,22770002.0,l1,0.06634440014814275,COMPLETE
1268,0.9028466819221967,2022-07-03 00:40:21.452197,2022-07-03 00:40:23.462656,0 days 00:00:02.010459,1.7000000000000002,0.3242450728308354,427.0,49766791.0,l1,0.0683126301359623,COMPLETE
645,0.9028466819221967,2022-07-03 00:21:10.706563,2022-07-03 00:21:12.365227,0 days 00:00:01.658664,3.3000000000000003,0.5294680092907679,208.0,2927828.0,l1,0.06802202590366001,COMPLETE
