iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
664,0.9648692737989603,2022-06-12 14:58:08.762918,2022-06-12 14:58:09.703292,0 days 00:00:00.940374,7.351543861383327,svd,COMPLETE
983,0.9648692737989603,2022-06-12 15:03:21.225770,2022-06-12 15:03:22.241256,0 days 00:00:01.015486,7.450252975038433,svd,COMPLETE
665,0.9648692737989603,2022-06-12 14:58:09.703823,2022-06-12 14:58:10.652003,0 days 00:00:00.948180,7.002259121487257,svd,COMPLETE
666,0.9648692737989603,2022-06-12 14:58:10.652535,2022-06-12 14:58:11.609474,0 days 00:00:00.956939,7.2397646859333795,svd,COMPLETE
667,0.9648692737989603,2022-06-12 14:58:11.610050,2022-06-12 14:58:12.567369,0 days 00:00:00.957319,7.367306209065581,svd,COMPLETE
668,0.9648692737989603,2022-06-12 14:58:12.567934,2022-06-12 14:58:13.519966,0 days 00:00:00.952032,5.388621740541533,svd,COMPLETE
669,0.9648692737989603,2022-06-12 14:58:13.520512,2022-06-12 14:58:14.474732,0 days 00:00:00.954220,7.1235673808067785,svd,COMPLETE
670,0.9648692737989603,2022-06-12 14:58:14.475285,2022-06-12 14:58:15.426037,0 days 00:00:00.950752,7.409865924420746,svd,COMPLETE
982,0.9648692737989603,2022-06-12 15:03:20.201775,2022-06-12 15:03:21.225038,0 days 00:00:01.023263,7.062665942766962,svd,COMPLETE
672,0.9648692737989603,2022-06-12 14:58:16.019113,2022-06-12 14:58:17.217379,0 days 00:00:01.198266,7.303566197054868,svd,COMPLETE
673,0.9648692737989603,2022-06-12 14:58:17.217919,2022-06-12 14:58:18.158751,0 days 00:00:00.940832,4.210465181144362,svd,COMPLETE
674,0.9648692737989603,2022-06-12 14:58:18.159314,2022-06-12 14:58:19.107680,0 days 00:00:00.948366,4.095643953810974,svd,COMPLETE
675,0.9648692737989603,2022-06-12 14:58:19.108238,2022-06-12 14:58:20.071585,0 days 00:00:00.963347,6.91088644604571,svd,COMPLETE
676,0.9648692737989603,2022-06-12 14:58:20.072139,2022-06-12 14:58:21.021103,0 days 00:00:00.948964,4.311846789696105,svd,COMPLETE
677,0.9648692737989603,2022-06-12 14:58:21.021649,2022-06-12 14:58:21.970117,0 days 00:00:00.948468,4.395649992209639,svd,COMPLETE
654,0.9648692737989603,2022-06-12 14:57:59.282243,2022-06-12 14:58:00.230132,0 days 00:00:00.947889,7.181062548922425,svd,COMPLETE
653,0.9648692737989603,2022-06-12 14:57:58.322060,2022-06-12 14:57:59.281694,0 days 00:00:00.959634,7.40508881962499,svd,COMPLETE
652,0.9648692737989603,2022-06-12 14:57:57.376297,2022-06-12 14:57:58.321521,0 days 00:00:00.945224,7.388207210199498,svd,COMPLETE
651,0.9648692737989603,2022-06-12 14:57:56.453751,2022-06-12 14:57:57.375761,0 days 00:00:00.922010,7.572889114353517,svd,COMPLETE
987,0.9648692737989603,2022-06-12 15:03:25.523926,2022-06-12 15:03:26.538807,0 days 00:00:01.014881,6.9888880148609775,svd,COMPLETE
628,0.9648692737989603,2022-06-12 14:57:35.132929,2022-06-12 14:57:36.055993,0 days 00:00:00.923064,8.662570210339185,svd,COMPLETE
629,0.9648692737989603,2022-06-12 14:57:36.056529,2022-06-12 14:57:37.002362,0 days 00:00:00.945833,8.69481327938189,svd,COMPLETE
630,0.9648692737989603,2022-06-12 14:57:37.002885,2022-06-12 14:57:37.948476,0 days 00:00:00.945591,7.907637571862305,svd,COMPLETE
631,0.9648692737989603,2022-06-12 14:57:37.949055,2022-06-12 14:57:38.911930,0 days 00:00:00.962875,8.56224947060821,svd,COMPLETE
986,0.9648692737989603,2022-06-12 15:03:24.499698,2022-06-12 15:03:25.523182,0 days 00:00:01.023484,7.373139869358241,svd,COMPLETE
633,0.9648692737989603,2022-06-12 14:57:39.501720,2022-06-12 14:57:40.464123,0 days 00:00:00.962403,9.054817349518023,svd,COMPLETE
634,0.9648692737989603,2022-06-12 14:57:40.464664,2022-06-12 14:57:41.412112,0 days 00:00:00.947448,8.06520897934396,svd,COMPLETE
