iteration,f1_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
747,0.961637378286501,2022-07-02 22:33:24.539419,2022-07-02 22:33:32.233981,0 days 00:00:07.694562,5.4,0.04539086838142988,422,24949807,l1,0.0021274115114048994,COMPLETE
422,0.961637378286501,2022-07-02 21:58:07.988966,2022-07-02 21:58:15.989040,0 days 00:00:08.000074,5.7,0.04983691292054191,424,23845605,l1,6.116800655603063e-05,COMPLETE
271,0.9616369197231208,2022-07-02 21:42:12.011919,2022-07-02 21:42:20.358543,0 days 00:00:08.346624,0.1,0.3553312076188236,130,31600443,l1,2.577255977392407e-05,COMPLETE
654,0.9616369197231208,2022-07-02 22:22:49.150224,2022-07-02 22:22:57.766075,0 days 00:00:08.615851,0.1,0.9229590115510758,441,22188731,l1,0.00011003401180548083,COMPLETE
289,0.9616369197231208,2022-07-02 21:44:05.956974,2022-07-02 21:44:14.089927,0 days 00:00:08.132953,0.1,0.09556946982525931,97,30736776,l1,0.0016052452630644083,COMPLETE
224,0.9616369197231208,2022-07-02 21:36:51.149821,2022-07-02 21:36:58.594560,0 days 00:00:07.444739,0.1,0.033554010275126805,132,25813003,l1,0.0019026571175693471,COMPLETE
305,0.9616369197231208,2022-07-02 21:45:47.009944,2022-07-02 21:45:54.417728,0 days 00:00:07.407784,0.1,0.6372065703440288,172,25830642,l1,0.0025132468856621393,COMPLETE
316,0.9616369197231208,2022-07-02 21:47:00.439763,2022-07-02 21:47:09.157408,0 days 00:00:08.717645,0.1,0.02004617865702894,113,34696539,l1,1.7107900369558353e-05,COMPLETE
285,0.9616369197231208,2022-07-02 21:43:35.979587,2022-07-02 21:43:44.050209,0 days 00:00:08.070622,0.1,0.07174587711393657,115,23277724,l1,0.00015279545526006798,COMPLETE
288,0.9616369197231208,2022-07-02 21:43:58.281223,2022-07-02 21:44:05.956611,0 days 00:00:07.675388,0.1,0.0612254437692686,100,30625014,l1,1.425893236376756e-05,COMPLETE
689,0.9616369197231208,2022-07-02 22:26:56.958330,2022-07-02 22:27:04.797423,0 days 00:00:07.839093,0.1,0.713359537353623,81,19290282,l1,0.0015651341852818438,COMPLETE
