iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
617,0.9330856080928891,2022-07-02 23:47:08.040939,2022-07-02 23:47:09.688081,0 days 00:00:01.647142,9.3,0.03533998776907593,331.0,7760856.0,l1,0.03707586578205502,COMPLETE
587,0.9330856080928891,2022-07-02 23:46:18.350710,2022-07-02 23:46:19.993876,0 days 00:00:01.643166,9.3,0.053389064842199054,341.0,47880328.0,l1,0.03578319065202807,COMPLETE
586,0.9330856080928891,2022-07-02 23:46:16.745837,2022-07-02 23:46:18.350153,0 days 00:00:01.604316,9.4,0.06731719247934786,325.0,47800751.0,l1,0.03698119937864703,COMPLETE
978,0.9330856080928891,2022-07-02 23:58:15.656977,2022-07-02 23:58:17.456823,0 days 00:00:01.799846,9.4,0.09877514169330165,223.0,43598294.0,l1,0.0367722976117165,COMPLETE
737,0.9330842848094522,2022-07-02 23:50:36.414732,2022-07-02 23:50:38.120019,0 days 00:00:01.705287,9.8,0.027189603088198615,414.0,36161937.0,l1,0.03584038221320718,COMPLETE
234,0.9330842848094522,2022-07-02 23:36:33.350588,2022-07-02 23:36:34.824770,0 days 00:00:01.474182,9.9,0.0583944533851803,196.0,11374638.0,l1,0.03586354596739572,COMPLETE
559,0.9330842848094522,2022-07-02 23:45:27.879394,2022-07-02 23:45:29.785841,0 days 00:00:01.906447,9.5,0.16412439781834873,313.0,30499441.0,l1,0.035967665254875894,COMPLETE
257,0.9330842848094522,2022-07-02 23:37:06.895712,2022-07-02 23:37:08.371126,0 days 00:00:01.475414,6.1,0.05793787345540483,188.0,15569977.0,l1,0.03728130997683626,COMPLETE
228,0.9330842848094522,2022-07-02 23:36:23.532355,2022-07-02 23:36:24.990184,0 days 00:00:01.457829,6.2,0.10146945627123555,193.0,16432544.0,l1,0.03682794304960048,COMPLETE
224,0.9330842848094522,2022-07-02 23:36:17.596936,2022-07-02 23:36:19.066896,0 days 00:00:01.469960,6.3,0.08454619872210736,193.0,15166400.0,l1,0.037031640735479765,COMPLETE
222,0.9330842848094522,2022-07-02 23:36:14.664452,2022-07-02 23:36:16.130567,0 days 00:00:01.466115,6.3,0.07915971999939994,190.0,49808125.0,l1,0.035785695396804346,COMPLETE
758,0.9330842848094522,2022-07-02 23:51:13.594354,2022-07-02 23:51:15.314776,0 days 00:00:01.720422,9.2,0.4804602974136659,344.0,29512492.0,l1,0.035968343241845356,COMPLETE
221,0.9330842848094522,2022-07-02 23:36:13.205294,2022-07-02 23:36:14.664147,0 days 00:00:01.458853,6.7,0.10050992624147079,189.0,13752582.0,l1,0.03607036897398706,COMPLETE
217,0.9330842848094522,2022-07-02 23:36:06.910119,2022-07-02 23:36:08.371806,0 days 00:00:01.461687,6.0,0.08787544355654359,217.0,16518634.0,l1,0.036769743886282485,COMPLETE
205,0.9330842848094522,2022-07-02 23:35:49.924248,2022-07-02 23:35:51.397205,0 days 00:00:01.472957,6.2,0.9984565810140363,253.0,16012646.0,l1,0.03710903585121078,COMPLETE
