iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
148,0.9314046539945088,2022-06-12 18:15:09.184215,2022-06-12 18:15:09.692136,0 days 00:00:00.507921,0.26800048249703773,4384124,random,0.09556011192594278,COMPLETE
541,0.9314046539945088,2022-06-12 18:18:58.599328,2022-06-12 18:18:59.261707,0 days 00:00:00.662379,0.26831233082271727,310121,random,0.0787904558248888,COMPLETE
545,0.9313994632350557,2022-06-12 18:19:01.422659,2022-06-12 18:19:02.078785,0 days 00:00:00.656126,0.2927578167920616,2027449,random,0.08493940775205447,COMPLETE
998,0.9313993608607618,2022-06-12 18:24:21.847053,2022-06-12 18:24:22.602426,0 days 00:00:00.755373,0.2664338888861809,4865894,random,0.07811792184956985,COMPLETE
744,0.9313983592835776,2022-06-12 18:21:11.291733,2022-06-12 18:21:11.946834,0 days 00:00:00.655101,0.2983084459265776,1076350,random,0.09467620599593697,COMPLETE
846,0.9313983592835776,2022-06-12 18:22:24.367907,2022-06-12 18:22:25.099939,0 days 00:00:00.732032,0.29812829888629816,1868520,random,0.07787033811315575,COMPLETE
761,0.9313981472433045,2022-06-12 18:21:22.788823,2022-06-12 18:21:23.458453,0 days 00:00:00.669630,0.26891169241532115,9475805,random,0.08178450349902375,COMPLETE
514,0.9313967142938884,2022-06-12 18:18:41.104754,2022-06-12 18:18:41.722326,0 days 00:00:00.617572,0.2659638913778788,5792157,random,0.08618067719181349,COMPLETE
501,0.9313929564838515,2022-06-12 18:18:33.172383,2022-06-12 18:18:33.793310,0 days 00:00:00.620927,0.29297920680768386,2408171,random,0.07079275436678654,COMPLETE
849,0.9313915308261209,2022-06-12 18:22:26.549423,2022-06-12 18:22:27.364657,0 days 00:00:00.815234,0.2670880029907026,1119378,random,0.071784600260959,COMPLETE
162,0.9313902075426841,2022-06-12 18:15:16.351062,2022-06-12 18:15:16.857325,0 days 00:00:00.506263,0.2668510976662025,227679,random,0.0824816305642878,COMPLETE
758,0.9313902075426841,2022-06-12 18:21:20.809883,2022-06-12 18:21:21.499932,0 days 00:00:00.690049,0.2662138951438077,6329130,random,0.07422284600011603,COMPLETE
917,0.9313892059654998,2022-06-12 18:23:19.749523,2022-06-12 18:23:20.442626,0 days 00:00:00.693103,0.2984626242580872,1306492,random,0.08856808442683603,COMPLETE
765,0.9313890962995205,2022-06-12 18:21:25.490190,2022-06-12 18:21:26.155671,0 days 00:00:00.665481,0.2967722156399173,8955165,random,0.07144117878819216,COMPLETE
980,0.9313890962995205,2022-06-12 18:24:07.589232,2022-06-12 18:24:08.322187,0 days 00:00:00.732955,0.29669290685044386,1522589,random,0.08081450808659892,COMPLETE
554,0.9313877730160839,2022-06-12 18:19:07.126140,2022-06-12 18:19:07.824456,0 days 00:00:00.698316,0.2958472894301729,1079675,random,0.09637183563148383,COMPLETE
864,0.9313865593986265,2022-06-12 18:22:39.049527,2022-06-12 18:22:39.816922,0 days 00:00:00.767395,0.29749727567174433,2102296,random,0.08185555950924257,COMPLETE
434,0.9313865593986265,2022-06-12 18:17:51.061678,2022-06-12 18:17:51.691580,0 days 00:00:00.629902,0.2979601548581951,2174277,random,0.059177302086199236,COMPLETE
201,0.9313864497326471,2022-06-12 18:15:36.570740,2022-06-12 18:15:37.101258,0 days 00:00:00.530518,0.2955537733972403,4813261,random,0.07966416293178809,COMPLETE
719,0.9313864497326471,2022-06-12 18:20:53.889910,2022-06-12 18:20:54.539128,0 days 00:00:00.649218,0.29534547753590046,1828075,random,0.09594559531479672,COMPLETE
266,0.9313864497326471,2022-06-12 18:16:11.707391,2022-06-12 18:16:12.253637,0 days 00:00:00.546246,0.2953456844830919,5364202,random,0.06500669174784257,COMPLETE
109,0.9313840224977323,2022-06-12 18:14:48.169220,2022-06-12 18:14:48.699327,0 days 00:00:00.530107,0.29916326634019536,4552677,random,0.08151834587531914,COMPLETE
41,0.9313839128317529,2022-06-12 18:14:13.886372,2022-06-12 18:14:14.307198,0 days 00:00:00.420826,0.29708002483718743,4721168,random,0.049571401217607045,COMPLETE
178,0.9313839128317529,2022-06-12 18:15:24.664388,2022-06-12 18:15:25.317568,0 days 00:00:00.653180,0.2970254670022899,127749,random,0.08985490954712752,COMPLETE
277,0.9313837007914797,2022-06-12 18:16:17.921680,2022-06-12 18:16:18.473820,0 days 00:00:00.552140,0.26762254711500416,4231325,random,0.06255189482170594,COMPLETE
975,0.931382377508043,2022-06-12 18:24:03.578525,2022-06-12 18:24:04.297511,0 days 00:00:00.718986,0.2671711939172003,1854390,random,0.07764126244575983,COMPLETE
345,0.931382377508043,2022-06-12 18:16:57.292328,2022-06-12 18:16:57.899450,0 days 00:00:00.607122,0.2671370719283805,6539833,random,0.09951983712478538,COMPLETE
486,0.9313802719793807,2022-06-12 18:18:23.315918,2022-06-12 18:18:23.951097,0 days 00:00:00.635179,0.30252166035342987,1830489,random,0.09274226688557015,COMPLETE
153,0.9313801623134013,2022-06-12 18:15:11.700661,2022-06-12 18:15:12.231398,0 days 00:00:00.530737,0.300217587606953,1686499,random,0.08407322418435623,COMPLETE
634,0.9313774060805486,2022-06-12 18:19:58.602782,2022-06-12 18:19:59.227906,0 days 00:00:00.625124,0.29778777400790274,1547773,random,0.06425457418381787,COMPLETE
941,0.9313745474734019,2022-06-12 18:23:37.738081,2022-06-12 18:23:38.514727,0 days 00:00:00.776646,0.26756575225264234,1180699,random,0.08466166634467932,COMPLETE
126,0.9313710089953235,2022-06-12 18:14:58.070959,2022-06-12 18:14:58.575025,0 days 00:00:00.504066,0.3003195229300181,3524305,random,0.08494411946650107,COMPLETE
824,0.9313710089953235,2022-06-12 18:22:07.887770,2022-06-12 18:22:08.679965,0 days 00:00:00.792195,0.30043076311653605,1236254,random,0.08145467560429091,COMPLETE
882,0.9313710089953235,2022-06-12 18:22:53.115553,2022-06-12 18:22:53.857485,0 days 00:00:00.741932,0.30031482311297975,1511270,random,0.07195471861373312,COMPLETE
606,0.9313689107583465,2022-06-12 18:19:40.436587,2022-06-12 18:19:41.056498,0 days 00:00:00.619911,0.3076896188008576,2011391,random,0.07833533074766125,COMPLETE
664,0.9313683624284501,2022-06-12 18:20:17.410774,2022-06-12 18:20:18.033773,0 days 00:00:00.622999,0.29990565738251307,2513718,random,0.09669483566259192,COMPLETE
311,0.9313683624284501,2022-06-12 18:16:37.518645,2022-06-12 18:16:38.057221,0 days 00:00:00.538576,0.2995693492711331,2203757,random,0.09841392728835457,COMPLETE
750,0.9313637272905788,2022-06-12 18:21:15.212474,2022-06-12 18:21:15.870139,0 days 00:00:00.657665,0.3089005956331895,1839944,random,0.07738383527999244,COMPLETE
