iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
228,0.980779471098087,2022-06-13 23:02:44.498504,2022-06-13 23:02:45.134402,0 days 00:00:00.635898,1.9266780176101437,5385619.0,random,0.07719679165061216,COMPLETE
227,0.980779471098087,2022-06-13 23:02:43.886977,2022-06-13 23:02:44.498254,0 days 00:00:00.611277,1.9935602675646358,8243772.0,random,0.0749545734578191,COMPLETE
226,0.980779471098087,2022-06-13 23:02:43.276689,2022-06-13 23:02:43.886758,0 days 00:00:00.610069,1.9998064996179095,9314839.0,random,0.07628928659278121,COMPLETE
225,0.980779471098087,2022-06-13 23:02:42.672237,2022-06-13 23:02:43.276435,0 days 00:00:00.604198,1.9954984630016324,9011766.0,random,0.09792696853027022,COMPLETE
223,0.980779471098087,2022-06-13 23:02:41.466510,2022-06-13 23:02:42.074780,0 days 00:00:00.608270,1.925995241220347,9864862.0,random,0.07261081270791131,COMPLETE
222,0.980779471098087,2022-06-13 23:02:40.854810,2022-06-13 23:02:41.466243,0 days 00:00:00.611433,1.9230609587723655,7273190.0,random,0.06633751258455901,COMPLETE
221,0.980779471098087,2022-06-13 23:02:40.245836,2022-06-13 23:02:40.854518,0 days 00:00:00.608682,1.9199002643830407,7063369.0,random,0.06762102259591705,COMPLETE
285,0.980779471098087,2022-06-13 23:03:20.149438,2022-06-13 23:03:20.769483,0 days 00:00:00.620045,1.9994009950583762,8672705.0,random,0.0765042390487812,COMPLETE
294,0.980779471098087,2022-06-13 23:03:25.792003,2022-06-13 23:03:26.422272,0 days 00:00:00.630269,1.9999782138557212,7406224.0,random,0.0798458414100955,COMPLETE
374,0.980779471098087,2022-06-13 23:04:18.635070,2022-06-13 23:04:19.283875,0 days 00:00:00.648805,1.9196305726334368,6994370.0,random,0.06218626758617354,COMPLETE
296,0.980779471098087,2022-06-13 23:03:27.058467,2022-06-13 23:03:27.675420,0 days 00:00:00.616953,1.9996499229675027,7531757.0,random,0.07940909196514652,COMPLETE
371,0.980779471098087,2022-06-13 23:04:16.662844,2022-06-13 23:04:17.318314,0 days 00:00:00.655470,1.9527485570610872,9265222.0,random,0.07864999062082516,COMPLETE
369,0.980779471098087,2022-06-13 23:04:15.361058,2022-06-13 23:04:16.018050,0 days 00:00:00.656992,1.9253113646523363,1402118.0,random,0.0887914501381796,COMPLETE
367,0.980779471098087,2022-06-13 23:04:14.054255,2022-06-13 23:04:14.706285,0 days 00:00:00.652030,1.9983346453825008,8222654.0,random,0.058899413981571946,COMPLETE
364,0.980779471098087,2022-06-13 23:04:12.092945,2022-06-13 23:04:12.741293,0 days 00:00:00.648348,1.947673792803392,7857788.0,random,0.07258701464960637,COMPLETE
362,0.980779471098087,2022-06-13 23:04:10.763336,2022-06-13 23:04:11.437663,0 days 00:00:00.674327,1.9208791868919632,7995568.0,random,0.0875955210435248,COMPLETE
359,0.980779471098087,2022-06-13 23:04:08.446859,2022-06-13 23:04:09.407207,0 days 00:00:00.960348,1.9950774233214386,4407655.0,random,0.09757949441685221,COMPLETE
355,0.980779471098087,2022-06-13 23:04:05.796727,2022-06-13 23:04:06.444712,0 days 00:00:00.647985,1.9278187439744108,6523940.0,random,0.07124714471187521,COMPLETE
353,0.980779471098087,2022-06-13 23:04:04.496873,2022-06-13 23:04:05.146614,0 days 00:00:00.649741,1.9985744650786401,7759424.0,random,0.07683377888131232,COMPLETE
351,0.980779471098087,2022-06-13 23:04:03.210388,2022-06-13 23:04:03.849910,0 days 00:00:00.639522,1.9943834265118734,7842447.0,random,0.0742930061468715,COMPLETE
346,0.980779471098087,2022-06-13 23:03:59.988471,2022-06-13 23:04:00.634907,0 days 00:00:00.646436,1.9284994085483391,9145448.0,random,0.09315533865209684,COMPLETE
345,0.980779471098087,2022-06-13 23:03:59.342768,2022-06-13 23:03:59.988149,0 days 00:00:00.645381,1.9994134729721171,7956718.0,random,0.09463939524151764,COMPLETE
338,0.980779471098087,2022-06-13 23:03:54.753305,2022-06-13 23:03:55.404491,0 days 00:00:00.651186,1.9481613969939238,803579.0,random,0.09637401255497247,COMPLETE
336,0.980779471098087,2022-06-13 23:03:53.459472,2022-06-13 23:03:54.108492,0 days 00:00:00.649020,1.9990680902382847,210024.0,random,0.09693073214628045,COMPLETE
334,0.980779471098087,2022-06-13 23:03:52.164852,2022-06-13 23:03:52.814670,0 days 00:00:00.649818,1.9997254015381383,8289001.0,random,0.07242851153627862,COMPLETE
331,0.980779471098087,2022-06-13 23:03:49.771201,2022-06-13 23:03:50.405230,0 days 00:00:00.634029,1.9997826730149304,8469144.0,random,0.0913684584395413,COMPLETE
329,0.980779471098087,2022-06-13 23:03:48.494099,2022-06-13 23:03:49.140662,0 days 00:00:00.646563,1.9938724825432674,8355860.0,random,0.08923798954468266,COMPLETE
326,0.980779471098087,2022-06-13 23:03:46.579040,2022-06-13 23:03:47.215948,0 days 00:00:00.636908,1.9256143235592065,9004194.0,random,0.0685948863866453,COMPLETE
325,0.980779471098087,2022-06-13 23:03:45.941124,2022-06-13 23:03:46.578764,0 days 00:00:00.637640,1.9131957092466507,9207044.0,random,0.0752691090464664,COMPLETE
