iteration,recall,datetime_start,datetime_complete,duration,alpha,solver,state
669,0.8570251716247139,2022-06-12 16:01:54.162897,2022-06-12 16:01:55.108879,0 days 00:00:00.945982,7.189372840380011,svd,COMPLETE
523,0.8570251716247139,2022-06-12 15:59:39.347518,2022-06-12 15:59:40.269699,0 days 00:00:00.922181,3.1279250417575413,svd,COMPLETE
690,0.8570251716247139,2022-06-12 16:02:14.072438,2022-06-12 16:02:15.036021,0 days 00:00:00.963583,9.522438394249392,svd,COMPLETE
672,0.8570251716247139,2022-06-12 16:01:57.008251,2022-06-12 16:01:57.948923,0 days 00:00:00.940672,1.3910207913320047,svd,COMPLETE
670,0.8570251716247139,2022-06-12 16:01:55.109430,2022-06-12 16:01:56.060547,0 days 00:00:00.951117,7.194489183459149,svd,COMPLETE
695,0.8570251716247139,2022-06-12 16:02:18.870969,2022-06-12 16:02:19.829999,0 days 00:00:00.959030,9.961602885423794,svd,COMPLETE
692,0.8570251716247139,2022-06-12 16:02:15.988570,2022-06-12 16:02:16.950567,0 days 00:00:00.961997,9.794357713409893,svd,COMPLETE
721,0.8570251716247139,2022-06-12 16:02:43.681861,2022-06-12 16:02:44.632838,0 days 00:00:00.950977,0.2583900729467985,svd,COMPLETE
722,0.8570251716247139,2022-06-12 16:02:44.633414,2022-06-12 16:02:45.611897,0 days 00:00:00.978483,0.1337136515717127,svd,COMPLETE
723,0.8570251716247139,2022-06-12 16:02:45.612469,2022-06-12 16:02:46.575035,0 days 00:00:00.962566,0.000899225682842647,svd,COMPLETE
724,0.8570251716247139,2022-06-12 16:02:46.575608,2022-06-12 16:02:47.805807,0 days 00:00:01.230199,9.131411585323882,svd,COMPLETE
518,0.8570251716247139,2022-06-12 15:59:34.731670,2022-06-12 15:59:35.653393,0 days 00:00:00.921723,3.004893428298576,svd,COMPLETE
725,0.8570251716247139,2022-06-12 16:02:47.806380,2022-06-12 16:02:48.738951,0 days 00:00:00.932571,8.931207087639702,svd,COMPLETE
727,0.8570251716247139,2022-06-12 16:02:49.348394,2022-06-12 16:02:50.304930,0 days 00:00:00.956536,9.806976817441049,svd,COMPLETE
728,0.8570251716247139,2022-06-12 16:02:50.305514,2022-06-12 16:02:51.272902,0 days 00:00:00.967388,8.86300607704094,svd,COMPLETE
729,0.8570251716247139,2022-06-12 16:02:51.273494,2022-06-12 16:02:52.235326,0 days 00:00:00.961832,9.241656898409607,svd,COMPLETE
730,0.8570251716247139,2022-06-12 16:02:52.235911,2022-06-12 16:02:53.191091,0 days 00:00:00.955180,0.019397465799840516,svd,COMPLETE
731,0.8570251716247139,2022-06-12 16:02:53.191656,2022-06-12 16:02:54.147663,0 days 00:00:00.956007,9.06894783998284,svd,COMPLETE
732,0.8570251716247139,2022-06-12 16:02:54.148298,2022-06-12 16:02:55.109713,0 days 00:00:00.961415,9.019374439582673,svd,COMPLETE
733,0.8570251716247139,2022-06-12 16:02:55.110299,2022-06-12 16:02:56.069795,0 days 00:00:00.959496,8.77447649334016,svd,COMPLETE
734,0.8570251716247139,2022-06-12 16:02:56.070393,2022-06-12 16:02:57.029565,0 days 00:00:00.959172,9.254055999440451,svd,COMPLETE
735,0.8570251716247139,2022-06-12 16:02:57.030146,2022-06-12 16:02:57.991086,0 days 00:00:00.960940,8.974887046947249,svd,COMPLETE
736,0.8570251716247139,2022-06-12 16:02:57.991676,2022-06-12 16:02:58.956786,0 days 00:00:00.965110,8.779517467068219,svd,COMPLETE
737,0.8570251716247139,2022-06-12 16:02:58.957416,2022-06-12 16:02:59.920052,0 days 00:00:00.962636,9.187908626635421,svd,COMPLETE
738,0.8570251716247139,2022-06-12 16:02:59.920722,2022-06-12 16:03:00.882763,0 days 00:00:00.962041,9.388936253875734,svd,COMPLETE
739,0.8570251716247139,2022-06-12 16:03:00.883361,2022-06-12 16:03:01.847158,0 days 00:00:00.963797,9.034658227471043,svd,COMPLETE
740,0.8570251716247139,2022-06-12 16:03:01.847772,2022-06-12 16:03:02.814101,0 days 00:00:00.966329,9.292269611201911,svd,COMPLETE
741,0.8570251716247139,2022-06-12 16:03:02.814698,2022-06-12 16:03:03.797910,0 days 00:00:00.983212,8.712795310831398,svd,COMPLETE
742,0.8570251716247139,2022-06-12 16:03:03.798504,2022-06-12 16:03:04.765569,0 days 00:00:00.967065,8.656417911665084,svd,COMPLETE
743,0.8570251716247139,2022-06-12 16:03:04.766206,2022-06-12 16:03:05.731870,0 days 00:00:00.965664,8.706820266638424,svd,COMPLETE
720,0.8570251716247139,2022-06-12 16:02:42.722842,2022-06-12 16:02:43.681278,0 days 00:00:00.958436,0.1371181163172217,svd,COMPLETE
719,0.8570251716247139,2022-06-12 16:02:41.762671,2022-06-12 16:02:42.722281,0 days 00:00:00.959610,0.26852542806588786,svd,COMPLETE
718,0.8570251716247139,2022-06-12 16:02:40.806229,2022-06-12 16:02:41.762101,0 days 00:00:00.955872,1.2200612331990714,svd,COMPLETE
717,0.8570251716247139,2022-06-12 16:02:39.846011,2022-06-12 16:02:40.805640,0 days 00:00:00.959629,1.2904371714690697,svd,COMPLETE
693,0.8570251716247139,2022-06-12 16:02:16.951126,2022-06-12 16:02:17.912583,0 days 00:00:00.961457,9.82446977528782,svd,COMPLETE
694,0.8570251716247139,2022-06-12 16:02:17.913162,2022-06-12 16:02:18.870330,0 days 00:00:00.957168,9.623529715677224,svd,COMPLETE
528,0.8570251716247139,2022-06-12 15:59:43.943515,2022-06-12 15:59:44.866334,0 days 00:00:00.922819,5.114878242606373,svd,COMPLETE
696,0.8570251716247139,2022-06-12 16:02:19.830550,2022-06-12 16:02:20.791540,0 days 00:00:00.960990,9.807482950056697,svd,COMPLETE
697,0.8570251716247139,2022-06-12 16:02:20.792104,2022-06-12 16:02:21.752463,0 days 00:00:00.960359,9.449097522863966,svd,COMPLETE
