iteration,precision,datetime_start,datetime_complete,duration,alpha,solver,state
35,0.7370258996992919,2022-06-13 22:44:58.382761,2022-06-13 22:44:58.844506,0 days 00:00:00.461745,3.540258984343785,eig,COMPLETE
355,0.7370258996992919,2022-06-13 22:49:37.516294,2022-06-13 22:49:38.106412,0 days 00:00:00.590118,5.719390298480908,eig,COMPLETE
39,0.7370258996992919,2022-06-13 22:45:01.056583,2022-06-13 22:45:01.538197,0 days 00:00:00.481614,4.988088747787186,eig,COMPLETE
744,0.7370258996992919,2022-06-13 22:55:52.438664,2022-06-13 22:55:53.354740,0 days 00:00:00.916076,4.94532914436272,eig,COMPLETE
570,0.7370258996992919,2022-06-13 22:52:59.902753,2022-06-13 22:53:00.519683,0 days 00:00:00.616930,5.596714839269954,eig,COMPLETE
29,0.7370258996992919,2022-06-13 22:44:53.576389,2022-06-13 22:44:54.094281,0 days 00:00:00.517892,2.1758040704048613,eig,COMPLETE
8,0.7370258996992919,2022-06-13 22:44:36.145810,2022-06-13 22:44:36.636175,0 days 00:00:00.490365,6.484118915145744,eig,COMPLETE
37,0.7370258996992919,2022-06-13 22:44:59.704325,2022-06-13 22:45:00.242117,0 days 00:00:00.537792,4.145993614514984,eig,COMPLETE
551,0.7370258996992919,2022-06-13 22:52:41.783921,2022-06-13 22:52:42.384458,0 days 00:00:00.600537,5.117726395230856,eig,COMPLETE
5,0.7370258996992919,2022-06-13 22:44:33.999689,2022-06-13 22:44:34.475961,0 days 00:00:00.476272,4.561400046326347,eig,COMPLETE
4,0.7370258996992919,2022-06-13 22:44:33.555404,2022-06-13 22:44:33.999511,0 days 00:00:00.444107,4.014062700159107,eig,COMPLETE
2,0.7370258996992919,2022-06-13 22:44:32.585161,2022-06-13 22:44:33.028840,0 days 00:00:00.443679,4.761826192629368,eig,COMPLETE
3,0.7370258996992919,2022-06-13 22:44:33.028934,2022-06-13 22:44:33.555312,0 days 00:00:00.526378,2.4219815273790104,eig,COMPLETE
115,0.8792110349009057,2022-06-13 22:46:04.412907,2022-06-13 22:46:05.277508,0 days 00:00:00.864601,0.33900951949709235,svd,COMPLETE
713,0.8792110349009057,2022-06-13 22:55:21.016267,2022-06-13 22:55:22.021705,0 days 00:00:01.005438,4.005606099044424,svd,COMPLETE
19,0.8792110349009057,2022-06-13 22:44:45.151918,2022-06-13 22:44:46.007318,0 days 00:00:00.855400,3.685048172621517,svd,COMPLETE
20,0.8792110349009057,2022-06-13 22:44:46.007423,2022-06-13 22:44:46.849642,0 days 00:00:00.842219,1.2094057428278298,svd,COMPLETE
32,0.8792110349009057,2022-06-13 22:44:55.774964,2022-06-13 22:44:56.648049,0 days 00:00:00.873085,3.1110552078631204,svd,COMPLETE
716,0.8792110349009057,2022-06-13 22:55:24.054929,2022-06-13 22:55:25.060172,0 days 00:00:01.005243,3.9314961731441906,svd,COMPLETE
148,0.8792110349009057,2022-06-13 22:46:32.899455,2022-06-13 22:46:33.778534,0 days 00:00:00.879079,4.067375852501334,svd,COMPLETE
909,0.8792110349009057,2022-06-13 22:58:44.012637,2022-06-13 22:58:45.103275,0 days 00:00:01.090638,4.041566656573741,svd,COMPLETE
316,0.8792110349009057,2022-06-13 22:49:01.755109,2022-06-13 22:49:02.676115,0 days 00:00:00.921006,3.998488990233991,svd,COMPLETE
912,0.8792110349009057,2022-06-13 22:58:47.256852,2022-06-13 22:58:48.347990,0 days 00:00:01.091138,3.9850866445028643,svd,COMPLETE
617,0.8792110349009057,2022-06-13 22:53:45.456947,2022-06-13 22:53:46.437576,0 days 00:00:00.980629,4.003875704456653,svd,COMPLETE
