iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
828,0.8938123703999821,2022-07-03 01:26:22.257542,2022-07-03 01:26:28.610333,0 days 00:00:06.352791,9.0,0.39420752466294867,212,10345882,l1,0.0018363279254539724,COMPLETE
598,0.8938058928155194,2022-07-03 01:16:23.466562,2022-07-03 01:16:28.711955,0 days 00:00:05.245393,9.1,0.36736000317293965,497,12251489,l1,0.0019007338355785783,COMPLETE
784,0.8937811599273972,2022-07-03 01:24:31.530550,2022-07-03 01:24:38.102566,0 days 00:00:06.572016,9.0,0.40942681541494874,328,11219531,l1,0.0016156114310248637,COMPLETE
509,0.8937328856028555,2022-07-03 01:11:40.578490,2022-07-03 01:11:46.711337,0 days 00:00:06.132847,9.1,0.3404175072545148,376,10721226,l1,0.00020703883117551003,COMPLETE
507,0.8931500044791781,2022-07-03 01:11:32.178892,2022-07-03 01:11:35.434369,0 days 00:00:03.255477,9.1,0.3156965138203821,382,8806406,l1,0.0025850288372717472,COMPLETE
796,0.8929250859752692,2022-07-03 01:25:03.313569,2022-07-03 01:25:06.404108,0 days 00:00:03.090539,9.0,0.21822380014945203,399,8021566,l1,4.3468623978604095e-05,COMPLETE
550,0.8924535919350957,2022-07-03 01:13:55.459149,2022-07-03 01:13:57.606916,0 days 00:00:02.147767,9.4,0.20465256448123587,199,8136011,l1,0.0017752892314431882,COMPLETE
917,0.8916056603730621,2022-07-03 01:30:10.521270,2022-07-03 01:30:14.945484,0 days 00:00:04.424214,10.0,0.2650997679409027,472,3743895,l1,8.07049162784121e-05,COMPLETE
759,0.8912198574928512,2022-07-03 01:23:10.426369,2022-07-03 01:23:13.214865,0 days 00:00:02.788496,8.5,0.2691840563606572,398,13541173,l1,0.001786751722438709,COMPLETE
426,0.8911527156537757,2022-07-03 01:08:24.427290,2022-07-03 01:08:27.405684,0 days 00:00:02.978394,8.2,0.4292660417168154,375,42209013,l1,0.004492351773528544,COMPLETE
622,0.8901415127422566,2022-07-03 01:17:24.580222,2022-07-03 01:17:27.424849,0 days 00:00:02.844627,9.8,0.015996353380125727,458,6318623,l1,0.009712279423591458,COMPLETE
368,0.8869750978769471,2022-07-03 01:06:06.896022,2022-07-03 01:06:09.546738,0 days 00:00:02.650716,9.2,0.424352830147115,58,7006592,l1,0.009556970026776662,COMPLETE
631,0.8869271306752872,2022-07-03 01:17:51.090774,2022-07-03 01:17:54.142258,0 days 00:00:03.051484,4.3999999999999995,0.398263438795954,473,6011985,l1,0.004831896637243018,COMPLETE
436,0.8866656102605303,2022-07-03 01:08:52.365126,2022-07-03 01:08:54.650627,0 days 00:00:02.285501,9.4,0.4052370106275292,411,39843052,l1,0.003271031595553096,COMPLETE
417,0.88601711387631,2022-07-03 01:07:56.355171,2022-07-03 01:07:58.523012,0 days 00:00:02.167841,8.5,0.42798847436667165,58,45850988,l1,0.012818644693564004,COMPLETE
712,0.8858553737565315,2022-07-03 01:21:01.471254,2022-07-03 01:21:03.733620,0 days 00:00:02.262366,8.9,0.45184618349477496,454,7661398,l1,0.005217264493421014,COMPLETE
435,0.8858553737565315,2022-07-03 01:08:50.249273,2022-07-03 01:08:52.364655,0 days 00:00:02.115382,8.9,0.4084747457824515,409,39038347,l1,0.003170216148288844,COMPLETE
697,0.8858553737565315,2022-07-03 01:20:28.537957,2022-07-03 01:20:30.870867,0 days 00:00:02.332910,8.9,0.23692837646374768,393,34182761,l1,0.003280768149927138,COMPLETE
592,0.8858436835375595,2022-07-03 01:16:08.148570,2022-07-03 01:16:10.236860,0 days 00:00:02.088290,8.9,0.3748721880684506,322,7979412,l1,0.005341286343939317,COMPLETE
518,0.8857692433754796,2022-07-03 01:12:14.806572,2022-07-03 01:12:17.541214,0 days 00:00:02.734642,8.9,0.2649181333265444,356,11939906,l1,0.0006963153159879908,COMPLETE
517,0.8856772934058404,2022-07-03 01:12:11.577909,2022-07-03 01:12:14.806092,0 days 00:00:03.228183,9.0,0.3449538795132239,357,10517871,l1,1.5200204131274387e-05,COMPLETE
