iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
881,0.9817354950630681,2022-06-12 17:04:20.443470,2022-06-12 17:04:21.469637,0 days 00:00:01.026167,0.5376668917325211,6492694,random,0.09997674212472349,COMPLETE
988,0.9817312141462475,2022-06-12 17:05:49.080447,2022-06-12 17:05:49.870974,0 days 00:00:00.790527,0.534239103455584,4113790,random,0.09617672138433797,COMPLETE
861,0.9817292376281319,2022-06-12 17:04:02.838679,2022-06-12 17:04:03.591344,0 days 00:00:00.752665,0.5315847514711637,9763302,random,0.0962466473820654,COMPLETE
880,0.9817270972984515,2022-06-12 17:04:19.674321,2022-06-12 17:04:20.442835,0 days 00:00:00.768514,0.530430495092535,539820,random,0.09995103771473593,COMPLETE
962,0.981726277826907,2022-06-12 17:05:26.944373,2022-06-12 17:05:27.721021,0 days 00:00:00.776648,0.5349376934322966,4188256,random,0.09823356586913908,COMPLETE
945,0.9817243014130679,2022-06-12 17:05:12.483032,2022-06-12 17:05:13.252412,0 days 00:00:00.769380,0.5323577795502357,4110187,random,0.09789112222894396,COMPLETE
977,0.9817147480924228,2022-06-12 17:05:39.589220,2022-06-12 17:05:40.373626,0 days 00:00:00.784406,0.5190489431679617,4581871,random,0.0980859692375069,COMPLETE
939,0.9817134365381741,2022-06-12 17:05:07.496110,2022-06-12 17:05:08.272701,0 days 00:00:00.776591,0.5271027101067137,4682700,random,0.09819842801459416,COMPLETE
893,0.9817130998651935,2022-06-12 17:04:29.970383,2022-06-12 17:04:30.986894,0 days 00:00:01.016511,0.5091063887026039,4275041,random,0.09975069245532242,COMPLETE
948,0.9817129359592609,2022-06-12 17:05:14.907902,2022-06-12 17:05:15.682673,0 days 00:00:00.774771,0.5110048945838276,4733893,random,0.09825221193451264,COMPLETE
886,0.9817109599756805,2022-06-12 17:04:24.646869,2022-06-12 17:04:25.416892,0 days 00:00:00.770023,0.507939624600661,4266518,random,0.09729105981514606,COMPLETE
943,0.9817100101432573,2022-06-12 17:05:10.809245,2022-06-12 17:05:11.582674,0 days 00:00:00.773429,0.6906252066434382,4410909,random,0.09795989982390156,COMPLETE
970,0.9817068442677043,2022-06-12 17:05:33.629718,2022-06-12 17:05:34.406282,0 days 00:00:00.776564,0.5050622347587224,4184815,random,0.0978648250651595,COMPLETE
904,0.9817022369342152,2022-06-12 17:04:38.567755,2022-06-12 17:04:39.332193,0 days 00:00:00.764438,0.5045133614554872,4118988,random,0.09991689966738174,COMPLETE
959,0.9816997766853578,2022-06-12 17:05:24.487747,2022-06-12 17:05:25.262074,0 days 00:00:00.774327,0.5203986077047472,4793327,random,0.09577388898724867,COMPLETE
984,0.9816876147840297,2022-06-12 17:05:45.298144,2022-06-12 17:05:46.081507,0 days 00:00:00.783363,0.7741283129284549,4818295,random,0.09653724536087654,COMPLETE
884,0.9816856130470972,2022-06-12 17:04:23.118871,2022-06-12 17:04:23.874420,0 days 00:00:00.755549,0.4926095869120158,9319090,random,0.0976394509799197,COMPLETE
905,0.9816844647275643,2022-06-12 17:04:39.332828,2022-06-12 17:04:40.355673,0 days 00:00:01.022845,0.4958095278775194,4114552,random,0.09926039023796829,COMPLETE
891,0.9816838083806045,2022-06-12 17:04:28.452833,2022-06-12 17:04:29.209708,0 days 00:00:00.756875,0.49968256151822704,4162043,random,0.09900143221925314,COMPLETE
974,0.9816803688579799,2022-06-12 17:05:36.744573,2022-06-12 17:05:37.825989,0 days 00:00:01.081416,0.7076379532514191,4280260,random,0.09809106904612486,COMPLETE
856,0.9816777337875938,2022-06-12 17:03:58.598208,2022-06-12 17:03:59.609195,0 days 00:00:01.010987,0.7323275804911162,6758384,random,0.09678898299193235,COMPLETE
941,0.9815727912410682,2022-06-12 17:05:09.315079,2022-06-12 17:05:10.084476,0 days 00:00:00.769397,0.4285745799574604,4457628,random,0.09638900767927587,COMPLETE
556,0.9814883931644219,2022-06-12 17:00:23.013949,2022-06-12 17:00:23.662544,0 days 00:00:00.648595,1.9999902854560503,8112538,random,0.0621521403220979,COMPLETE
650,0.9814883931644219,2022-06-12 17:01:28.783506,2022-06-12 17:01:29.460244,0 days 00:00:00.676738,1.9992973948715325,5611605,random,0.03805243080434821,COMPLETE
675,0.9814883931644219,2022-06-12 17:01:46.219332,2022-06-12 17:01:46.895669,0 days 00:00:00.676337,1.998790374072156,8803896,random,0.04939084273136185,COMPLETE
674,0.9814883931644219,2022-06-12 17:01:45.533341,2022-06-12 17:01:46.218786,0 days 00:00:00.685445,1.9996178005911172,8253025,random,0.08311388011367195,COMPLETE
458,0.9814883931644219,2022-06-12 16:59:18.491936,2022-06-12 16:59:19.389545,0 days 00:00:00.897609,1.9999430046875089,6444576,random,0.04249503658525988,COMPLETE
