iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
88,0.8716548496466585,2022-06-11 09:44:00.665937,2022-06-11 09:45:22.922936,0 days 00:01:22.256999,28.0,488.0,86.0,11.0,440.0,291.0,COMPLETE
219,0.8716059978254789,2022-06-11 12:43:38.748918,2022-06-11 12:45:00.484046,0 days 00:01:21.735128,41.0,490.0,147.0,9.0,213.0,289.0,COMPLETE
275,0.8715868065698037,2022-06-11 13:59:17.576871,2022-06-11 14:00:37.483557,0 days 00:01:19.906686,42.0,492.0,140.0,5.0,202.0,289.0,COMPLETE
197,0.8715591272836116,2022-06-11 12:15:10.198267,2022-06-11 12:16:27.689768,0 days 00:01:17.491501,41.0,473.0,137.0,7.0,206.0,279.0,COMPLETE
174,0.8715490966376997,2022-06-11 11:42:35.712107,2022-06-11 11:43:54.560813,0 days 00:01:18.848706,46.0,484.0,144.0,9.0,162.0,284.0,COMPLETE
289,0.8715216293917808,2022-06-11 14:19:35.855495,2022-06-11 14:21:06.179027,0 days 00:01:30.323532,39.0,500.0,150.0,10.0,233.0,321.0,COMPLETE
246,0.8714954927209844,2022-06-11 13:19:37.164462,2022-06-11 13:20:55.471965,0 days 00:01:18.307503,40.0,485.0,144.0,10.0,187.0,279.0,COMPLETE
145,0.8714603123980891,2022-06-11 11:04:25.873400,2022-06-11 11:05:43.026145,0 days 00:01:17.152745,49.0,492.0,137.0,7.0,211.0,273.0,COMPLETE
278,0.8714252490328585,2022-06-11 14:04:48.314674,2022-06-11 14:06:10.991604,0 days 00:01:22.676930,41.0,488.0,147.0,7.0,206.0,297.0,COMPLETE
227,0.871402416924811,2022-06-11 12:54:19.580419,2022-06-11 12:55:41.331705,0 days 00:01:21.751286,41.0,495.0,145.0,9.0,204.0,293.0,COMPLETE
179,0.8713987833641238,2022-06-11 11:49:10.520151,2022-06-11 11:50:28.355257,0 days 00:01:17.835106,43.0,490.0,143.0,8.0,170.0,282.0,COMPLETE
170,0.8713434175000547,2022-06-11 11:37:08.191915,2022-06-11 11:38:34.227438,0 days 00:01:26.035523,45.0,500.0,140.0,9.0,191.0,306.0,COMPLETE
261,0.8713188234446533,2022-06-11 13:38:50.139596,2022-06-11 13:40:12.338656,0 days 00:01:22.199060,41.0,500.0,147.0,12.0,202.0,297.0,COMPLETE
122,0.8713128650233452,2022-06-11 10:31:58.840915,2022-06-11 10:33:14.899106,0 days 00:01:16.058191,48.0,491.0,72.0,20.0,319.0,266.0,COMPLETE
185,0.8713066945617641,2022-06-11 11:57:49.817195,2022-06-11 11:59:08.617924,0 days 00:01:18.800729,47.0,492.0,146.0,9.0,141.0,283.0,COMPLETE
61,0.8712942293892518,2022-06-11 09:06:57.816370,2022-06-11 09:08:31.235604,0 days 00:01:33.419234,48.0,490.0,132.0,8.0,447.0,323.0,COMPLETE
287,0.8712905885368795,2022-06-11 14:17:00.927865,2022-06-11 14:18:15.090424,0 days 00:01:14.162559,39.0,495.0,144.0,6.0,189.0,263.0,COMPLETE
151,0.8712596046879384,2022-06-11 11:11:57.648788,2022-06-11 11:13:16.675587,0 days 00:01:19.026799,48.0,500.0,137.0,6.0,212.0,284.0,COMPLETE
295,0.8712186852756938,2022-06-11 14:29:15.944408,2022-06-11 14:30:35.377761,0 days 00:01:19.433353,37.0,500.0,138.0,11.0,227.0,280.0,COMPLETE
44,0.8711926655625618,2022-06-11 08:41:38.729774,2022-06-11 08:42:58.569717,0 days 00:01:19.839943,30.0,467.0,69.0,3.0,458.0,281.0,COMPLETE
132,0.8711911156554811,2022-06-11 10:45:16.862202,2022-06-11 10:46:40.651038,0 days 00:01:23.788836,49.0,493.0,66.0,3.0,329.0,293.0,COMPLETE
