iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
202,0.9647043221530371,2022-06-11 02:47:20.612185,2022-06-11 02:48:36.861037,0 days 00:01:16.248852,30,490,139,15,138,279,COMPLETE
257,0.9647004723531543,2022-06-11 04:03:42.989351,2022-06-11 04:04:55.332712,0 days 00:01:12.343361,26,500,147,6,160,263,COMPLETE
258,0.9646994073472381,2022-06-11 04:04:55.332998,2022-06-11 04:06:11.333023,0 days 00:01:16.000025,25,495,146,8,153,272,COMPLETE
32,0.9646987522480828,2022-06-10 22:56:37.444165,2022-06-10 22:58:01.921772,0 days 00:01:24.477607,32,485,111,23,149,305,COMPLETE
265,0.9646952346729885,2022-06-11 04:13:45.753125,2022-06-11 04:15:09.289065,0 days 00:01:23.535940,26,495,143,13,161,300,COMPLETE
226,0.9646931132049675,2022-06-11 03:21:53.538370,2022-06-11 03:23:12.376972,0 days 00:01:18.838602,49,477,146,10,140,287,COMPLETE
287,0.9646901709377924,2022-06-11 04:44:42.289362,2022-06-11 04:46:07.324750,0 days 00:01:25.035388,27,477,134,10,157,303,COMPLETE
207,0.9646900232244202,2022-06-11 02:54:49.493896,2022-06-11 02:56:06.581072,0 days 00:01:17.087176,30,486,138,16,168,281,COMPLETE
175,0.9646880640362019,2022-06-11 02:14:15.077887,2022-06-11 02:15:35.557571,0 days 00:01:20.479684,20,495,65,13,159,290,COMPLETE
182,0.9646811814671555,2022-06-11 02:23:30.508143,2022-06-11 02:24:45.769010,0 days 00:01:15.260867,31,500,128,12,151,269,COMPLETE
219,0.9646773198258393,2022-06-11 03:12:17.507978,2022-06-11 03:13:42.576852,0 days 00:01:25.068874,31,500,150,13,342,302,COMPLETE
82,0.9646702316260412,2022-06-11 00:05:38.107340,2022-06-11 00:07:05.961041,0 days 00:01:27.853701,33,499,97,4,181,314,COMPLETE
192,0.964661657756064,2022-06-11 02:35:31.666434,2022-06-11 02:36:46.861833,0 days 00:01:15.195399,30,492,128,15,146,273,COMPLETE
149,0.9646561782300039,2022-06-11 01:40:41.442386,2022-06-11 01:42:03.271462,0 days 00:01:21.829076,18,479,69,11,189,291,COMPLETE
233,0.9646523714788584,2022-06-11 03:32:07.346814,2022-06-11 03:33:26.360437,0 days 00:01:19.013623,48,489,144,15,140,287,COMPLETE
169,0.9646476241111033,2022-06-11 02:06:17.944499,2022-06-11 02:07:41.480765,0 days 00:01:23.536266,18,495,112,14,147,301,COMPLETE
103,0.9646474943885952,2022-06-11 00:38:19.257444,2022-06-11 00:39:41.695805,0 days 00:01:22.438361,30,493,95,13,186,299,COMPLETE
114,0.9646444339516322,2022-06-11 00:53:43.260407,2022-06-11 00:55:01.320955,0 days 00:01:18.060548,36,495,69,27,186,283,COMPLETE
92,0.964643750126591,2022-06-11 00:20:24.072448,2022-06-11 00:21:50.858791,0 days 00:01:26.786343,25,488,98,24,198,315,COMPLETE
172,0.9646427092805892,2022-06-11 02:10:15.031634,2022-06-11 02:11:34.034423,0 days 00:01:19.002789,38,482,75,11,142,287,COMPLETE
185,0.9646305338386233,2022-06-11 02:27:14.257580,2022-06-11 02:28:22.933817,0 days 00:01:08.676237,32,485,137,11,142,249,COMPLETE
90,0.964629807145689,2022-06-11 00:17:21.538008,2022-06-11 00:18:48.355655,0 days 00:01:26.817647,26,500,91,21,198,315,COMPLETE
126,0.9646282540530399,2022-06-11 01:10:43.316160,2022-06-11 01:12:09.316555,0 days 00:01:26.000395,33,475,92,21,186,313,COMPLETE
62,0.9646253946628931,2022-06-10 23:39:05.906032,2022-06-10 23:40:26.912081,0 days 00:01:21.006049,33,492,91,3,146,294,COMPLETE
201,0.9646134318477851,2022-06-11 02:46:04.937495,2022-06-11 02:47:20.611928,0 days 00:01:15.674433,29,490,131,16,131,273,COMPLETE
142,0.9646067250530684,2022-06-11 01:32:07.174731,2022-06-11 01:33:31.313942,0 days 00:01:24.139211,25,494,64,10,177,300,COMPLETE
44,0.9646022470930092,2022-06-10 23:12:31.403937,2022-06-10 23:13:47.337443,0 days 00:01:15.933506,34,454,124,3,144,279,COMPLETE
223,0.9645988318465217,2022-06-11 03:17:47.758371,2022-06-11 03:19:08.593030,0 days 00:01:20.834659,34,469,144,14,150,294,COMPLETE
