iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
18,0.9614371203647021,2022-06-10 19:36:36.052991,2022-06-10 19:38:13.939354,0 days 00:01:37.886363,19.0,283.0,31.0,11.0,261.0,357.0,COMPLETE
28,0.9614150860761563,2022-06-10 19:53:47.191500,2022-06-10 19:55:41.629472,0 days 00:01:54.437972,23.0,287.0,42.0,4.0,477.0,408.0,COMPLETE
67,0.9614082688780795,2022-06-10 20:55:36.029544,2022-06-10 20:56:41.197478,0 days 00:01:05.167934,28.0,296.0,64.0,12.0,317.0,235.0,COMPLETE
15,0.961394928474952,2022-06-10 19:30:46.669454,2022-06-10 19:32:22.619175,0 days 00:01:35.949721,24.0,263.0,61.0,2.0,274.0,355.0,COMPLETE
59,0.9613935499621503,2022-06-10 20:42:47.217125,2022-06-10 20:44:43.431858,0 days 00:01:56.214733,23.0,293.0,44.0,9.0,491.0,414.0,COMPLETE
89,0.9613794391382283,2022-06-10 21:28:09.977786,2022-06-10 21:30:04.817397,0 days 00:01:54.839611,29.0,267.0,53.0,8.0,383.0,418.0,COMPLETE
68,0.9613290467434239,2022-06-10 20:56:41.197613,2022-06-10 20:57:53.318662,0 days 00:01:12.121049,26.0,260.0,96.0,9.0,376.0,268.0,COMPLETE
66,0.9612815836959185,2022-06-10 20:53:50.910844,2022-06-10 20:55:36.029394,0 days 00:01:45.118550,27.0,286.0,89.0,6.0,251.0,385.0,COMPLETE
27,0.9612777667669893,2022-06-10 19:52:16.553134,2022-06-10 19:53:47.191379,0 days 00:01:30.638245,30.0,265.0,94.0,13.0,434.0,332.0,COMPLETE
30,0.9612359785995785,2022-06-10 19:56:40.941433,2022-06-10 19:57:47.536814,0 days 00:01:06.595381,29.0,256.0,56.0,9.0,365.0,242.0,COMPLETE
24,0.9612075677762124,2022-06-10 19:47:13.136899,2022-06-10 19:48:52.990439,0 days 00:01:39.853540,29.0,251.0,67.0,9.0,382.0,370.0,COMPLETE
36,0.9612020252026592,2022-06-10 20:05:49.522640,2022-06-10 20:07:46.175278,0 days 00:01:56.652638,27.0,287.0,81.0,2.0,444.0,424.0,COMPLETE
4,0.9611700201628074,2022-06-10 19:15:38.586560,2022-06-10 19:16:35.593830,0 days 00:00:57.007270,30.0,261.0,86.0,18.0,430.0,208.0,COMPLETE
55,0.9611474237029982,2022-06-10 20:36:07.641776,2022-06-10 20:37:54.626988,0 days 00:01:46.985212,29.0,260.0,91.0,3.0,423.0,387.0,COMPLETE
3,0.9610917623969709,2022-06-10 19:14:23.071478,2022-06-10 19:15:38.586449,0 days 00:01:15.514971,17.0,231.0,84.0,2.0,389.0,276.0,COMPLETE
45,0.9610711509870932,2022-06-10 20:20:18.599092,2022-06-10 20:22:15.605572,0 days 00:01:57.006480,30.0,255.0,85.0,7.0,451.0,422.0,COMPLETE
65,0.9609664417436368,2022-06-10 20:52:12.304823,2022-06-10 20:53:50.910718,0 days 00:01:38.605895,29.0,276.0,59.0,10.0,223.0,363.0,COMPLETE
37,0.9608548659327256,2022-06-10 20:07:46.175451,2022-06-10 20:08:56.396058,0 days 00:01:10.220607,29.0,266.0,77.0,15.0,305.0,254.0,COMPLETE
8,0.9608287660465329,2022-06-10 19:20:40.833044,2022-06-10 19:21:11.423211,0 days 00:00:30.590167,25.0,245.0,98.0,13.0,458.0,110.0,COMPLETE
77,0.9608170660940137,2022-06-10 21:09:25.059566,2022-06-10 21:10:48.245932,0 days 00:01:23.186366,30.0,235.0,84.0,7.0,410.0,307.0,COMPLETE
19,0.9607600678858367,2022-06-10 19:38:13.939474,2022-06-10 19:39:38.159760,0 days 00:01:24.220286,28.0,243.0,89.0,5.0,328.0,315.0,COMPLETE
60,0.9607481088782369,2022-06-10 20:44:43.432001,2022-06-10 20:46:24.913467,0 days 00:01:41.481466,24.0,239.0,82.0,14.0,442.0,372.0,COMPLETE
