iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
59,0.9895290593772811,2022-06-14 14:48:33.663347,2022-06-14 14:49:09.805390,0 days 00:00:36.142043,24,273,57,18,257,132,COMPLETE
98,0.9894909274193548,2022-06-14 15:16:20.306327,2022-06-14 15:17:00.533859,0 days 00:00:40.227532,29,220,96,21,392,149,COMPLETE
2,0.9893260140286673,2022-06-14 13:57:26.969145,2022-06-14 13:58:30.902822,0 days 00:01:03.933677,23,234,80,4,447,231,COMPLETE
21,0.989284194186425,2022-06-14 14:18:43.005660,2022-06-14 14:19:21.974308,0 days 00:00:38.968648,18,280,64,20,250,144,COMPLETE
56,0.9892066374136279,2022-06-14 14:45:23.813398,2022-06-14 14:46:13.564188,0 days 00:00:49.750790,22,242,47,15,330,184,COMPLETE
96,0.9892018424828211,2022-06-14 15:15:03.463473,2022-06-14 15:15:43.028833,0 days 00:00:39.565360,27,249,91,19,410,144,COMPLETE
23,0.9891728789492368,2022-06-14 14:19:59.251925,2022-06-14 14:20:52.002821,0 days 00:00:52.750896,22,257,63,25,300,194,COMPLETE
4,0.9891391996774519,2022-06-14 13:59:55.272861,2022-06-14 14:00:55.912036,0 days 00:01:00.639175,28,296,83,4,388,221,COMPLETE
46,0.9890796411525102,2022-06-14 14:37:53.795544,2022-06-14 14:38:38.889117,0 days 00:00:45.093573,29,292,43,18,224,168,COMPLETE
53,0.9889254413500415,2022-06-14 14:42:54.491432,2022-06-14 14:43:32.694261,0 days 00:00:38.202829,19,235,98,17,247,140,COMPLETE
51,0.9889189731247493,2022-06-14 14:41:34.490614,2022-06-14 14:42:11.624831,0 days 00:00:37.134217,21,270,71,20,272,138,COMPLETE
95,0.9888258292344558,2022-06-14 15:14:19.624851,2022-06-14 15:15:03.463323,0 days 00:00:43.838472,28,270,97,20,396,160,COMPLETE
42,0.9887492063492064,2022-06-14 14:34:06.233630,2022-06-14 14:34:40.275222,0 days 00:00:34.041592,30,247,76,23,315,123,COMPLETE
16,0.9887281035795887,2022-06-14 14:12:08.238321,2022-06-14 14:13:04.532749,0 days 00:00:56.294428,26,220,42,13,343,207,COMPLETE
88,0.9886977395479096,2022-06-14 15:07:52.198967,2022-06-14 15:09:12.335177,0 days 00:01:20.136210,29,259,86,17,476,290,COMPLETE
58,0.9886797220467467,2022-06-14 14:46:57.184088,2022-06-14 14:48:33.663216,0 days 00:01:36.479128,20,261,66,25,235,355,COMPLETE
14,0.988663178413871,2022-06-14 14:10:44.126058,2022-06-14 14:11:20.013609,0 days 00:00:35.887551,26,178,55,17,164,137,COMPLETE
48,0.9886440720548703,2022-06-14 14:39:24.991109,2022-06-14 14:40:04.666813,0 days 00:00:39.675704,29,256,38,28,310,146,COMPLETE
24,0.9885670340938221,2022-06-14 14:20:52.002935,2022-06-14 14:21:20.884121,0 days 00:00:28.881186,22,225,74,24,321,104,COMPLETE
75,0.9885005523752134,2022-06-14 14:57:45.380490,2022-06-14 15:00:01.952122,0 days 00:02:16.571632,29,280,98,19,349,496,COMPLETE
25,0.9884320382245694,2022-06-14 14:21:20.884247,2022-06-14 14:22:27.397435,0 days 00:01:06.513188,24,257,68,27,265,244,COMPLETE
12,0.9884128678152158,2022-06-14 14:09:27.632932,2022-06-14 14:09:56.911872,0 days 00:00:29.278940,19,208,50,23,212,109,COMPLETE
26,0.988336481037211,2022-06-14 14:22:27.397540,2022-06-14 14:23:08.038413,0 days 00:00:40.640873,20,194,58,19,193,152,COMPLETE
65,0.9880470067188404,2022-06-14 14:51:51.726477,2022-06-14 14:52:19.186899,0 days 00:00:27.460422,26,282,95,22,382,100,COMPLETE
3,0.9877119069114254,2022-06-14 13:58:30.902927,2022-06-14 13:59:55.272761,0 days 00:01:24.369834,23,249,33,13,292,313,COMPLETE
5,0.9877081379729833,2022-06-14 14:00:55.912151,2022-06-14 14:02:30.505705,0 days 00:01:34.593554,21,207,66,8,448,354,COMPLETE
