iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
26,0.9546360934183714,2022-06-09 19:05:22.961960,2022-06-09 19:07:22.583750,0 days 00:01:59.621790,22.0,222.0,81.0,9.0,464.0,436.0,COMPLETE
69,0.9544918737238919,2022-06-09 20:32:46.398567,2022-06-09 20:33:54.980848,0 days 00:01:08.582281,26.0,300.0,66.0,7.0,486.0,240.0,COMPLETE
34,0.9544317862777761,2022-06-09 19:20:58.380154,2022-06-09 19:23:08.442565,0 days 00:02:10.062411,24.0,218.0,95.0,27.0,460.0,471.0,COMPLETE
5,0.9542681631809281,2022-06-09 18:28:10.931403,2022-06-09 18:29:07.197660,0 days 00:00:56.266257,18.0,283.0,74.0,12.0,160.0,206.0,COMPLETE
38,0.9542519073621774,2022-06-09 19:28:30.957842,2022-06-09 19:30:24.266555,0 days 00:01:53.308713,25.0,236.0,74.0,24.0,481.0,401.0,COMPLETE
24,0.9541450817082912,2022-06-09 19:01:46.166726,2022-06-09 19:03:40.092083,0 days 00:01:53.925357,27.0,249.0,90.0,16.0,402.0,411.0,COMPLETE
75,0.9539970895153905,2022-06-09 20:44:31.004493,2022-06-09 20:46:46.298979,0 days 00:02:15.294486,29.0,210.0,97.0,9.0,474.0,490.0,COMPLETE
9,0.9538266789042527,2022-06-09 18:34:04.962910,2022-06-09 18:35:12.636532,0 days 00:01:07.673622,18.0,278.0,97.0,29.0,273.0,238.0,COMPLETE
40,0.9533088542433703,2022-06-09 19:32:33.049425,2022-06-09 19:34:02.516855,0 days 00:01:29.467430,28.0,255.0,44.0,12.0,427.0,315.0,COMPLETE
84,0.9530580374140583,2022-06-09 21:02:19.463055,2022-06-09 21:04:26.752858,0 days 00:02:07.289803,28.0,194.0,86.0,4.0,464.0,469.0,COMPLETE
15,0.952939226665997,2022-06-09 18:46:17.927710,2022-06-09 18:46:46.303194,0 days 00:00:28.375484,16.0,263.0,86.0,23.0,300.0,100.0,COMPLETE
8,0.9526454849803412,2022-06-09 18:32:26.194425,2022-06-09 18:34:04.962809,0 days 00:01:38.768384,29.0,203.0,48.0,7.0,437.0,355.0,COMPLETE
7,0.9521967117475809,2022-06-09 18:30:34.125481,2022-06-09 18:32:26.194307,0 days 00:01:52.068826,29.0,201.0,57.0,17.0,163.0,417.0,COMPLETE
1,0.9521088598312787,2022-06-09 18:22:01.641860,2022-06-09 18:23:30.871189,0 days 00:01:29.229329,25.0,204.0,74.0,4.0,428.0,324.0,COMPLETE
0,0.9519199487925815,2022-06-09 18:21:19.062137,2022-06-09 18:22:01.641742,0 days 00:00:42.579605,24.0,239.0,79.0,29.0,398.0,150.0,COMPLETE
76,0.9514309508925127,2022-06-09 20:46:46.299143,2022-06-09 20:47:21.930234,0 days 00:00:35.631091,26.0,286.0,88.0,3.0,397.0,123.0,COMPLETE
6,0.9513047668902055,2022-06-09 18:29:07.197811,2022-06-09 18:30:34.125374,0 days 00:01:26.927563,25.0,189.0,94.0,5.0,266.0,321.0,COMPLETE
98,0.9509609453306562,2022-06-09 21:32:25.994131,2022-06-09 21:34:23.261814,0 days 00:01:57.267683,25.0,181.0,96.0,11.0,327.0,429.0,COMPLETE
39,0.9506164542628213,2022-06-09 19:30:24.266669,2022-06-09 19:32:33.049300,0 days 00:02:08.782631,22.0,175.0,56.0,28.0,403.0,471.0,COMPLETE
2,0.9503092961410854,2022-06-09 18:23:30.871293,2022-06-09 18:25:15.268858,0 days 00:01:44.397565,25.0,168.0,51.0,27.0,233.0,389.0,COMPLETE
45,0.9491176612251159,2022-06-09 19:42:59.283530,2022-06-09 19:44:56.520544,0 days 00:01:57.237014,25.0,145.0,80.0,17.0,480.0,438.0,COMPLETE
4,0.9491070182274653,2022-06-09 18:27:19.790898,2022-06-09 18:28:10.931306,0 days 00:00:51.140408,21.0,192.0,39.0,5.0,154.0,190.0,COMPLETE
17,0.9487261318890365,2022-06-09 18:48:03.053272,2022-06-09 18:49:47.052390,0 days 00:01:43.999118,19.0,132.0,84.0,25.0,223.0,392.0,COMPLETE
28,0.9476724104505063,2022-06-09 19:09:33.271205,2022-06-09 19:10:49.657390,0 days 00:01:16.386185,17.0,168.0,90.0,21.0,318.0,283.0,COMPLETE
85,0.9469045375317776,2022-06-09 21:04:26.753009,2022-06-09 21:06:24.666992,0 days 00:01:57.913983,29.0,117.0,77.0,6.0,452.0,445.0,COMPLETE
10,0.9467578079392422,2022-06-09 18:35:12.636628,2022-06-09 18:37:14.280797,0 days 00:02:01.644169,21.0,104.0,33.0,21.0,509.0,456.0,COMPLETE
66,0.9460635805710425,2022-06-09 20:26:52.478211,2022-06-09 20:28:39.228162,0 days 00:01:46.749951,26.0,104.0,76.0,5.0,496.0,408.0,COMPLETE
99,,2022-06-09 21:34:23.261973,,,,,,,,,RUNNING
