depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
6,153,0.46193495315934324,0.02019330472073788,7,7,0.9492696400097745,1.996325052895328,210
7,101,0.4327800383366968,0.022337579949202626,7,14,0.6752011330137173,1.9963650342964647,189
6,286,0.40394248313992703,0.011940537199895249,14,7,0.3238702630563748,1.996393848504222,68
10,376,0.14909728370579783,0.004312386258337252,16,11,0.2861442759266702,1.996471155154655,195
8,138,0.8260960050971031,0.017605470489494877,6,18,0.855296493024736,1.996487626769781,240
9,345,0.4436849905612985,0.006257532221632079,14,7,0.5650039884190354,1.9965120694795668,259
6,110,0.4167873944832911,0.03510985428421052,12,17,0.746767648015581,1.996559853741691,204
9,334,0.5769442684674604,0.008501669681516064,7,18,0.6436791755928771,1.996654305076488,268
8,281,0.6530858667493202,0.010417597717786546,12,11,0.9730953448088125,1.9966717484463885,232
6,228,0.7471007220303143,0.019028264896643655,11,6,0.15225612487040535,1.9967302212858296,29
8,425,0.2819807605708803,0.009102456392084504,3,6,0.554463004265852,1.9967618156839184,209
6,171,0.5822310324308733,0.030320290458249407,14,12,0.27334147046339935,1.996806147778896,71
9,296,0.28545565123722305,0.011497621471241441,14,7,0.5211549790710175,1.9968112332006875,263
8,109,0.11425950656296563,0.03193116757538736,18,13,0.9797287688274049,1.9968189021509697,156
10,126,0.7757688871472053,0.025151846186084466,5,9,0.29751274146016937,1.996828772724588,43
10,252,0.14686883738349174,0.008911392295013087,14,13,0.8898530859694931,1.996830075417214,144
8,297,0.4416237690992385,0.013351366556209755,19,14,0.5438483210230092,1.9968354556281296,245
8,103,0.129584243777636,0.03848626434068761,14,15,0.7945374415090858,1.9968582002848945,213
6,133,0.14071670371016787,0.042653582016778185,6,8,0.09961571043006022,1.9968815602197716,93
7,283,0.35586389443083244,0.014858060136664911,5,4,0.6713877837993185,1.9969360249964645,163
9,192,0.21154143050843616,0.02065777562464341,13,18,0.4243616824029604,1.9969408773099144,141
6,120,0.5265490406418594,0.04906086819884316,4,9,0.25149445945513993,1.996943571562976,59
8,151,0.5601661670181303,0.028625724671860503,12,11,0.6035149103036531,1.996956718566724,237
6,193,0.320869463778328,0.030954093568616198,16,11,0.21751143354914093,1.9969602589588988,57
9,465,0.8664551756738545,0.0047546117502625124,14,8,0.06094705675056308,1.9969620188809143,50
7,156,0.27476418825990556,0.027759151055954116,10,17,0.6074002699255991,1.9969649886150256,153
8,123,0.5141843139078994,0.03406034095342937,12,11,0.670311730317963,1.9969694115053531,235
7,195,0.18191741906803505,0.07274264773431642,2,17,0.025990270741258065,1.9969746340502288,75
7,209,0.03870425162010266,0.022658816214126198,5,17,0.567317552469835,1.9969984035577544,146
6,124,0.3483411197588042,0.045708344309458325,7,8,0.6971727190174601,1.997013963483829,244
8,119,0.8630057259189958,0.03583038868929686,8,2,0.771417560735144,1.9970226462362584,249
11,180,0.14648688868621232,0.017163637549252618,11,8,0.6061239281157386,1.9970335282582687,292
8,471,0.4733418367396845,0.008840900699539795,3,13,0.9512675515767023,1.9970369076283627,243
7,485,0.32231885639652424,0.009806672753522337,9,4,0.7467794369095979,1.9970442135981925,154
8,172,0.16369160790850215,0.030036874631135996,14,8,0.34015348374494003,1.9970508092109125,187
12,114,0.7283450120548227,0.02117426682947331,12,3,0.5025149636574558,1.99706397736411,256
7,323,0.17223650100595314,0.014678521703091908,3,11,0.8390839777816586,1.997064313055444,135
8,457,0.17851355930412405,0.011363109944310818,3,17,0.40781241169991134,1.997071780540032,175
8,316,0.6142267832400679,0.015261627093162344,10,5,0.8334038987263935,1.9970876725294715,225
9,122,0.25359861188270505,0.03776352633832414,5,17,0.5613323963246935,1.9971089996250768,116
12,175,0.5183838402790244,0.012141516888934533,16,10,0.7326063289433666,1.9971369904612573,278
6,117,0.6935373268289898,0.06059188792482051,15,9,0.9321919292048017,1.997154621957484,257
9,186,0.4075557979996714,0.02863968397712181,14,7,0.5840389332669067,1.9972017156818307,261
9,439,0.19896026168842304,0.01150804397506716,5,7,0.6379884661185975,1.997201942839156,190
8,151,0.23296658253604602,0.03986892266039182,12,8,0.4524479875264438,1.9972047704513851,272
7,211,0.11573820212861638,0.03232332645619989,3,3,0.314133097734694,1.9972082347656703,194
12,213,0.24649764152108194,0.01261266883659568,3,18,0.9863187174596721,1.9972115113640416,288
