depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
7,338,0.23699641097713503,0.0022307946499764628,2,2,0.13779429927082287,1.9739537610077416,78
6,248,0.584566129212231,0.004848040151486481,4,16,0.18813598195985579,1.9741273121084149,39
6,155,0.25737638094387844,0.006697212702186154,14,14,0.7716956958603411,1.9745371672958676,267
10,241,0.5435722959578843,0.0012026256627308684,2,18,0.3349992797367938,1.9745648556665745,27
8,451,0.4745342082894716,0.000921912439078576,7,13,0.6780628141459983,1.9747021100562143,119
10,447,0.33240430517871006,0.001028763437753898,10,6,0.3243240785515103,1.97536880803907,230
12,353,0.20769580784712705,0.00020223488560370227,15,11,0.6842643657681494,1.9753704055973944,129
6,189,0.3978837537511787,0.006877309873978471,16,19,0.6656539925718986,1.975459073045558,105
12,464,0.09788022436646036,0.0004236014610344217,19,16,0.4207832152797157,1.9754971456140376,187
6,240,0.19578138711447723,0.006727338531271755,15,9,0.2832839518793769,1.9755778756244309,186
6,149,0.10851043107920239,0.009747440900292533,13,6,0.5236235492702388,1.975717733445106,262
12,461,0.42509451250242186,0.00020357200813907444,3,15,0.08679984876119728,1.9765938543319916,61
6,157,0.12639325429980158,0.01288738445028141,18,19,0.36801076183564574,1.976760679472139,165
6,224,0.29176557927786856,0.009487231077864033,9,2,0.5577960327399967,1.977168854873081,153
6,202,0.1578163234467852,0.010525736184219809,13,6,0.5664714698506541,1.9771894326048665,259
6,219,0.41720731974490877,0.011315491060458264,14,7,0.22157214491370697,1.9772343183726064,66
6,137,0.306911963964915,0.015410420350028015,9,2,0.8469937452495019,1.9772778307572143,122
6,183,0.9749292038189025,0.012251326997534732,12,7,0.4160029192647806,1.9772826331401891,2
6,384,0.2312080968295389,0.00596094934742978,14,2,0.41826600958059,1.9773874650714065,277
6,109,0.4453683109880088,0.021820375147341715,14,3,0.3769881734560592,1.977479055599084,240
6,125,0.6040183259356661,0.02082112798636227,6,18,0.3852839996290489,1.977840802150446,63
6,153,0.17479669843305418,0.016862958043331048,6,6,0.4360207804094312,1.9779545797171425,263
9,100,0.5128011013261513,0.007549339229797639,4,4,0.7615236821159229,1.9779783165130536,126
6,209,0.38208464094872197,0.012910096073500143,8,2,0.4066143989504503,1.978107183173642,149
10,159,0.9516629862963653,0.006247954500956186,17,18,0.34779993704943746,1.978108852210121,90
9,465,0.8664551756738545,0.0047546117502625124,14,8,0.06094705675056308,1.9785839990530687,50
11,132,0.11965268250271902,0.0055393811957214776,3,10,0.5068082874124955,1.9787896153357665,254
6,154,0.4007088469895839,0.02202750490709898,16,3,0.2642657570002618,1.9789585141236232,180
6,409,0.7603510660773032,0.008367504660393996,8,9,0.2764859749431167,1.9789837734924072,224
6,286,0.40394248313992703,0.011940537199895249,14,7,0.3238702630563748,1.9790810473584115,68
6,131,0.6614124527720691,0.025326452193383146,12,11,0.3668163092694028,1.979280351251837,282
12,105,0.45809597157070964,0.0066703809667407465,9,12,0.4856424250897771,1.9793251726200696,238
6,228,0.7471007220303143,0.019028264896643655,11,6,0.15225612487040535,1.979497434315348,29
6,498,0.27087017848432854,0.006431594885584081,3,18,0.9323343385153267,1.979854205249508,288
8,359,0.14857318084540325,0.006733395493339264,16,12,0.38119842789007524,1.9799934474119525,198
6,302,0.28866578296566864,0.011960031014806013,9,19,0.7012967208701784,1.9802938418156733,280
6,227,0.5940075456041883,0.016647348443612587,9,2,0.589559866169526,1.980374066473635,257
6,232,0.055094244333476594,0.01781030426050888,10,10,0.34918781561404,1.9804754060859937,158
6,133,0.14071670371016787,0.042653582016778185,6,8,0.09961571043006022,1.9805670805084208,93
6,129,0.5133549569039106,0.03228712679713071,5,15,0.6647936937652403,1.980931467164678,296
6,230,0.29595404698362066,0.020374655347151483,11,4,0.3353302981986631,1.9810882965297387,255
