iteration,precision,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
86,0.8527795919935457,2022-06-28 15:29:26.295091,2022-06-28 15:29:27.628934,0 days 00:00:01.333843,7.1,0.0005608899944459094,0.07789897513203321,9,5727,squared_hinge,2222648,False,l1,COMPLETE
13,0.8527795919935457,2022-06-28 15:27:33.946918,2022-06-28 15:27:35.260930,0 days 00:00:01.314012,7.7,0.00041979358502689993,0.03498181212780523,14,3149,squared_hinge,3422482,False,l1,COMPLETE
16,0.8527795919935457,2022-06-28 15:27:38.757104,2022-06-28 15:27:40.212889,0 days 00:00:01.455785,9.4,0.0007409741561620724,0.08186553555165425,15,5848,squared_hinge,1646988,False,l1,COMPLETE
89,0.8527795919935457,2022-06-28 15:29:30.415631,2022-06-28 15:29:31.874634,0 days 00:00:01.459003,6.9,0.0009605855880545807,0.09937750781543254,15,7771,squared_hinge,2917774,False,l1,COMPLETE
21,0.8527795919935457,2022-06-28 15:27:47.037186,2022-06-28 15:27:48.424818,0 days 00:00:01.387632,8.6,0.0008496233768149681,0.08260089902031377,15,133,squared_hinge,4127338,False,l1,COMPLETE
28,0.8527795919935457,2022-06-28 15:27:58.310401,2022-06-28 15:27:59.583866,0 days 00:00:01.273465,9.0,0.00030207559496632096,0.061471558551230585,13,5965,squared_hinge,3748019,False,l1,COMPLETE
97,0.8527795919935457,2022-06-28 15:29:42.747325,2022-06-28 15:29:44.133518,0 days 00:00:01.386193,8.6,0.0008640515605849278,0.08689460558191207,5,9237,squared_hinge,3842869,True,l1,COMPLETE
32,0.8527795919935457,2022-06-28 15:28:04.715760,2022-06-28 15:28:06.243531,0 days 00:00:01.527771,7.9,0.0005426011058872991,0.0670880238000186,16,1239,squared_hinge,6879073,False,l1,COMPLETE
74,0.8527795919935457,2022-06-28 15:29:07.266193,2022-06-28 15:29:08.600479,0 days 00:00:01.334286,6.8,0.0007451860153760021,0.07594274257085194,17,4127,squared_hinge,2996630,False,l1,COMPLETE
83,0.8527795919935457,2022-06-28 15:29:21.061521,2022-06-28 15:29:22.537682,0 days 00:00:01.476161,7.7,0.0007599168261711864,0.09207504045320328,15,5116,squared_hinge,3589250,False,l1,COMPLETE
42,0.8527795919935457,2022-06-28 15:28:18.461342,2022-06-28 15:28:20.033099,0 days 00:00:01.571757,8.2,0.00025704562003421214,0.09311785716548321,17,5699,squared_hinge,6068952,False,l1,COMPLETE
43,0.8527795919935457,2022-06-28 15:28:20.033235,2022-06-28 15:28:21.857501,0 days 00:00:01.824266,9.2,0.0001581762340946769,0.06532284157060957,14,5480,squared_hinge,5259073,False,l1,COMPLETE
45,0.8527795919935457,2022-06-28 15:28:23.378803,2022-06-28 15:28:25.178765,0 days 00:00:01.799962,6.6,0.0007382224883153177,0.05773086660570498,15,6535,squared_hinge,3600270,False,l1,COMPLETE
91,0.8527795919935457,2022-06-28 15:29:33.430375,2022-06-28 15:29:35.022581,0 days 00:00:01.592206,8.4,0.0007180389206655153,0.0806310550960597,17,6861,squared_hinge,4565605,False,l1,COMPLETE
88,0.8364268128721343,2022-06-28 15:29:28.272289,2022-06-28 15:29:30.415439,0 days 00:00:02.143150,6.6,0.0007775792497606147,0.09020766364369767,8,4484,squared_hinge,2456997,False,l1,COMPLETE
56,0.8087180000667534,2022-06-28 15:28:40.228639,2022-06-28 15:28:42.060331,0 days 00:00:01.831692,8.4,0.0007446541323090951,0.06967415811230172,19,3022,squared_hinge,6278177,False,l1,COMPLETE
44,0.8046119555563004,2022-06-28 15:28:21.857671,2022-06-28 15:28:23.378623,0 days 00:00:01.520952,9.6,0.0006322736253226778,0.07216742341691804,20,4794,squared_hinge,4580380,False,l1,COMPLETE
