iteration,recall,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
45,0.8958535469107551,2022-06-28 15:18:34.179890,2022-06-28 15:18:36.457027,0 days 00:00:02.277137,7.1,0.00026703170878022715,0.01891355546053177,9,9939,hinge,992523,False,l1,COMPLETE
41,0.895487414187643,2022-06-28 15:18:27.434491,2022-06-28 15:18:29.114065,0 days 00:00:01.679574,3.6,0.00044220786522356637,0.02782864463791819,9,9452,hinge,1817502,False,l1,COMPLETE
98,0.8947185354691075,2022-06-28 15:19:58.208738,2022-06-28 15:19:59.778970,0 days 00:00:01.570232,0.8,0.00033547601470622454,0.022280999202545573,8,7655,hinge,8797029,False,l1,COMPLETE
15,0.8946819221967963,2022-06-28 15:17:45.217147,2022-06-28 15:17:46.719234,0 days 00:00:01.502087,0.8,0.00013265091421506693,0.015699335953777233,11,4423,hinge,7668075,True,l1,COMPLETE
89,0.8928512585812357,2022-06-28 15:19:45.517778,2022-06-28 15:19:46.997810,0 days 00:00:01.480032,0.6,0.0004443462856698692,0.022457273202888324,6,6916,hinge,9755397,False,l1,COMPLETE
32,0.8928512585812357,2022-06-28 15:18:13.101418,2022-06-28 15:18:14.547857,0 days 00:00:01.446439,0.6,0.00032389546493111557,0.01785972774055636,10,8766,hinge,1951730,True,l1,COMPLETE
80,0.8928512585812357,2022-06-28 15:19:33.695714,2022-06-28 15:19:35.151818,0 days 00:00:01.456104,0.6,0.00046071880426984104,0.039273964637925415,9,9048,hinge,1835569,False,l1,COMPLETE
79,0.8897391304347826,2022-06-28 15:19:31.992234,2022-06-28 15:19:33.695534,0 days 00:00:01.703300,6.3,0.0003784726553686659,0.0897069743691083,12,8329,squared_hinge,2137280,True,l1,COMPLETE
69,0.889720823798627,2022-06-28 15:19:14.403181,2022-06-28 15:19:16.287009,0 days 00:00:01.883828,2.1,0.00011886753295711458,0.05751449957694716,11,4010,squared_hinge,1208834,True,l1,COMPLETE
18,0.8774187643020595,2022-06-28 15:17:50.164441,2022-06-28 15:17:51.629429,0 days 00:00:01.464988,5.4,0.0004107162864845995,0.041260275459841636,8,9904,squared_hinge,1603020,False,l1,COMPLETE
4,0.8745629290617849,2022-06-28 15:17:30.780413,2022-06-28 15:17:32.513046,0 days 00:00:01.732633,2.3000000000000003,0.0007227036292186975,0.043387934159660975,13,5701,squared_hinge,2580036,False,l1,COMPLETE
49,0.8745629290617849,2022-06-28 15:18:41.861441,2022-06-28 15:18:43.887148,0 days 00:00:02.025707,0.4,0.0003809614915764839,0.04437132051937892,8,6770,squared_hinge,1008204,False,l1,COMPLETE
67,0.8745629290617849,2022-06-28 15:19:09.556800,2022-06-28 15:19:11.423493,0 days 00:00:01.866693,0.4,0.0004547954168042091,0.013444837753495309,10,5201,squared_hinge,7163918,True,l1,COMPLETE
27,0.8717620137299771,2022-06-28 15:18:07.347603,2022-06-28 15:18:08.668856,0 days 00:00:01.321253,3.0000000000000004,0.0006120287633595003,0.07695191305586846,14,8064,squared_hinge,1992695,True,l1,COMPLETE
28,0.8667093821510298,2022-06-28 15:18:08.669013,2022-06-28 15:18:09.933296,0 days 00:00:01.264283,3.4000000000000004,0.0004824324672735391,0.05361170695584213,12,3696,squared_hinge,111889,True,l1,COMPLETE
30,0.8599359267734554,2022-06-28 15:18:10.532198,2022-06-28 15:18:11.830430,0 days 00:00:01.298232,5.2,0.00023797613165566476,0.06354995425823531,14,9309,squared_hinge,3792475,True,l1,COMPLETE
62,0.8586361556064073,2022-06-28 15:19:00.879115,2022-06-28 15:19:02.210855,0 days 00:00:01.331740,6.5,0.0004276773073539856,0.036926802021273054,12,8422,squared_hinge,17040,False,l1,COMPLETE
66,0.8580869565217392,2022-06-28 15:19:08.058051,2022-06-28 15:19:09.556652,0 days 00:00:01.498601,2.8000000000000003,0.00018863017115390907,0.02116228493668424,14,8052,hinge,2223539,False,l1,COMPLETE
19,0.8580320366132723,2022-06-28 15:17:51.629553,2022-06-28 15:17:52.896485,0 days 00:00:01.266932,9.700000000000001,0.00013478287836403072,0.011780133913296057,11,2328,hinge,8230238,True,l1,COMPLETE
73,0.8580320366132723,2022-06-28 15:19:19.859433,2022-06-28 15:19:21.040322,0 days 00:00:01.180889,8.9,0.00042148531231531573,0.01650048915101439,12,9042,hinge,1598269,False,l1,COMPLETE
52,0.8580320366132723,2022-06-28 15:18:46.935544,2022-06-28 15:18:48.062430,0 days 00:00:01.126886,9.700000000000001,0.0006243472989739623,0.024292419125905455,9,9989,hinge,2093784,False,l1,COMPLETE
