iteration,roc_weighted,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
84,0.919118579204685,2022-06-28 15:00:10.071389,2022-06-28 15:00:11.782171,0 days 00:00:01.710782,2.1,0.00037462280273647903,0.03961534540744886,7.0,5823.0,squared_hinge,4368210.0,False,l1,COMPLETE
63,0.9191172559212484,2022-06-28 14:59:42.180431,2022-06-28 14:59:43.708813,0 days 00:00:01.528382,2.9000000000000004,0.0001531604961791171,0.03742327066906822,20.0,8064.0,squared_hinge,5407621.0,True,l1,COMPLETE
85,0.9189044998274463,2022-06-28 15:00:11.782457,2022-06-28 15:00:13.647631,0 days 00:00:01.865174,1.3000000000000003,0.0002903348712953841,0.03368581930404743,6.0,6280.0,squared_hinge,5525444.0,False,l1,COMPLETE
51,0.9188940270050111,2022-06-28 14:59:24.544575,2022-06-28 14:59:26.181530,0 days 00:00:01.636955,5.0,0.0006312192512125251,0.08630609091643265,19.0,9917.0,squared_hinge,7768066.0,False,l1,COMPLETE
45,0.9187449273488929,2022-06-28 14:59:16.217343,2022-06-28 14:59:17.773044,0 days 00:00:01.555701,2.5000000000000004,0.0008772126421477128,0.026727870183466836,20.0,7903.0,squared_hinge,8064001.0,False,l1,COMPLETE
50,0.9187292267514059,2022-06-28 14:59:22.782194,2022-06-28 14:59:24.544406,0 days 00:00:01.762212,0.8,0.0003195584539221305,0.012289311408480086,14.0,2404.0,squared_hinge,7211605.0,False,l1,COMPLETE
9,0.9187123530646664,2022-06-28 14:58:24.914610,2022-06-28 14:58:26.780957,0 days 00:00:01.866347,0.6,0.000977992510910783,0.06386555670732952,11.0,7288.0,squared_hinge,2669975.0,True,l1,COMPLETE
98,0.918327424290382,2022-06-28 15:00:29.918090,2022-06-28 15:00:31.525958,0 days 00:00:01.607868,2.8000000000000003,0.00044086337530755207,0.09600989331571876,5.0,4045.0,squared_hinge,4259794.0,False,l1,COMPLETE
10,0.9182959848685659,2022-06-28 14:58:26.781103,2022-06-28 14:58:31.865642,0 days 00:00:05.084539,7.7,5.309822154843006e-05,0.09991115940150791,20.0,5150.0,hinge,6013510.0,False,l1,COMPLETE
49,0.9169959278722953,2022-06-28 14:59:21.436525,2022-06-28 14:59:22.782018,0 days 00:00:01.345493,4.1,0.0006830197441761615,0.035453320640658925,19.0,8138.0,hinge,9713297.0,False,l1,COMPLETE
38,0.9167658010943537,2022-06-28 14:59:07.286771,2022-06-28 14:59:08.650702,0 days 00:00:01.363931,2.3000000000000003,0.0005897748063859115,0.04668982792667474,18.0,4409.0,hinge,6671292.0,False,l1,COMPLETE
18,0.9167632641934594,2022-06-28 14:58:41.792080,2022-06-28 14:58:43.115508,0 days 00:00:01.323428,2.3000000000000003,0.0004147262214236071,0.058053017379498265,20.0,3466.0,hinge,5395894.0,False,l1,COMPLETE
19,0.9166567572096963,2022-06-28 14:58:43.115668,2022-06-28 14:58:44.832406,0 days 00:00:01.716738,10.0,9.788887753459276e-05,0.09149412778819113,6.0,6152.0,squared_hinge,8296564.0,False,l1,COMPLETE
92,0.9159283592394885,2022-06-28 15:00:21.007984,2022-06-28 15:00:22.809519,0 days 00:00:01.801535,1.6,0.0003239670379052923,0.0905603045535653,6.0,6680.0,squared_hinge,5399332.0,False,l1,COMPLETE
87,0.9158552934268678,2022-06-28 15:00:15.135069,2022-06-28 15:00:16.650503,0 days 00:00:01.515434,0.9,0.0004243999264388821,0.036845792149060363,9.0,4349.0,squared_hinge,3847096.0,False,l1,COMPLETE
36,0.9153696416953009,2022-06-28 14:59:05.515493,2022-06-28 14:59:06.821386,0 days 00:00:01.305893,2.0,0.0006812556162669255,0.038351270654172834,19.0,8902.0,hinge,5534930.0,True,l1,COMPLETE
76,0.9148449780418525,2022-06-28 14:59:59.675647,2022-06-28 15:00:00.993399,0 days 00:00:01.317752,1.1,0.0003935506745660681,0.04881902139334407,8.0,4747.0,hinge,2177507.0,False,l1,COMPLETE
16,0.9131753014675862,2022-06-28 14:58:39.064866,2022-06-28 14:58:40.400676,0 days 00:00:01.335810,6.8,0.0006088160775698516,0.0396620223501654,18.0,6068.0,hinge,9602352.0,False,l1,COMPLETE
27,0.9122696266855725,2022-06-28 14:58:54.132141,2022-06-28 14:58:55.467875,0 days 00:00:01.335734,1.4000000000000001,0.0006756687577879081,0.05713877159360644,19.0,5171.0,squared_hinge,6123444.0,False,l1,COMPLETE
20,0.9100611039601991,2022-06-28 14:58:44.832532,2022-06-28 14:58:46.201082,0 days 00:00:01.368550,4.5,0.00033925947631094095,0.01554452589288597,13.0,8525.0,hinge,6413935.0,False,l1,COMPLETE
40,0.9045965873604229,2022-06-28 14:59:09.116060,2022-06-28 14:59:10.413192,0 days 00:00:01.297132,3.8000000000000003,0.000762311516805381,0.09920299112243694,8.0,9573.0,hinge,5061929.0,True,l1,COMPLETE
82,0.9008433095540409,2022-06-28 15:00:07.113329,2022-06-28 15:00:08.763481,0 days 00:00:01.650152,0.1,0.00025188727484189947,0.04764853195251596,5.0,5651.0,squared_hinge,4128880.0,False,l1,COMPLETE
70,0.8962107584869282,2022-06-28 14:59:51.224651,2022-06-28 14:59:52.525522,0 days 00:00:01.300871,1.5000000000000002,0.0004327139469842143,0.042550337045011544,8.0,6479.0,squared_hinge,5668034.0,False,l1,COMPLETE
44,0.8962107584869282,2022-06-28 14:59:14.979007,2022-06-28 14:59:16.217176,0 days 00:00:01.238169,3.3000000000000003,0.0007438073395316639,0.0080600321088805,19.0,7036.0,squared_hinge,7007112.0,False,l1,COMPLETE
21,0.8962107584869282,2022-06-28 14:58:46.201234,2022-06-28 14:58:47.636601,0 days 00:00:01.435367,4.3,0.0007149388356358954,0.008928689021328538,20.0,10000.0,squared_hinge,7371307.0,False,l1,COMPLETE
41,0.8962107584869282,2022-06-28 14:59:10.413436,2022-06-28 14:59:11.577307,0 days 00:00:01.163871,4.5,0.0007104685051048071,0.008975361922003721,20.0,8427.0,squared_hinge,7320597.0,False,l1,COMPLETE
79,0.8962107584869282,2022-06-28 15:00:02.821870,2022-06-28 15:00:04.286605,0 days 00:00:01.464735,1.5000000000000002,0.0004735571764977085,0.0677629278165222,7.0,4948.0,squared_hinge,2990349.0,False,l1,COMPLETE
17,0.8962107584869282,2022-06-28 14:58:40.400799,2022-06-28 14:58:41.791959,0 days 00:00:01.391160,8.7,0.0007988596731007501,0.017902192787824803,17.0,8402.0,squared_hinge,7484053.0,False,l1,COMPLETE
68,0.8962107584869282,2022-06-28 14:59:48.433168,2022-06-28 14:59:49.989070,0 days 00:00:01.555902,2.6,0.0007435344534789636,0.045001936072716665,10.0,5455.0,squared_hinge,5040743.0,True,l1,COMPLETE
83,0.8962107584869282,2022-06-28 15:00:08.763680,2022-06-28 15:00:10.071178,0 days 00:00:01.307498,1.7000000000000002,0.00040336486631510355,0.05423696509118468,6.0,5251.0,squared_hinge,5206856.0,False,l1,COMPLETE
13,0.8962107584869282,2022-06-28 14:58:35.073229,2022-06-28 14:58:36.342436,0 days 00:00:01.269207,3.8000000000000003,0.00027057095654278853,0.030155945020444722,15.0,3637.0,squared_hinge,3923195.0,True,l1,COMPLETE
12,0.8962107584869282,2022-06-28 14:58:33.747910,2022-06-28 14:58:35.073101,0 days 00:00:01.325191,3.2,0.00037875556252524247,0.02745268745689706,15.0,6913.0,squared_hinge,6412772.0,True,l1,COMPLETE
94,0.8962107584869282,2022-06-28 15:00:24.315899,2022-06-28 15:00:25.524988,0 days 00:00:01.209089,2.6,0.0002839085465304567,0.09711373829898771,5.0,5273.0,squared_hinge,4105478.0,False,l1,COMPLETE
96,0.8962107584869282,2022-06-28 15:00:27.343909,2022-06-28 15:00:28.727026,0 days 00:00:01.383117,8.6,0.00032476780639243644,0.08003581492857868,7.0,5670.0,squared_hinge,4533814.0,False,l1,COMPLETE
24,0.8962107584869282,2022-06-28 14:58:50.156859,2022-06-28 14:58:51.459405,0 days 00:00:01.302546,1.4000000000000001,0.000894748109952681,0.02226767288682266,17.0,9056.0,squared_hinge,5259142.0,False,l1,COMPLETE
23,0.8962107584869282,2022-06-28 14:58:48.982806,2022-06-28 14:58:50.156676,0 days 00:00:01.173870,2.8000000000000003,0.0005487122269642985,0.03506005490354503,18.0,7794.0,squared_hinge,8578327.0,False,l1,COMPLETE
52,0.8962107584869282,2022-06-28 14:59:26.181776,2022-06-28 14:59:27.372621,0 days 00:00:01.190845,5.5,0.0006288834911243865,0.05339162078249082,19.0,9612.0,squared_hinge,6609634.0,False,l1,COMPLETE
64,0.8962107584869282,2022-06-28 14:59:43.709024,2022-06-28 14:59:45.113816,0 days 00:00:01.404792,4.2,0.0007992261950778586,0.04915227123241518,18.0,8412.0,squared_hinge,6055968.0,True,l1,COMPLETE
48,0.8962107584869282,2022-06-28 14:59:19.795728,2022-06-28 14:59:21.436375,0 days 00:00:01.640647,3.1,0.0005705705229272382,0.06374309687046861,20.0,7214.0,squared_hinge,4044929.0,True,l1,COMPLETE
