iteration,precision,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
958,0.9999783970620004,2022-06-13 23:56:10.772547,2022-06-13 23:56:11.742597,0 days 00:00:00.970050,0.9627615663302529,2045291,random,0.016934154238872373,COMPLETE
935,0.9999783970620004,2022-06-13 23:55:47.040971,2022-06-13 23:55:48.006294,0 days 00:00:00.965323,0.9440596540605117,1933794,random,0.012414194331807026,COMPLETE
945,0.9999783965953034,2022-06-13 23:55:56.948933,2022-06-13 23:55:57.916347,0 days 00:00:00.967414,0.9343906904371413,1917473,random,0.012864051983056578,COMPLETE
894,0.9999783961285862,2022-06-13 23:55:06.567084,2022-06-13 23:55:07.517773,0 days 00:00:00.950689,0.9199897796552688,1673854,random,0.015604857058072009,COMPLETE
927,0.9999783961285862,2022-06-13 23:55:39.214265,2022-06-13 23:55:40.173689,0 days 00:00:00.959424,0.9189128800099694,1824233,random,0.012606180994020442,COMPLETE
930,0.9999783961285862,2022-06-13 23:55:42.074269,2022-06-13 23:55:43.040971,0 days 00:00:00.966702,0.9146472174604143,1904564,random,0.011971449581997327,COMPLETE
897,0.9999783961285862,2022-06-13 23:55:09.684974,2022-06-13 23:55:10.676134,0 days 00:00:00.991160,0.9159156522938097,1656123,random,0.014730495769158846,COMPLETE
966,0.9999783956618489,2022-06-13 23:56:18.177995,2022-06-13 23:56:19.430174,0 days 00:00:01.252179,0.9229847236458695,1579681,random,0.016447014213349927,COMPLETE
926,0.9999783956618489,2022-06-13 23:55:37.953860,2022-06-13 23:55:39.213538,0 days 00:00:01.259678,0.9108969392070585,1890959,random,0.01291505006571872,COMPLETE
921,0.9999783956618489,2022-06-13 23:55:33.050602,2022-06-13 23:55:34.008212,0 days 00:00:00.957610,0.9105296484897198,1863290,random,0.012632816344259242,COMPLETE
925,0.9999783951950914,2022-06-13 23:55:36.987224,2022-06-13 23:55:37.953202,0 days 00:00:00.965978,0.9049497281163988,1898239,random,0.012917408289071095,COMPLETE
