iteration,precision,datetime_start,datetime_complete,duration,alpha,solver,state
646,0.8642077864540068,2022-06-12 16:36:20.227870,2022-06-12 16:36:21.158151,0 days 00:00:00.930281,4.404756823486666,svd,COMPLETE
643,0.8642077864540068,2022-06-12 16:36:17.417649,2022-06-12 16:36:18.364104,0 days 00:00:00.946455,1.9833375840305876,svd,COMPLETE
642,0.8642077864540068,2022-06-12 16:36:16.481076,2022-06-12 16:36:17.417143,0 days 00:00:00.936067,2.4584271570903327,svd,COMPLETE
647,0.8642077864540068,2022-06-12 16:36:21.158665,2022-06-12 16:36:22.374813,0 days 00:00:01.216148,4.723630186810208,svd,COMPLETE
679,0.8642077864540068,2022-06-12 16:36:51.009232,2022-06-12 16:36:51.947712,0 days 00:00:00.938480,4.321780180854256,svd,COMPLETE
674,0.8642077864540068,2022-06-12 16:36:46.660646,2022-06-12 16:36:47.603359,0 days 00:00:00.942713,5.1257842310025135,svd,COMPLETE
680,0.8642077864540068,2022-06-12 16:36:51.948259,2022-06-12 16:36:52.889521,0 days 00:00:00.941262,5.438769683183199,svd,COMPLETE
673,0.8642077864540068,2022-06-12 16:36:45.743341,2022-06-12 16:36:46.660120,0 days 00:00:00.916779,1.0800176824631853,svd,COMPLETE
672,0.8642077864540068,2022-06-12 16:36:44.520746,2022-06-12 16:36:45.742808,0 days 00:00:01.222062,0.48639381997373693,svd,COMPLETE
675,0.8642077864540068,2022-06-12 16:36:47.603903,2022-06-12 16:36:48.543673,0 days 00:00:00.939770,0.5296162558173889,svd,COMPLETE
645,0.8642077864540068,2022-06-12 16:36:19.296124,2022-06-12 16:36:20.227343,0 days 00:00:00.931219,4.591169420126002,svd,COMPLETE
656,0.8642077864540068,2022-06-12 16:36:29.827438,2022-06-12 16:36:30.780942,0 days 00:00:00.953504,4.116251130365745,svd,COMPLETE
670,0.8642077864540068,2022-06-12 16:36:42.640117,2022-06-12 16:36:43.581527,0 days 00:00:00.941410,0.11615698971957644,svd,COMPLETE
655,0.8642077864540068,2022-06-12 16:36:28.888479,2022-06-12 16:36:29.826900,0 days 00:00:00.938421,3.160895750789508,svd,COMPLETE
654,0.8642077864540068,2022-06-12 16:36:27.949782,2022-06-12 16:36:28.887952,0 days 00:00:00.938170,4.30130487105447,svd,COMPLETE
657,0.8642077864540068,2022-06-12 16:36:30.781468,2022-06-12 16:36:31.719955,0 days 00:00:00.938487,3.0836322833502416,svd,COMPLETE
653,0.8642077864540068,2022-06-12 16:36:27.016355,2022-06-12 16:36:27.949253,0 days 00:00:00.932898,4.24876770322734,svd,COMPLETE
652,0.8642077864540068,2022-06-12 16:36:26.082000,2022-06-12 16:36:27.015825,0 days 00:00:00.933825,3.2445989187732645,svd,COMPLETE
658,0.8642077864540068,2022-06-12 16:36:31.720479,2022-06-12 16:36:32.658437,0 days 00:00:00.937958,3.3661628574628857,svd,COMPLETE
651,0.8642077864540068,2022-06-12 16:36:25.147883,2022-06-12 16:36:26.081467,0 days 00:00:00.933584,4.547433388992016,svd,COMPLETE
681,0.8642077864540068,2022-06-12 16:36:52.890103,2022-06-12 16:36:53.858373,0 days 00:00:00.968270,5.238682726437411,svd,COMPLETE
659,0.8642077864540068,2022-06-12 16:36:32.658955,2022-06-12 16:36:33.591656,0 days 00:00:00.932701,3.4121843850892364,svd,COMPLETE
671,0.8642077864540068,2022-06-12 16:36:43.582076,2022-06-12 16:36:44.520214,0 days 00:00:00.938138,0.4249570345173402,svd,COMPLETE
660,0.8642077864540068,2022-06-12 16:36:33.592230,2022-06-12 16:36:34.531761,0 days 00:00:00.939531,4.887468899086956,svd,COMPLETE
649,0.8642077864540068,2022-06-12 16:36:23.283519,2022-06-12 16:36:24.214480,0 days 00:00:00.930961,3.6353295508033714,svd,COMPLETE
662,0.8642077864540068,2022-06-12 16:36:35.112467,2022-06-12 16:36:36.068478,0 days 00:00:00.956011,2.159013406361086,svd,COMPLETE
663,0.8642077864540068,2022-06-12 16:36:36.069023,2022-06-12 16:36:37.007533,0 days 00:00:00.938510,4.813137163093136,svd,COMPLETE
664,0.8642077864540068,2022-06-12 16:36:37.008075,2022-06-12 16:36:37.938801,0 days 00:00:00.930726,4.95001077834728,svd,COMPLETE
665,0.8642077864540068,2022-06-12 16:36:37.939333,2022-06-12 16:36:38.880870,0 days 00:00:00.941537,3.078260440856132,svd,COMPLETE
648,0.8642077864540068,2022-06-12 16:36:22.375328,2022-06-12 16:36:23.283012,0 days 00:00:00.907684,3.2125291884309206,svd,COMPLETE
666,0.8642077864540068,2022-06-12 16:36:38.881403,2022-06-12 16:36:39.819604,0 days 00:00:00.938201,4.692159471063054,svd,COMPLETE
668,0.8642077864540068,2022-06-12 16:36:40.755647,2022-06-12 16:36:41.699956,0 days 00:00:00.944309,3.1025093290402284,svd,COMPLETE
669,0.8642077864540068,2022-06-12 16:36:41.700497,2022-06-12 16:36:42.639565,0 days 00:00:00.939068,5.041888873953613,svd,COMPLETE
650,0.8642077864540068,2022-06-12 16:36:24.215012,2022-06-12 16:36:25.147365,0 days 00:00:00.932353,4.200686142145672,svd,COMPLETE
667,0.8642077864540068,2022-06-12 16:36:39.820151,2022-06-12 16:36:40.755125,0 days 00:00:00.934974,0.7237351593416699,svd,COMPLETE
