iteration,precision,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
405,0.9104817492427759,2022-07-03 02:43:10.371906,2022-07-03 02:43:13.165352,0 days 00:00:02.793446,7.4,0.4171806829995558,156,24563770,l1,0.005166864692169367,COMPLETE
629,0.909975242643998,2022-07-03 02:52:24.723279,2022-07-03 02:52:27.957003,0 days 00:00:03.233724,9.5,0.3610042485866282,116,19225703,l1,0.0034206158487176137,COMPLETE
315,0.9095008756567425,2022-07-03 02:39:41.985586,2022-07-03 02:39:44.665539,0 days 00:00:02.679953,9.2,0.43809925923159065,256,19974568,l1,0.003914553986543789,COMPLETE
541,0.9094829473315529,2022-07-03 02:48:35.731992,2022-07-03 02:48:38.088322,0 days 00:00:02.356330,9.2,0.26189914194521835,139,24424450,l1,0.003024217513073085,COMPLETE
600,0.9093453782047204,2022-07-03 02:51:15.467025,2022-07-03 02:51:19.550987,0 days 00:00:04.083962,7.7,0.7005772645505378,122,21953806,l1,0.003404436863247611,COMPLETE
836,0.9093029666857518,2022-07-03 03:01:54.539935,2022-07-03 03:01:57.286735,0 days 00:00:02.746800,9.0,0.49123032128184185,192,38373330,l1,0.011586444261465111,COMPLETE
446,0.9092829678455233,2022-07-03 02:44:45.340179,2022-07-03 02:44:47.983534,0 days 00:00:02.643355,2.6,0.3876768487034603,164,19813638,l1,0.0018700617385597222,COMPLETE
84,0.909133330505239,2022-07-03 02:31:07.962924,2022-07-03 02:31:10.163705,0 days 00:00:02.200781,3.3000000000000003,0.4588327481327553,176,22959586,l1,0.0022282937452190554,COMPLETE
399,0.9090809580104208,2022-07-03 02:42:55.678988,2022-07-03 02:43:00.575251,0 days 00:00:04.896263,3.8000000000000003,0.2634424766313953,188,16781113,l1,3.3172378023750297e-05,COMPLETE
571,0.9088021009827177,2022-07-03 02:49:47.324303,2022-07-03 02:49:50.695595,0 days 00:00:03.371292,9.0,0.2741277960088256,253,25008557,l1,0.006609543245199581,COMPLETE
763,0.9086882814155541,2022-07-03 02:57:43.189762,2022-07-03 02:57:46.043973,0 days 00:00:02.854211,7.4,0.3687547242869674,175,23669136,l1,0.0030964160065931837,COMPLETE
778,0.9085130087161675,2022-07-03 02:58:20.530235,2022-07-03 02:58:25.236362,0 days 00:00:04.706127,3.0000000000000004,0.8703145789488764,120,5470285,l1,0.0022817935832834166,COMPLETE
520,0.9083817681248089,2022-07-03 02:47:41.646941,2022-07-03 02:47:47.220026,0 days 00:00:05.573085,3.6,0.3296855751932995,70,23421248,l1,0.0017874950941740866,COMPLETE
175,0.9083797661968753,2022-07-03 02:34:31.770966,2022-07-03 02:34:34.160060,0 days 00:00:02.389094,8.5,0.37148914031341,64,18445835,l1,0.008719962523612368,COMPLETE
502,0.9082610879392047,2022-07-03 02:47:00.376835,2022-07-03 02:47:03.076326,0 days 00:00:02.699491,4.3999999999999995,0.6360128906498594,107,25437272,l1,0.0031334580697938152,COMPLETE
469,0.907958734105433,2022-07-03 02:45:41.105478,2022-07-03 02:45:46.876946,0 days 00:00:05.771468,4.3,0.36346034532639143,74,20675716,l1,0.0021428569498641126,COMPLETE
176,0.907428160615736,2022-07-03 02:34:34.160318,2022-07-03 02:34:38.173791,0 days 00:00:04.013473,8.1,0.28960816888835506,64,18450857,l1,0.0002859930183522685,COMPLETE
345,0.9073232268308067,2022-07-03 02:40:51.525491,2022-07-03 02:40:54.583280,0 days 00:00:03.057789,9.700000000000001,0.33936260104828675,146,25597325,l1,0.00014259599236479074,COMPLETE
222,0.907263660017346,2022-07-03 02:36:18.793595,2022-07-03 02:36:21.851762,0 days 00:00:03.058167,7.9,0.3362768782407578,188,24284252,l1,0.0001213797760561857,COMPLETE
628,0.9071360371954004,2022-07-03 02:52:21.092479,2022-07-03 02:52:24.722757,0 days 00:00:03.630278,4.8,0.4318495190743686,168,22321033,l1,6.715216542606782e-05,COMPLETE
760,0.9069610224992077,2022-07-03 02:57:36.149164,2022-07-03 02:57:40.150499,0 days 00:00:04.001335,9.2,0.4045791183880211,205,20575642,l1,0.001620003412055599,COMPLETE
722,0.9068736141906873,2022-07-03 02:56:06.700517,2022-07-03 02:56:09.613346,0 days 00:00:02.912829,9.700000000000001,0.30212832961377284,76,21762497,l1,0.0030507036367820994,COMPLETE
441,0.9068313800021117,2022-07-03 02:44:30.025621,2022-07-03 02:44:32.952307,0 days 00:00:02.926686,9.700000000000001,0.9428830055337414,77,45280382,l1,0.0016164096450633021,COMPLETE
509,0.9067220707267455,2022-07-03 02:47:18.038811,2022-07-03 02:47:20.378822,0 days 00:00:02.340011,9.3,0.8732179104666126,57,18555332,l1,0.002149104525436009,COMPLETE
867,0.9066200096835249,2022-07-03 03:03:09.920225,2022-07-03 03:03:12.721172,0 days 00:00:02.800947,8.5,0.45506878089025304,156,26989315,l1,0.01404054524600237,COMPLETE
830,0.9064844764230863,2022-07-03 03:01:40.585261,2022-07-03 03:01:43.235440,0 days 00:00:02.650179,8.6,0.46927387510853447,191,39195754,l1,0.012889754965821402,COMPLETE
103,0.9062912160379847,2022-07-03 02:31:45.746319,2022-07-03 02:31:49.714758,0 days 00:00:03.968439,8.1,0.2870979835820473,98,20993539,l1,0.00450960845991809,COMPLETE
455,0.9062606040040719,2022-07-03 02:45:04.807529,2022-07-03 02:45:06.944289,0 days 00:00:02.136760,4.3,0.8854712491780639,104,22533260,l1,0.009831852359511447,COMPLETE
191,0.9061813066033588,2022-07-03 02:35:10.280410,2022-07-03 02:35:13.255845,0 days 00:00:02.975435,3.7,0.4143530876832356,138,23519898,l1,0.00942365730788126,COMPLETE
596,0.9061620956399438,2022-07-03 02:51:05.286652,2022-07-03 02:51:07.792711,0 days 00:00:02.506059,9.700000000000001,0.34245546267743465,133,41286476,l1,0.0018482411737365916,COMPLETE
145,0.9061298938179924,2022-07-03 02:33:20.954684,2022-07-03 02:33:23.954498,0 days 00:00:02.999814,5.5,0.4224228535385825,166,22717377,l1,0.0015521700337340978,COMPLETE
615,0.9060985110803325,2022-07-03 02:51:52.656958,2022-07-03 02:51:56.144869,0 days 00:00:03.487911,9.6,0.3972366853244808,127,22608366,l1,0.001693000074151265,COMPLETE
984,0.9060667911582055,2022-07-03 03:07:52.025727,2022-07-03 03:07:54.658815,0 days 00:00:02.633088,8.1,0.3752100326733752,166,27280715,l1,0.004524903728219649,COMPLETE
22,0.9060621188114514,2022-07-03 02:29:13.392234,2022-07-03 02:29:15.518183,0 days 00:00:02.125949,10.0,0.3844813243545591,117,19309260,l1,0.004542644359476927,COMPLETE
532,0.905983271653796,2022-07-03 02:48:11.906882,2022-07-03 02:48:14.478935,0 days 00:00:02.572053,9.4,0.8235347140606925,67,21832679,l1,0.00017696257120047954,COMPLETE
559,0.9056579232603512,2022-07-03 02:49:19.008024,2022-07-03 02:49:21.994165,0 days 00:00:02.986141,9.1,0.3238775598498984,135,32343007,l1,0.013108067665576519,COMPLETE
428,0.905607862749788,2022-07-03 02:44:03.311521,2022-07-03 02:44:05.962674,0 days 00:00:02.651153,3.5000000000000004,0.9852815753114936,56,24660200,l1,0.005759183339789815,COMPLETE
