iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
372,0.8957569361491093,2022-06-13 22:18:41.230848,2022-06-13 22:18:41.737866,0 days 00:00:00.507018,5.398050014215817,eig,COMPLETE
955,0.8957569361491093,2022-06-13 22:27:40.884342,2022-06-13 22:27:41.521711,0 days 00:00:00.637369,6.471203802718524,eig,COMPLETE
742,0.8957569361491093,2022-06-13 22:24:12.883295,2022-06-13 22:24:13.491736,0 days 00:00:00.608441,4.614355778712833,eig,COMPLETE
26,0.8957569361491093,2022-06-13 22:14:02.542566,2022-06-13 22:14:02.992003,0 days 00:00:00.449437,4.17398806611355,eig,COMPLETE
90,0.8957569361491093,2022-06-13 22:14:51.532512,2022-06-13 22:14:51.970862,0 days 00:00:00.438350,6.406302087349886,eig,COMPLETE
353,0.8957569361491093,2022-06-13 22:18:25.303961,2022-06-13 22:18:25.807488,0 days 00:00:00.503527,5.117164063370285,eig,COMPLETE
18,0.8957569361491093,2022-06-13 22:13:56.665998,2022-06-13 22:13:57.068869,0 days 00:00:00.402871,5.952520812931535,eig,COMPLETE
185,0.8957569361491093,2022-06-13 22:16:06.955131,2022-06-13 22:16:07.419880,0 days 00:00:00.464749,5.6691253740414975,eig,COMPLETE
107,0.8957569361491093,2022-06-13 22:15:04.751344,2022-06-13 22:15:05.208161,0 days 00:00:00.456817,4.266266577137009,eig,COMPLETE
592,0.9162976568205335,2022-06-13 22:21:52.953162,2022-06-13 22:21:53.857321,0 days 00:00:00.904159,6.002089872446814,svd,COMPLETE
518,0.9162976568205335,2022-06-13 22:20:46.954146,2022-06-13 22:20:47.851405,0 days 00:00:00.897259,6.714852680678177,svd,COMPLETE
520,0.9162976568205335,2022-06-13 22:20:48.747935,2022-06-13 22:20:49.634117,0 days 00:00:00.886182,6.867061574848763,svd,COMPLETE
138,0.9162976568205335,2022-06-13 22:15:29.230711,2022-06-13 22:15:30.030247,0 days 00:00:00.799536,9.230804433000298,svd,COMPLETE
714,0.9162976568205335,2022-06-13 22:23:46.291292,2022-06-13 22:23:47.230691,0 days 00:00:00.939399,5.946659097609913,svd,COMPLETE
106,0.9162976568205335,2022-06-13 22:15:03.956032,2022-06-13 22:15:04.751161,0 days 00:00:00.795129,6.630385661007145,svd,COMPLETE
607,0.9162976568205335,2022-06-13 22:22:06.623017,2022-06-13 22:22:07.561587,0 days 00:00:00.938570,6.563013025768706,svd,COMPLETE
699,0.9162976568205335,2022-06-13 22:23:32.219910,2022-06-13 22:23:33.158221,0 days 00:00:00.938311,7.338885885040371,svd,COMPLETE
213,0.9162976568205335,2022-06-13 22:16:29.525224,2022-06-13 22:16:30.336908,0 days 00:00:00.811684,6.597421038415923,svd,COMPLETE
598,0.9162976568205335,2022-06-13 22:21:58.635400,2022-06-13 22:21:59.527152,0 days 00:00:00.891752,7.755047313433394,svd,COMPLETE
532,0.9162976568205335,2022-06-13 22:20:59.314816,2022-06-13 22:21:00.212975,0 days 00:00:00.898159,9.512226534355003,svd,COMPLETE
515,0.9162976568205335,2022-06-13 22:20:44.273423,2022-06-13 22:20:45.165809,0 days 00:00:00.892386,6.580036383564221,svd,COMPLETE
