iteration,precision,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
523,0.0,2022-06-12 19:49:46.712881,2022-06-12 19:49:47.352808,0 days 00:00:00.639927,1.8851082113474436,True,0.9733068530765869,8125834.0,True,random,0.0244782783889533,COMPLETE
2101,0.0,2022-06-13 03:17:33.434069,2022-06-13 03:17:34.920785,0 days 00:00:01.486716,1.8731097622837587,True,0.9806639954330125,7557693.0,True,random,0.028606914418451684,COMPLETE
503,0.0,2022-06-12 19:49:31.879497,2022-06-12 19:49:32.511218,0 days 00:00:00.631721,1.9652108059637252,True,0.9613474995885913,7784832.0,True,random,0.026559274084927528,COMPLETE
2231,0.0,2022-06-13 03:20:51.551739,2022-06-13 03:20:52.791936,0 days 00:00:01.240197,1.866567888918248,True,0.9838465684200417,6581689.0,True,random,0.030051727063790876,COMPLETE
360,0.0,2022-06-12 19:47:38.106756,2022-06-12 19:47:38.675518,0 days 00:00:00.568762,1.9000848737312281,True,0.903446354672575,8985435.0,True,random,0.022665482371167,COMPLETE
4663,0.0,2022-06-13 16:23:36.867166,2022-06-13 16:23:39.556810,0 days 00:00:02.689644,1.9998102969588687,True,0.9659694690102903,7491221.0,True,random,0.017664148704741617,COMPLETE
4683,0.0,2022-06-13 16:24:37.740233,2022-06-13 16:24:40.425980,0 days 00:00:02.685747,1.9347438474418954,True,0.9813935734666771,7218157.0,True,random,0.021850575416425384,COMPLETE
340,0.0,2022-06-12 19:47:24.829522,2022-06-12 19:47:25.400748,0 days 00:00:00.571226,1.853424733686165,True,0.3886092976431976,9088937.0,True,random,0.023571364939022954,COMPLETE
2936,0.0,2022-06-13 03:41:17.290085,2022-06-13 03:41:19.171614,0 days 00:00:01.881529,1.958351908253863,True,0.9996528322664722,6192712.0,True,random,0.016871195119841326,COMPLETE
4701,0.0,2022-06-13 16:25:31.591090,2022-06-13 16:25:34.312252,0 days 00:00:02.721162,1.8338751694619035,True,0.9994633359782364,6303646.0,True,random,0.018609774524252706,COMPLETE
