boosting_type,colsample_bytree,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
dart,0.9995155713828163,+,0.18522131078078782,9,0,102.0,0.572055836474297,0.11485707623902275,0.5760905466305801,0.0022189246219649,400
dart,0.926039653919081,+,0.3946883508041207,9,0,99.0,0.8697845378503501,0.6433027997758916,0.9309498478170616,0.002219988261514,261
dart,0.9106472163341848,+,0.36678617485258413,9,0,88.0,0.4786117096604114,0.983251940515441,0.8587554484116183,0.0022216080935516,394
dart,0.9055038489209271,+,0.4503642768404615,9,0,106.0,0.9877818714510292,0.8181130663270513,0.8764372719664933,0.0022224673688718,270
dart,0.9108818837883746,+,0.2885577183379143,9,0,96.0,0.9532008351873708,0.8483125999217896,0.9904455547608466,0.0022234795478182,496
dart,0.8554871851547169,+,0.37031508369354454,9,0,139.0,0.44759409636929753,0.9286143327158116,0.799502861473961,0.002229091059925,339
dart,0.9969877185873548,+,0.3324278748752638,9,0,68.0,0.8553486144368733,0.9291487820287158,0.9268398370329989,0.0022299907173334,415
dart,0.9993905131793266,+,0.6018038307764008,9,0,93.0,0.6429153535033529,0.9972102080581017,0.6845203256777528,0.0022335870947493,334
dart,0.9144972202093721,+,0.22399427822180104,9,0,128.0,0.8736625452208074,0.9305858672733182,0.984771267943917,0.0022367262420844,160
dart,0.8961016967860227,+,0.18640703938523367,9,0,128.0,0.20142763054393062,0.5989886256414634,0.9546227799972898,0.0022377159320142,139
dart,0.8964920358239423,+,0.46353143568302263,9,0,125.0,0.9851240844736858,0.2605775113264145,0.6979560594039376,0.002237948055492,476
dart,0.915496862490054,+,0.209086765742244,9,0,123.0,0.9991472928184029,0.8086677194835769,0.8512353853674087,0.0022427854280505,463
dart,0.8435625042105236,+,0.3057159699758386,9,0,119.0,0.9082812405922033,0.8864247183354048,0.8721888903858622,0.0022452987112503,424
dart,0.9635407479620063,+,0.27099301662288855,9,0,76.0,0.9236895032439779,0.6847160687208753,0.9661115854562633,0.0022473961387872,271
