bagging_fraction,bagging_frequency,boosting_type,colsample_bytree,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
0.6710186269043047,5.938773366018909,gbdt,1.0,0.7574355507630764,+,0.44959951562699857,9,0,125.0,0.5798279673223714,0.1660986166190883,0.7840922170845991,0.0057644399734774,25
0.668625320359599,5.755913985164627,gbdt,4.0,0.7993334421119322,+,0.3063880594064658,13,0,130.0,0.0716890900432391,0.02509717269258586,0.925702361921496,0.0058010928887214,98
0.7250210039396348,5.574374363638498,gbdt,1.0,0.7809175501349851,+,0.13914519451353854,14,0,192.0,0.13864648355274833,0.18820524665858912,0.561508049006969,0.0058307589769399,268
0.6788144622223146,5.0008630763056585,gbdt,1.0,0.7496812177062233,+,0.8986778779349998,12,0,125.0,0.5260057440682353,0.14838867966724817,0.7814568999910689,0.0058779494631521,21
0.683422301515032,6.006691947537868,gbdt,1.0,0.7517265188485956,+,0.3077253390599871,12,0,125.0,0.5653582791616918,0.1311912868228366,0.8156337224215194,0.0058845206355865,24
0.5678553638007904,6.680625490317759,gbdt,2.0,0.6901717583928747,+,0.23836744059716553,10,0,154.0,0.6064200281457772,0.7456899087937734,0.4600430100168145,0.0059119645495239,240
0.673716517654337,6.168084900775559,gbdt,3.0,0.6662061806829581,+,0.4452574033861701,8,0,140.0,0.6493641517224695,0.4154078876723225,0.6360306162782733,0.0060595086092845,166
0.6758833728992087,5.001331039905851,gbdt,1.0,0.7341284996887266,+,0.4713152887096913,10,0,109.0,0.02783922830564005,0.3496900213427401,0.5232021543776875,0.0061232171721349,281
0.734314351864207,5.976659739957067,gbdt,1.0,0.7563312956895354,+,0.18246547239283417,14,0,143.0,0.04976170771974904,0.27515258204663245,0.5148551683377562,0.0062031870974589,271
0.7261357515163667,5.052385635575157,gbdt,1.0,0.7192348123299039,+,0.6488860893697815,10,0,101.0,0.5567195385104594,0.321006270791445,0.524950190144569,0.0062272384167417,179
0.7456107191358279,7.232365121912033,gbdt,5.0,0.773485777422569,+,0.39294203555413004,13,0,103.0,0.31534530460294313,0.2373492678825632,0.5351429243341363,0.0062478774256948,115
0.6808376465346149,5.34973543632117,gbdt,4.0,0.7424360755436407,+,0.24559952919649503,12,0,125.0,0.48380064524811606,0.1474450573134803,0.8610209861857514,0.0063021196971632,23
0.6467761293645347,6.494295470668508,gbdt,4.0,0.6183533377233822,+,0.543728452953081,12,0,109.0,0.611408356215689,0.42035198682059904,0.9582106716460477,0.0063065688752773,81
0.7503482875410145,6.255612367000129,gbdt,1.0,0.7533472112276548,+,0.8847159243866719,14,0,115.0,0.4617045089264814,0.2918847837068173,0.34800334415225653,0.0063504615254984,260
0.7607277106903575,5.643241839812417,gbdt,1.0,0.7918909101298195,+,0.20273841812361998,14,0,126.0,0.0922492806930344,0.3811080500734415,0.4440809021677864,0.006424743426762,266
0.7512194261296901,6.22735641417229,gbdt,1.0,0.7766955187883298,+,0.3522330117324323,12,0,103.0,0.05949213508540355,0.37095270921497076,0.48977247258981177,0.0064277774521035,294
0.5927606229732374,6.662385849560147,gbdt,2.0,0.706894644678312,+,0.4879775292998813,14,0,94.0,0.6729036848973409,0.669524459510622,0.660497141148199,0.0064377105821696,202
