boosting_type,colsample_bytree,force_col_wise,learning_rate,max_depth,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
dart,0.955727886590271,+,0.684105659629636,5,65.0,0.48592362941008793,0.419246711956208,0.5717876634028087,0.0031290979746744,252
gbdt,0.9459242914505072,+,0.2197179240336353,5,75.0,0.994409802589679,0.09832417666019261,0.9839273551802048,0.0031294175920658,22
goss,0.9809815427815758,+,0.19935836212806618,5,75.0,0.8751118984907046,0.3977858693319253,1.0,0.0031305606903124,20
dart,0.9361978656929789,+,0.3675571952150426,5,63.0,0.23588168966416975,0.6316075627505852,0.6972058985835106,0.0031322715701861,299
goss,0.9263818580468361,+,0.2934049346743277,5,67.0,0.5738412173758625,0.11724256573437489,1.0,0.0031348968341041,24
dart,0.9397183159960236,+,0.6148322443188585,5,86.0,0.9998269887571993,0.21779031046350636,0.9438010299855072,0.0031350915106678,27
dart,0.8325732385599285,+,0.2637701637589351,5,40.0,0.8593691352967912,0.7504127760887934,0.5327250285926315,0.0031359329735286,254
dart,0.8853415559533818,+,0.3706109512556582,5,99.0,0.43197131672024974,0.7579125070607855,0.7054587978186138,0.0031360051399915,269
dart,0.9538926745016695,+,0.4585745619010281,5,90.0,0.7406640479133298,0.95963437557768,0.6328448594011543,0.0031369039838725,240
goss,0.9320415274249529,+,0.2645652309500778,5,33.0,0.5826691559082012,0.17901678235907317,1.0,0.003137160406557,155
goss,0.9990150304296854,+,0.2865497022403097,5,79.0,0.3300649900686097,0.4417659866468556,1.0,0.0031384879212565,280
goss,0.8841443248021263,+,0.22808338983984602,5,91.0,0.5629473524202859,0.07842440842193765,1.0,0.0031387373601488,146
gbdt,0.873427697063506,+,0.20128292235080705,5,94.0,0.5150706769022242,0.9988897811396676,0.7286565612931997,0.0031402878754439,264
dart,0.9793362440601702,+,0.5240945358631939,5,34.0,0.7094935592194118,0.8269094613039311,0.725627648167976,0.0031403242654218,250
dart,0.99951838808962,+,0.4664372062315481,5,39.0,0.3649817851909647,0.5539750784778533,0.6274362124066715,0.0031405147949583,283
gbdt,0.9017491561522919,+,0.29278421568649166,5,92.0,0.5008762391722072,0.6948254351068348,0.556723551594796,0.0031408348045002,167
gbdt,0.999955526848274,+,0.15942791615875054,5,91.0,0.8640448660882326,0.7889978616488882,0.8187016088619772,0.0031415392903929,220
goss,0.9625941650285421,+,0.15738543734841748,5,58.0,0.6601654168750284,0.4326131081222161,1.0,0.0031442419990476,81
goss,0.8418726893059479,+,0.22619355709882222,5,38.0,0.695334566352129,0.7189645026441697,1.0,0.0031446896307735,268
dart,0.9322593279981122,+,0.33370905981241206,5,59.0,0.7864425451202428,0.8789237647022342,0.9780078606809665,0.0031448110448889,251
dart,0.88733665516151,+,0.4232652327889357,5,92.0,0.9019401244127412,0.9133159828992741,0.8522100450771108,0.003145232260974,245
goss,0.9748092898963905,+,0.3120522776343735,5,39.0,0.3306986858537102,0.5643694238169944,1.0,0.0031466434722782,277
goss,0.976610801825821,+,0.16278694835429064,5,82.0,0.3790277595569434,0.29424557188184136,1.0,0.0031466472488704,293
goss,0.9248150398122296,+,0.19627481300247349,5,93.0,0.9987578505602938,0.47668840563526904,1.0,0.0031472272365565,116
goss,0.9556058793035026,+,0.1494425810706838,5,74.0,0.9936110203049933,0.24216881515639402,1.0,0.0031477032073592,71
dart,0.8623197923236555,+,0.7059085804353644,5,31.0,0.900739052616117,0.6720178800671245,0.6055568904475278,0.0031487036544177,188
gbdt,0.9014437010734792,+,0.44048626510834105,5,86.0,0.04043086491956488,0.655284111798362,0.9811937532495779,0.0031497580577188,257
dart,0.8780230677172262,+,0.5275359386987791,5,31.0,0.8824989140249588,0.593577910361931,0.7801849347045181,0.0031512321904223,186
gbdt,0.9512912540619891,+,0.3909878185907836,5,93.0,0.25344330116225355,0.6452100103253016,0.8913686614247718,0.0031513487814466,284
goss,0.9750125137184745,+,0.20828769311528536,5,75.0,0.8711130068538813,0.421985394060843,1.0,0.0031514245388147,66
gbdt,0.9368121422449819,+,0.23528262928052163,5,77.0,0.4401382439403882,0.7245526780771672,0.6362006247996622,0.0031526204597492,218
dart,0.9149796944426757,+,0.35104161028304376,5,44.0,0.30899053774150814,0.5252521090672032,0.5228197466001164,0.0031530219783483,205
gbdt,0.9682033609521763,+,0.4325620002200734,5,81.0,0.5825893118841219,0.8333191437578065,0.5414912252350568,0.0031534275970429,219
goss,0.8901522616429512,+,0.2439369766138138,5,32.0,0.45584576638397023,0.12009349762594831,1.0,0.0031558794706453,162
dart,0.9716841293775533,+,0.5044394600532526,5,78.0,0.42502140946767586,0.43039338334494914,0.8568416283724906,0.003156325117518,143
gbdt,0.994762853903489,+,0.2727101688784768,5,49.0,0.7980175689302108,0.9501480544814377,0.6827612722730961,0.0031584367429888,211
gbdt,0.8746762335841428,+,0.17097261184377946,5,69.0,0.5303460085022818,0.41124343898487,0.6363026942789164,0.0031598919623512,160
dart,0.8502686307380278,+,0.2952507815787925,5,51.0,0.6235752103976395,0.9384741327488418,0.6433284589782339,0.0031618498755512,248
gbdt,0.9231817708015744,+,0.4040381736204406,5,43.0,0.6997516701790882,0.5894945658783156,0.9156762764080196,0.003163563394923,206
dart,0.9492689175979905,+,0.36710420960904916,5,87.0,0.8823705034541123,0.9585402556677014,0.9435911626272118,0.0031647984646697,227
