iteration,precision,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
54,0.770073734592427,2022-06-28 21:19:11.290268,2022-06-28 21:19:12.815898,0 days 00:00:01.525630,0.1,0.00036886035131404317,0.007020369957246042,20.0,5071.0,hinge,9433608.0,True,l1,COMPLETE
55,0.770073734592427,2022-06-28 21:19:12.816039,2022-06-28 21:19:14.305591,0 days 00:00:01.489552,0.1,0.0003457289067435576,0.00683342763997744,20.0,5116.0,hinge,9827540.0,True,l1,COMPLETE
52,0.770073734592427,2022-06-28 21:19:08.532018,2022-06-28 21:19:10.052017,0 days 00:00:01.519999,0.1,0.0003349498731104705,0.004527881152545986,20.0,5334.0,hinge,9960922.0,True,l1,COMPLETE
50,0.770073734592427,2022-06-28 21:19:05.662018,2022-06-28 21:19:07.162735,0 days 00:00:01.500717,0.1,0.00035333265019230027,0.0015044014340089074,20.0,5435.0,hinge,1909943.0,True,l1,COMPLETE
51,0.7283523543310735,2022-06-28 21:19:07.162917,2022-06-28 21:19:08.531884,0 days 00:00:01.368967,0.30000000000000004,0.00034444259829625063,0.001689016815356216,20.0,5164.0,hinge,9743153.0,True,l1,COMPLETE
95,0.721570486838684,2022-06-28 21:20:18.750906,2022-06-28 21:20:20.082388,0 days 00:00:01.331482,0.4,0.00021969083531517687,0.03047284519337521,17.0,4096.0,hinge,7529330.0,True,l1,COMPLETE
53,0.7210627635519159,2022-06-28 21:19:10.052144,2022-06-28 21:19:11.290143,0 days 00:00:01.237999,0.4,0.00037325942073010204,0.0063730804862927575,20.0,5289.0,hinge,9553493.0,True,l1,COMPLETE
49,0.7159898915380872,2022-06-28 21:19:04.336650,2022-06-28 21:19:05.661900,0 days 00:00:01.325250,0.2,0.00036031520031245135,0.0011584198255120831,17.0,7162.0,hinge,1986950.0,True,l1,COMPLETE
84,0.6398102761782388,2022-06-28 21:20:00.478933,2022-06-28 21:20:02.362828,0 days 00:00:01.883895,1.1,0.0005378990659179348,0.013660890684615148,17.0,2877.0,hinge,6926811.0,True,l1,COMPLETE
56,0.6398102761782388,2022-06-28 21:19:14.305717,2022-06-28 21:19:15.874676,0 days 00:00:01.568959,1.1,0.00035078176569549837,0.007951063113357474,20.0,5216.0,hinge,9979743.0,True,l1,COMPLETE
