depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
7,475,0.7441966204465125,0.05674013352044283,9,5,0.2774615045113612,1.997904493524057,38
9,307,0.8662512235927873,0.2994442626165539,13,14,0.01155931618447853,1.9979094744728765,94
7,239,0.2164671228760197,0.10544705420169011,2,2,0.40847391396034016,1.9979096432654384,34
6,455,0.15981302890847854,0.06468509381877703,8,19,0.6650325875049374,1.997923621990492,51
7,473,0.04452399249648026,0.08934614956309514,7,17,0.10813955375418317,1.9979435784473996,76
7,424,0.517959704109173,0.07567285562396586,18,16,0.3229498869959173,1.9979640016762268,87
11,344,0.3387505522569448,0.0710809132821026,15,6,0.14799233917972854,1.9979718353975813,65
12,134,0.16551288104299666,0.12643388013945434,2,17,0.5245860806985377,1.997973882451524,81
7,497,0.08336867230514565,0.06336024389024969,19,13,0.3867008074716676,1.9979769837002663,92
9,295,0.7145873022739442,0.18670882921554804,13,16,0.09025884211919202,1.9979786818470169,26
12,330,0.7745259533309282,0.23748468193955927,5,15,0.0446577746539534,1.997982681549559,96
7,483,0.8024981991421772,0.05660874500045249,12,4,0.7366877378057126,1.997994459764053,7
12,263,0.2290807576598018,0.20193446953240834,6,2,0.44812715713588114,1.99799746460596,49
12,128,0.2941673984546348,0.23171133206227343,16,9,0.531838709669141,1.9979979993524173,14
9,377,0.9223906708923912,0.09561850639816591,2,15,0.16937630080561347,1.997999272854384,86
12,412,0.2889771271735122,0.16168411768415336,12,10,0.5611704167043134,1.9980043009841169,54
8,370,0.8416338181823073,0.1601970084041782,10,19,0.27489982433641647,1.998045447479693,82
11,167,0.8392798726899212,0.14899036440865532,12,14,0.5479690370134093,1.9980611031934397,9
6,486,0.34771613435583304,0.12320463312584615,16,12,0.8803445283260648,1.998071386784244,12
11,478,0.37539299095073897,0.08527457066940339,11,6,0.11983920512701526,1.9980719911448,91
6,440,0.3745251273917566,0.28877698485051734,2,19,0.4475937665652644,1.9980767211060613,42
9,142,0.47879731309760143,0.20302067135313945,17,7,0.7832586036406977,1.9980770337092009,60
10,406,0.01662095575678138,0.11603389642925058,9,4,0.20448166314567856,1.9980788783192016,83
11,336,0.4981353204723251,0.07147133236518868,4,10,0.6406636911098853,1.9980817052396744,15
12,234,0.8447101799563321,0.16034248323950132,6,12,0.8826636334566117,1.9980930242186148,13
11,245,0.9400797107429321,0.22385542542667985,9,3,0.8015579071911012,1.9980981791429189,6
11,251,0.7953327114842056,0.27572952148630125,10,15,0.3063420554691531,1.99810262455044,56
7,490,0.624295475456169,0.10379037963527757,3,13,0.7391343042837044,1.9981063054449804,47
11,254,0.4601772929072751,0.17405245057301544,7,3,0.5830688185211794,1.9981091505442703,48
10,282,0.9423271847632355,0.2113145643648928,12,10,0.29525702617866656,1.998121220644674,19
12,271,0.8222563187254303,0.1486438114653743,17,4,0.6951893475505562,1.9981215946874988,18
8,308,0.6563382299254936,0.13697336187723005,2,16,0.6114384112017853,1.9981244584004827,62
11,288,0.9517116675273959,0.09109269195426406,9,2,0.8390144719977514,1.9981273910919877,3
10,319,0.5574426815132177,0.10169648268125306,13,5,0.9916252577197031,1.998134342333715,64
8,312,0.596693478552512,0.2623101560708038,16,8,0.6209085649172931,1.99814550238563,8
10,493,0.3486638916808825,0.19212249035617154,2,10,0.3002054172275951,1.998150381832065,98
8,220,0.6947349249822022,0.24257345646063525,2,14,0.9518494327004298,1.9981506992768423,52
8,375,0.13389768934021898,0.270317022711478,18,4,0.5206737908110928,1.998154231588694,17
8,474,0.19607563450367504,0.13005650728088047,14,12,0.4503841871781402,1.9981549825366205,4
8,382,0.6151203012614453,0.21741919112034658,3,17,0.49869393372772974,1.9981622905908587,89
8,410,0.6331092335079171,0.13360085546079828,16,19,0.9559232064468288,1.998177366782667,10
