iteration,roc_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
16,0.819736292442999,2022-06-15 19:15:55.970910,2022-06-15 19:16:33.953061,0 days 00:00:37.982151,euclidean,41.0,COMPLETE
37,0.819736292442999,2022-06-15 19:29:10.311459,2022-06-15 19:29:48.373718,0 days 00:00:38.062259,minkowski,41.0,COMPLETE
27,0.8191556941740209,2022-06-15 19:22:54.106952,2022-06-15 19:23:31.326222,0 days 00:00:37.219270,chebyshev,30.0,COMPLETE
20,0.8188253618577606,2022-06-15 19:18:27.119520,2022-06-15 19:19:05.174607,0 days 00:00:38.055087,chebyshev,39.0,COMPLETE
57,0.8188253618577606,2022-06-15 19:41:51.074855,2022-06-15 19:42:29.133362,0 days 00:00:38.058507,euclidean,39.0,COMPLETE
26,0.8188253618577606,2022-06-15 19:22:16.182306,2022-06-15 19:22:54.106843,0 days 00:00:37.924537,chebyshev,39.0,COMPLETE
7,0.8181256228758726,2022-06-15 19:10:13.856908,2022-06-15 19:10:51.748096,0 days 00:00:37.891188,manhattan,35.0,COMPLETE
9,0.8181256228758726,2022-06-15 19:11:28.482208,2022-06-15 19:12:06.486180,0 days 00:00:38.003972,minkowski,35.0,COMPLETE
49,0.8178390041166288,2022-06-15 19:36:45.988727,2022-06-15 19:37:23.728566,0 days 00:00:37.739839,minkowski,33.0,COMPLETE
4,0.8178390041166288,2022-06-15 19:08:20.780334,2022-06-15 19:08:58.594763,0 days 00:00:37.814429,manhattan,33.0,COMPLETE
3,0.817590762030542,2022-06-15 19:07:43.437559,2022-06-15 19:08:20.780204,0 days 00:00:37.342645,minkowski,26.0,COMPLETE
67,0.8165075269330876,2022-06-15 20:45:03.224434,2022-06-15 20:45:40.295438,0 days 00:00:37.071004,minkowski,24.0,COMPLETE
18,0.8158697611965767,2022-06-15 19:17:11.822535,2022-06-15 19:17:49.018806,0 days 00:00:37.196271,euclidean,29.0,COMPLETE
91,0.8154192527480811,2022-06-15 21:30:28.704497,2022-06-15 21:31:05.876970,0 days 00:00:37.172473,manhattan,27.0,COMPLETE
36,0.8151182479053847,2022-06-15 19:28:33.357282,2022-06-15 19:29:10.311348,0 days 00:00:36.954066,manhattan,22.0,COMPLETE
1,0.8151182479053847,2022-06-15 19:06:29.945920,2022-06-15 19:07:06.967302,0 days 00:00:37.021382,manhattan,22.0,COMPLETE
5,0.8121671053467336,2022-06-15 19:08:58.594861,2022-06-15 19:09:35.613225,0 days 00:00:37.018364,minkowski,21.0,COMPLETE
68,0.8087863156576904,2022-06-15 20:45:40.295575,2022-06-15 20:46:17.005652,0 days 00:00:36.710077,euclidean,16.0,COMPLETE
30,0.8087863156576904,2022-06-15 19:24:47.441208,2022-06-15 19:25:24.175961,0 days 00:00:36.734753,chebyshev,16.0,COMPLETE
34,0.8009890629806364,2022-06-15 19:27:18.735786,2022-06-15 19:27:55.121231,0 days 00:00:36.385445,chebyshev,7.0,COMPLETE
2,0.7995210043901759,2022-06-15 19:07:06.967452,2022-06-15 19:07:43.437445,0 days 00:00:36.469993,manhattan,6.0,COMPLETE
8,0.7992009681517109,2022-06-15 19:10:51.748197,2022-06-15 19:11:28.482102,0 days 00:00:36.733905,minkowski,13.0,COMPLETE
0,0.7992009681517109,2022-06-15 19:05:53.254249,2022-06-15 19:06:29.945710,0 days 00:00:36.691461,minkowski,13.0,COMPLETE
47,0.7945611814313283,2022-06-15 19:35:31.565535,2022-06-15 19:36:07.853937,0 days 00:00:36.288402,manhattan,4.0,COMPLETE
62,,2022-06-15 19:45:01.862845,,,,,RUNNING
65,,2022-06-15 19:48:19.086273,,,,,RUNNING
81,,2022-06-15 20:53:55.354468,,,,,RUNNING
