iteration,recall,datetime_start,datetime_complete,duration,metric,n_neighbors,state
91,0.8261235697940503,2022-06-15 19:34:56.953695,2022-06-15 19:35:34.889188,0 days 00:00:37.935493,minkowski,42.0,COMPLETE
53,0.8261235697940503,2022-06-15 19:10:53.216753,2022-06-15 19:11:31.300916,0 days 00:00:38.084163,chebyshev,42.0,COMPLETE
61,0.8238535469107552,2022-06-15 19:15:55.340942,2022-06-15 19:16:33.454730,0 days 00:00:38.113788,manhattan,40.0,COMPLETE
5,0.8238535469107552,2022-06-15 13:29:39.036666,2022-06-15 13:31:14.226437,0 days 00:01:35.189771,minkowski,40.0,COMPLETE
21,0.8238535469107552,2022-06-15 13:54:37.199809,2022-06-15 13:56:12.536559,0 days 00:01:35.336750,euclidean,40.0,COMPLETE
41,0.8228466819221968,2022-06-15 14:26:28.188715,2022-06-15 14:28:03.605694,0 days 00:01:35.416979,chebyshev,38.0,COMPLETE
2,0.8201556064073227,2022-06-15 13:24:53.132090,2022-06-15 13:26:27.865787,0 days 00:01:34.733697,manhattan,36.0,COMPLETE
1,0.8172997711670481,2022-06-15 13:23:20.846145,2022-06-15 13:24:53.131998,0 days 00:01:32.285853,manhattan,32.0,COMPLETE
29,0.8172997711670481,2022-06-15 14:07:22.789649,2022-06-15 14:08:55.529086,0 days 00:01:32.739437,chebyshev,32.0,COMPLETE
12,0.8153409610983982,2022-06-15 13:40:33.935723,2022-06-15 13:42:05.530307,0 days 00:01:31.594584,euclidean,21.0,COMPLETE
98,0.8143707093821511,2022-06-15 19:39:23.762515,2022-06-15 19:40:00.996902,0 days 00:00:37.234387,minkowski,30.0,COMPLETE
57,0.8123935926773456,2022-06-15 19:13:23.910902,2022-06-15 19:14:00.790665,0 days 00:00:36.879763,chebyshev,19.0,COMPLETE
20,0.8115881006864989,2022-06-15 13:53:04.468448,2022-06-15 13:54:37.199701,0 days 00:01:32.731253,euclidean,28.0,COMPLETE
15,0.8115881006864989,2022-06-15 13:45:16.758055,2022-06-15 13:46:48.754667,0 days 00:01:31.996612,euclidean,28.0,COMPLETE
