iteration,precision,datetime_start,datetime_complete,duration,metric,n_neighbors,state
17,0.4219650370715875,2022-06-15 20:12:23.297975,2022-06-15 20:13:00.177005,0 days 00:00:36.879030,euclidean,18,COMPLETE
30,0.4219650370715875,2022-06-15 20:20:21.625817,2022-06-15 20:20:58.476882,0 days 00:00:36.851065,chebyshev,18,COMPLETE
1,0.41903847077469863,2022-06-15 20:02:33.674218,2022-06-15 20:03:10.599846,0 days 00:00:36.925628,manhattan,20,COMPLETE
47,0.41903847077469863,2022-06-15 20:30:44.779551,2022-06-15 20:31:21.752974,0 days 00:00:36.973423,chebyshev,20,COMPLETE
28,0.4155867547659901,2022-06-15 20:19:07.760747,2022-06-15 20:19:44.870131,0 days 00:00:37.109384,minkowski,22,COMPLETE
94,0.41484591913820673,2022-06-15 20:59:21.772457,2022-06-15 20:59:58.253423,0 days 00:00:36.480966,chebyshev,7,COMPLETE
74,0.41484591913820673,2022-06-15 20:47:10.757873,2022-06-15 20:47:47.196981,0 days 00:00:36.439108,chebyshev,7,COMPLETE
59,0.41484591913820673,2022-06-15 20:38:04.469633,2022-06-15 20:38:40.977428,0 days 00:00:36.507795,euclidean,7,COMPLETE
23,0.41484591913820673,2022-06-15 20:16:05.380485,2022-06-15 20:16:41.781743,0 days 00:00:36.401258,euclidean,7,COMPLETE
32,0.41484591913820673,2022-06-15 20:21:34.872555,2022-06-15 20:22:11.339092,0 days 00:00:36.466537,euclidean,7,COMPLETE
86,0.41484591913820673,2022-06-15 20:54:28.656547,2022-06-15 20:55:05.171416,0 days 00:00:36.514869,chebyshev,7,COMPLETE
45,0.41484591913820673,2022-06-15 20:29:30.464609,2022-06-15 20:30:06.877424,0 days 00:00:36.412815,euclidean,7,COMPLETE
8,0.4133042734882148,2022-06-15 20:06:52.846188,2022-06-15 20:07:29.904684,0 days 00:00:37.058496,chebyshev,24,COMPLETE
18,0.4133042734882148,2022-06-15 20:13:00.177113,2022-06-15 20:13:37.225428,0 days 00:00:37.048315,euclidean,24,COMPLETE
