iteration,f1_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
89,0.8480416698060846,2022-06-15 04:35:10.512085,2022-06-15 04:35:46.962222,0 days 00:00:36.450137,euclidean,9.0,COMPLETE
4,0.8480416698060846,2022-06-15 03:43:28.020457,2022-06-15 03:44:04.537087,0 days 00:00:36.516630,manhattan,9.0,COMPLETE
53,0.8480416698060846,2022-06-15 04:13:22.080532,2022-06-15 04:13:58.578805,0 days 00:00:36.498273,chebyshev,9.0,COMPLETE
18,0.8474108654253479,2022-06-15 03:52:02.130131,2022-06-15 03:52:39.341030,0 days 00:00:37.210899,euclidean,32.0,COMPLETE
46,0.8455852941811514,2022-06-15 04:09:04.424859,2022-06-15 04:09:40.978802,0 days 00:00:36.553943,minkowski,11.0,COMPLETE
23,0.8455852941811514,2022-06-15 03:55:05.049711,2022-06-15 03:55:41.489009,0 days 00:00:36.439298,chebyshev,11.0,COMPLETE
69,0.8455852941811514,2022-06-15 04:23:03.242192,2022-06-15 04:23:39.719176,0 days 00:00:36.476984,manhattan,11.0,COMPLETE
16,0.8445266111128282,2022-06-15 03:50:48.709728,2022-06-15 03:51:25.303054,0 days 00:00:36.593326,euclidean,13.0,COMPLETE
79,0.8445266111128282,2022-06-15 04:29:07.520592,2022-06-15 04:29:44.091254,0 days 00:00:36.570662,euclidean,13.0,COMPLETE
26,0.8445266111128282,2022-06-15 03:56:54.138955,2022-06-15 03:57:30.633285,0 days 00:00:36.494330,euclidean,13.0,COMPLETE
3,0.8441244386649177,2022-06-15 03:42:51.293074,2022-06-15 03:43:28.020361,0 days 00:00:36.727287,minkowski,15.0,COMPLETE
54,0.8441244386649177,2022-06-15 04:13:58.578954,2022-06-15 04:14:35.174472,0 days 00:00:36.595518,euclidean,15.0,COMPLETE
40,0.8441244386649177,2022-06-15 04:05:26.250746,2022-06-15 04:06:02.968072,0 days 00:00:36.717326,chebyshev,15.0,COMPLETE
36,0.8435524407310374,2022-06-15 04:03:00.224978,2022-06-15 04:03:36.886182,0 days 00:00:36.661204,minkowski,17.0,COMPLETE
14,0.8435524407310374,2022-06-15 03:49:35.654945,2022-06-15 03:50:12.510980,0 days 00:00:36.856035,chebyshev,17.0,COMPLETE
13,0.8435524407310374,2022-06-15 03:48:58.916825,2022-06-15 03:49:35.654840,0 days 00:00:36.738015,chebyshev,17.0,COMPLETE
20,0.842684756167157,2022-06-15 03:53:15.665477,2022-06-15 03:53:52.662915,0 days 00:00:36.997438,euclidean,21.0,COMPLETE
48,0.8426692948819388,2022-06-15 04:10:17.120500,2022-06-15 04:10:55.078016,0 days 00:00:37.957516,euclidean,42.0,COMPLETE
5,0.8408875880107282,2022-06-15 03:44:04.537178,2022-06-15 03:44:41.628431,0 days 00:00:37.091253,chebyshev,25.0,COMPLETE
66,0.8401927855535841,2022-06-15 04:21:13.528308,2022-06-15 04:21:50.607698,0 days 00:00:37.079390,manhattan,27.0,COMPLETE
10,0.8393057460384556,2022-06-15 03:47:08.168622,2022-06-15 03:47:46.434728,0 days 00:00:38.266106,euclidean,50.0,COMPLETE
2,0.8387366839780154,2022-06-15 03:42:13.990795,2022-06-15 03:42:51.292972,0 days 00:00:37.302177,minkowski,31.0,COMPLETE
70,0.8372184155573122,2022-06-15 04:23:39.719304,2022-06-15 04:24:17.413620,0 days 00:00:37.694316,manhattan,35.0,COMPLETE
29,0.8367078503484335,2022-06-15 03:58:44.106483,2022-06-15 03:59:21.902304,0 days 00:00:37.795821,chebyshev,37.0,COMPLETE
0,0.8359641577884183,2022-06-15 03:40:57.853508,2022-06-15 03:41:35.790635,0 days 00:00:37.937127,chebyshev,39.0,COMPLETE
1,0.8344895377359629,2022-06-15 03:41:35.790828,2022-06-15 03:42:13.990709,0 days 00:00:38.199881,manhattan,43.0,COMPLETE
51,0.8325299009947823,2022-06-15 04:12:07.662774,2022-06-15 04:12:45.823269,0 days 00:00:38.160495,chebyshev,49.0,COMPLETE
99,,2022-06-15 04:41:13.517968,,,,,RUNNING
