iteration,roc_weighted,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
62,0.9945854852297279,2022-09-17 19:55:01.474723,2022-09-17 19:55:22.404036,0 days 00:00:20.929313,0.345905844423232,0.8683939867355089,0.004599053733185976,0.24828999502962917,10,10,498,2.515677479637795,2.75962289779073,0.602529067912878,COMPLETE
58,0.9939999893648508,2022-09-17 19:53:51.793007,2022-09-17 19:54:10.549952,0 days 00:00:18.756945,0.3694616185503716,0.897399395964892,0.5288803306252908,0.24108320535795877,10,9,444,2.2558916076892244,2.312335901394621,0.5889498131650642,COMPLETE
76,0.9939121919241797,2022-09-17 19:59:40.488944,2022-09-17 20:00:19.708067,0 days 00:00:39.219123,0.4175776646096512,0.9490157964162711,1.2371846338816197,0.292999465284761,10,9,432,2.277532756538778,2.8041260857950916,0.5400805663124938,COMPLETE
39,0.9937318571948631,2022-09-17 19:47:54.281117,2022-09-17 19:48:12.572763,0 days 00:00:18.291646,0.4470149523946445,0.7100881883990142,0.21212568824561884,0.2779526794278016,10,9,436,1.8754379892126423,2.618774676147581,0.44931723895946835,COMPLETE
69,0.9935962033895299,2022-09-17 19:57:44.475918,2022-09-17 19:58:01.687780,0 days 00:00:17.211862,0.3764839865796894,0.8544718308457253,1.0304687894252949,0.2871548884102865,10,9,451,2.3806303001664557,2.382971810390852,0.5597005474787962,COMPLETE
63,0.9934971460856854,2022-09-17 19:55:22.404305,2022-09-17 19:56:04.567780,0 days 00:00:42.163475,0.3923406919939159,0.8127364401722678,0.13235034564860143,0.22306712957774769,10,9,457,2.3141056260002237,2.388108941519824,0.6459707300577869,COMPLETE
43,0.9930570863345326,2022-09-17 19:48:57.083637,2022-09-17 19:49:13.275307,0 days 00:00:16.191670,0.4301190407944999,0.7643025365330015,0.16064768777128843,0.27686614568288276,10,9,383,2.12126553216609,2.7205987990533633,0.5528868734030059,COMPLETE
68,0.9929496173113516,2022-09-17 19:57:02.796743,2022-09-17 19:57:44.475623,0 days 00:00:41.678880,0.4061000098687974,0.7798046782922058,0.48752901077659044,0.2322751936001398,10,10,468,2.9132397161786536,2.2689116682717616,0.5353363577065351,COMPLETE
42,0.9928006766316336,2022-09-17 19:48:40.697807,2022-09-17 19:48:57.083379,0 days 00:00:16.385572,0.4446093297929023,0.7318068030145888,0.1362744619649616,0.2777870720037722,10,9,387,1.9552806493732884,2.602602805614476,0.5244443746473316,COMPLETE
98,0.9927791096880384,2022-09-17 20:09:04.264259,2022-09-17 20:09:40.387457,0 days 00:00:36.123198,0.46515995946931515,0.7002483211999373,0.5026162165544017,0.2862485032587708,9,6,476,1.6567734159597847,2.8447549495437157,0.516307655027372,COMPLETE
52,0.9927644714235757,2022-09-17 19:51:47.225812,2022-09-17 19:52:07.076084,0 days 00:00:19.850272,0.3474668769818297,0.8722617281484684,0.00465478588849531,0.21875440157288067,10,10,470,2.525233856857,2.3325926357368285,0.6341556368409305,COMPLETE
38,0.9926964653304597,2022-09-17 19:47:37.407351,2022-09-17 19:47:54.280862,0 days 00:00:16.873511,0.4437838221397333,0.7373444449326731,0.23356491626856973,0.2700691147518865,10,8,395,1.7734814058980932,2.5279365461755363,0.455312480523719,COMPLETE
