iteration,recall,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
299,0.9996686997458927,2022-09-19 17:31:05.272043,2022-09-19 17:31:37.445309,0 days 00:00:32.173266,0.5930934145536435,0.797561042653275,0.1557277263190992,0.2544161872437727,15.0,2.0,503.0,0.12059786872388278,1.2767950746889225,0.6529502764026275,COMPLETE
274,0.9996686997458927,2022-09-19 17:18:15.576475,2022-09-19 17:18:49.090831,0 days 00:00:33.514356,0.5820528988139414,0.8075036521747466,0.15271213720104923,0.2272941459250136,15.0,2.0,503.0,0.18215891342406249,0.5612106567353914,0.6306416411567631,COMPLETE
232,0.9996663076445285,2022-09-19 16:44:30.329053,2022-09-19 16:45:22.465261,0 days 00:00:52.136208,0.5747005085342703,0.8072137148528494,0.051436469094337446,0.24001649193621163,15.0,2.0,695.0,0.412461062442279,2.0104910379385967,0.4378572702494334,COMPLETE
222,0.9996663076445285,2022-09-19 16:37:18.025495,2022-09-19 16:38:05.541132,0 days 00:00:47.515637,0.5719884681775469,0.8014974909026384,0.09081254424784393,0.2429079203343225,15.0,2.0,697.0,0.5097783636093486,2.00870923011559,0.4242031704194337,COMPLETE
171,0.9996663076445285,2022-09-19 15:59:36.572401,2022-09-19 16:00:23.720114,0 days 00:00:47.147713,0.5923553127553177,0.7486503098553842,0.09898608829292152,0.2170412148234193,15.0,3.0,686.0,0.9146906237528961,1.8401103536401293,0.4591040052770603,COMPLETE
255,0.9996663076445285,2022-09-19 17:01:38.833269,2022-09-19 17:02:17.826690,0 days 00:00:38.993421,0.5812084678658865,0.8149512093210602,0.056539588261954446,0.2304120044488658,15.0,2.0,414.0,0.6543370139023958,0.5631250061233404,0.43294735991244826,COMPLETE
239,0.9996663076445285,2022-09-19 16:50:13.663107,2022-09-19 16:51:03.491496,0 days 00:00:49.828389,0.5916390634275847,0.8104422609570952,0.05225379620666578,0.23947052886537792,15.0,2.0,689.0,0.43085056739672856,0.962605871091099,0.4144091188340102,COMPLETE
276,0.9996653867433516,2022-09-19 17:19:21.034448,2022-09-19 17:19:52.866167,0 days 00:00:31.831719,0.5906906463242607,0.7995182306284347,0.16907311962618604,0.23256690735490088,15.0,2.0,474.0,0.2033141298861459,0.5559826890247577,0.6279377638950268,COMPLETE
262,0.9996653867433516,2022-09-19 17:11:21.676507,2022-09-19 17:12:17.216584,0 days 00:00:55.540077,0.5820509361650675,0.7976410301515974,0.05507442259564109,0.23229051214057428,15.0,2.0,694.0,0.3027465099820966,0.5732966142766941,0.43790230890423365,COMPLETE
267,0.9996653867433516,2022-09-19 17:14:39.621770,2022-09-19 17:15:13.209252,0 days 00:00:33.587482,0.56680192441184,0.8129169455119886,0.16063889215880864,0.23034289627096902,15.0,2.0,424.0,0.22534788603778244,0.6331614566038878,0.37634769330377327,COMPLETE
240,0.9996630037598208,2022-09-19 16:51:03.492062,2022-09-19 16:51:52.559241,0 days 00:00:49.067179,0.591605639583595,0.8113246050725715,0.05118023181208972,0.240463076323109,15.0,2.0,687.0,0.4296784775164246,0.6564101190665971,0.4138775133335945,COMPLETE
182,0.9996630037598208,2022-09-19 16:07:37.499863,2022-09-19 16:08:26.645257,0 days 00:00:49.145394,0.565739189177814,0.7398016595072977,0.10045772787030882,0.21219225357502386,15.0,3.0,686.0,0.9748317101487723,1.9509100800051482,0.4830965927417886,COMPLETE
120,0.9996630037598208,2022-09-19 15:21:17.963541,2022-09-19 15:22:10.013814,0 days 00:00:52.050273,0.5771091439938634,0.6695579751108771,0.05239811294001992,0.233508859018438,15.0,3.0,691.0,1.1118130778525233,1.975787767662746,0.4252481613695574,COMPLETE
135,0.9996630037598208,2022-09-19 15:32:46.992400,2022-09-19 15:33:38.365857,0 days 00:00:51.373457,0.5647044936793897,0.6395274414867635,0.051680777932310865,0.2262292240618018,15.0,4.0,700.0,0.9930752376736975,1.98669584218964,0.4081594436135136,COMPLETE
271,0.9996620737408105,2022-09-19 17:16:53.367499,2022-09-19 17:17:29.170469,0 days 00:00:35.802970,0.581443270602787,0.8168209191288263,0.12783231971962755,0.22764421014216404,15.0,2.0,437.0,0.23053267515262568,0.560253330997017,0.351436200965776,COMPLETE
264,0.9996620737408105,2022-09-19 17:12:59.872379,2022-09-19 17:13:35.145106,0 days 00:00:35.272727,0.5826678546965774,0.8146801248062701,0.1649504189260524,0.23208169940810267,15.0,2.0,499.0,0.2907076547093591,0.5483427624028633,0.36623789166813026,COMPLETE
224,0.9996596998751132,2022-09-19 16:38:48.199849,2022-09-19 16:39:39.891071,0 days 00:00:51.691222,0.5771761564454937,0.8143954417286448,0.054948452706091555,0.24478285613844478,15.0,2.0,700.0,0.43765407667759676,2.0059371588872175,0.4236447933081733,COMPLETE
220,0.9996596998751132,2022-09-19 16:35:39.657484,2022-09-19 16:36:31.453918,0 days 00:00:51.796434,0.5744831644602698,0.6218658615957735,0.05435351372459278,0.23667772887604918,15.0,3.0,700.0,0.5182510275158341,2.0255373928116622,0.4227029342964763,COMPLETE
213,0.9996596998751132,2022-09-19 16:30:32.900662,2022-09-19 16:31:25.384766,0 days 00:00:52.484104,0.5629057592055252,0.8020242447520616,0.10088351768492812,0.19423427075709504,15.0,2.0,688.0,0.6698223361919776,2.0828760578149996,0.45344899893481433,COMPLETE
116,0.9996596998751132,2022-09-19 15:18:10.676963,2022-09-19 15:19:03.103090,0 days 00:00:52.426127,0.5831714904425045,0.9665039937006177,0.06072049877485096,0.22428373471269253,15.0,3.0,699.0,1.1921071254531992,1.9128891485798132,0.44433452391603817,COMPLETE
