iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
56,0.99987896515205,2022-09-17 04:41:50.091708,2022-09-17 04:42:07.565790,0 days 00:00:17.474082,0.16771873170146548,0.9103200445417929,2.484926556599407,0.04071909944555159,10.0,3.0,403.0,1.6241458383346294,2.9665372885037886,0.725353099540498,COMPLETE
74,0.9998788991936705,2022-09-17 04:47:02.261487,2022-09-17 04:47:20.620636,0 days 00:00:18.359149,0.15886887900531654,0.910578131422012,2.4406468683429146,0.034224126154172,9.0,3.0,456.0,0.5642351423229919,2.5705441830936437,0.6656324310276762,COMPLETE
11,0.9998760834326899,2022-09-17 04:34:05.131557,2022-09-17 04:34:14.660783,0 days 00:00:09.529226,0.4946685991293739,0.814351651036278,0.8787485612028294,0.22064859433579342,10.0,8.0,197.0,1.9716325741456004,1.6057221851803356,0.749603144727315,COMPLETE
48,0.999875733424686,2022-09-17 04:39:26.409321,2022-09-17 04:39:44.080310,0 days 00:00:17.670989,0.22147993288938816,0.8683534342571687,2.6185001428535633,0.044557677424879254,10.0,4.0,422.0,2.0285022579223058,2.3671667965130694,0.7438962193936102,COMPLETE
97,0.9998757288335975,2022-09-17 04:54:56.914754,2022-09-17 04:55:17.966025,0 days 00:00:21.051271,0.23420155230914985,0.8920000175697725,2.5819712019861685,0.03150220466881515,10.0,4.0,485.0,0.3362812419707403,2.6199798955969595,0.7215437083713107,COMPLETE
78,0.9998754292640226,2022-09-17 04:48:22.946458,2022-09-17 04:48:42.527248,0 days 00:00:19.580790,0.18577028013253055,0.9638027772327529,1.9925957915295414,0.02368498987792778,9.0,1.0,480.0,0.4989421987464814,2.4578579569190824,0.6413100200876949,COMPLETE
95,0.9998753113005031,2022-09-17 04:54:13.788038,2022-09-17 04:54:35.080527,0 days 00:00:21.292489,0.21185740847411189,0.9327926528696524,1.8873358372875162,0.016402141409254292,10.0,2.0,463.0,0.14985293203732947,2.528901650127096,0.6451271304526287,COMPLETE
46,0.9998725200110036,2022-09-17 04:38:53.847990,2022-09-17 04:39:10.025409,0 days 00:00:16.177419,0.28612245246950524,0.8551842286952943,2.7473471485705363,0.06919187372954139,10.0,5.0,434.0,2.0920839354819054,1.6241034968027697,0.7267199428223308,COMPLETE
65,0.9998723920117399,2022-09-17 04:44:17.497762,2022-09-17 04:44:36.670151,0 days 00:00:19.172389,0.16831975026042997,0.8288031793512612,0.06631044055960356,0.05876395959861798,10.0,4.0,384.0,1.6771498111895606,2.9308586497913867,0.7150535484482579,COMPLETE
61,0.9998722083407598,2022-09-17 04:43:06.680844,2022-09-17 04:43:24.265090,0 days 00:00:17.584246,0.14891047165264326,0.871720444860404,2.5516370396141643,0.043494623930421195,10.0,4.0,416.0,1.9115092963667024,2.999965182696872,0.7232745312387738,COMPLETE
71,0.9998719887889129,2022-09-17 04:46:00.163720,2022-09-17 04:46:21.789053,0 days 00:00:21.625333,0.21408856687469596,0.926534370103257,2.6046545448607477,0.016844385738105393,10.0,3.0,485.0,0.9204026088152923,2.257811080306337,0.696009434661015,COMPLETE
81,0.9998719232078518,2022-09-17 04:49:23.545272,2022-09-17 04:49:45.321498,0 days 00:00:21.776226,0.19576516071614536,0.9679165221751996,2.191855993343786,0.015274173562691949,10.0,3.0,480.0,0.6198704622246214,2.5776923017205133,0.6877273492272745,COMPLETE
34,0.9998710653732488,2022-09-17 04:37:03.178445,2022-09-17 04:37:13.140313,0 days 00:00:09.961868,0.2692878357716769,0.6773929601296184,1.6897043953018331,0.02774596224646389,7.0,4.0,298.0,2.287275326122729,0.0017856408460494855,0.576006375134176,COMPLETE
69,0.9998689982734644,2022-09-17 04:45:21.425498,2022-09-17 04:45:39.766852,0 days 00:00:18.341354,0.19756568461015106,0.9785754516958243,2.1731510128042704,0.04575066626247345,9.0,2.0,471.0,1.9337269020042924,2.6879478018623764,0.676476043406813,COMPLETE
92,0.9998686439678952,2022-09-17 04:53:07.754261,2022-09-17 04:53:28.684152,0 days 00:00:20.929891,0.14983304548203655,0.9478318538541507,2.3137055544313068,0.022076978567619625,10.0,3.0,451.0,0.28877221480044457,2.386001693002605,0.6603614417778978,COMPLETE
