iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
82,0.996921421526138,2022-09-17 03:40:17.941020,2022-09-17 03:41:19.740036,0 days 00:01:01.799016,0.4719481624813407,0.6026335667866743,0.8940594331755018,0.19117799990705472,10.0,2.0,471.0,0.9914299648803723,0.5229040785173393,0.6474254613445236,COMPLETE
64,0.9969047880829344,2022-09-17 03:25:11.527460,2022-09-17 03:26:13.924645,0 days 00:01:02.397185,0.407619002621591,0.6031488763318041,0.39181721206326003,0.18672749207067874,10.0,3.0,454.0,0.9920481707936164,1.0418956661609104,0.7153176039747903,COMPLETE
74,0.9969025605499454,2022-09-17 03:33:06.975050,2022-09-17 03:34:07.776442,0 days 00:01:00.801392,0.3711885767871467,0.7263251889474353,0.5144995475376175,0.17727017587987015,10.0,3.0,469.0,1.2341786315173189,0.5203118380137648,0.5795228086953623,COMPLETE
97,0.9968996318105087,2022-09-17 03:51:42.901867,2022-09-17 03:52:11.082485,0 days 00:00:28.180618,0.4920459552532474,0.5590900693682761,0.9421956333702434,0.20390585399251193,10.0,1.0,435.0,0.8770143120039581,0.7782588850937925,0.6395108180131562,COMPLETE
92,0.9968536742572744,2022-09-17 03:48:03.079032,2022-09-17 03:49:06.301475,0 days 00:01:03.222443,0.4332920576208758,0.8129772074083017,0.9865124635171639,0.18043094495611717,10.0,2.0,472.0,1.1424285310096591,0.6320130995783853,0.5807881812462808,COMPLETE
87,0.9968387881688905,2022-09-17 03:44:18.314222,2022-09-17 03:45:19.873626,0 days 00:01:01.559404,0.43422470127102514,0.7409985577176286,1.023924652441095,0.1749842120145679,10.0,2.0,473.0,1.2929755310418296,0.3860440928379184,0.5297864922763339,COMPLETE
63,0.9968354641876132,2022-09-17 03:24:05.106072,2022-09-17 03:25:11.527152,0 days 00:01:06.421080,0.4105086491818849,0.6152013388244423,0.3927818933524886,0.15854624498784453,10.0,2.0,457.0,1.0202703946979268,1.0533213838181663,0.7135889751197768,COMPLETE
53,0.9968163409993077,2022-09-17 03:15:39.898759,2022-09-17 03:16:46.256951,0 days 00:01:06.358192,0.451420170153688,0.5956429480720294,0.6107954558089226,0.1423887248849739,10.0,2.0,487.0,1.075795868550137,1.0970505713360736,0.642063515538363,COMPLETE
45,0.9967911773987278,2022-09-17 03:13:16.412319,2022-09-17 03:13:38.443729,0 days 00:00:22.031410,0.45384523172458074,0.963440678656624,0.7824535716838779,0.16522446965439497,10.0,1.0,467.0,1.0607792873205437,0.6019204781824288,0.31850438350422716,COMPLETE
69,0.9967887261947239,2022-09-17 03:28:39.128557,2022-09-17 03:29:40.804815,0 days 00:01:01.676258,0.33692249013733266,0.6362272425726831,0.1930067245693331,0.1865244110138377,10.0,3.0,455.0,0.6022347210805881,1.3427910677326764,0.7332428740734291,COMPLETE
