iteration,f1_weighted,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
267,0.9931188742888227,2022-09-18 04:14:29.321672,2022-09-18 04:14:47.364433,0 days 00:00:18.042761,0.5488512843937907,0.7875890164300953,1.5139052083738176,0.1532695482632179,8.0,1.0,684.0,0.5637390936112261,1.3293932999201912,0.7994811732845554,COMPLETE
192,0.9931188734976087,2022-09-18 03:53:23.044101,2022-09-18 03:53:39.551863,0 days 00:00:16.507762,0.5720703943319855,0.7904404353706447,1.6633821215733273,0.1569991652784596,7.0,1.0,687.0,0.6677358951046825,0.7961877454049919,0.7935272880773879,COMPLETE
293,0.9931188724405471,2022-09-18 04:22:41.275875,2022-09-18 04:23:00.777930,0 days 00:00:19.502055,0.5536424073865645,0.7844763385903802,1.288315225198027,0.13637176790446487,8.0,1.0,682.0,0.38433701289546407,1.290729665156952,0.7887950669704396,COMPLETE
279,0.9931188692548938,2022-09-18 04:18:11.442023,2022-09-18 04:18:30.632339,0 days 00:00:19.190316,0.5505004855964721,0.794845040824194,1.4714748738888934,0.13643145156633119,8.0,1.0,695.0,0.31639201340863177,1.293235685972972,0.7880623481149909,COMPLETE
232,0.993118868988443,2022-09-18 04:04:39.590468,2022-09-18 04:04:55.631375,0 days 00:00:16.040907,0.5616261138887574,0.785297161595477,1.7308637025795495,0.15479611811289387,7.0,1.0,650.0,0.9392790507508413,1.3969482316645314,0.7697245851144469,COMPLETE
226,0.9931172204328127,2022-09-18 04:02:59.937688,2022-09-18 04:03:16.335227,0 days 00:00:16.397539,0.5517512426650062,0.7881374974079438,1.6419554068949518,0.16420009007834757,7.0,1.0,668.0,0.8248534012182079,1.4099817633754541,0.7830927584122178,COMPLETE
296,0.9931172188509088,2022-09-18 04:23:39.128826,2022-09-18 04:23:58.160416,0 days 00:00:19.031590,0.5359159044545698,0.7734026408107606,1.4376970188952065,0.13803649450666666,8.0,1.0,690.0,0.3382986967955077,1.3361848244210737,0.7849012823712019,COMPLETE
278,0.9931172148724068,2022-09-18 04:17:52.365174,2022-09-18 04:18:11.441520,0 days 00:00:19.076346,0.5453071591617081,0.7804661137844093,1.3947506173948139,0.13038956457381748,8.0,1.0,690.0,0.2547006402867814,1.2822957277460398,0.7997385060847308,COMPLETE
137,0.9931172111285381,2022-09-18 03:38:28.002973,2022-09-18 03:38:44.207326,0 days 00:00:16.204353,0.5949784564971895,0.7799899473385222,1.8385185476305783,0.13849499007624633,7.0,1.0,655.0,0.8618659689087856,1.3224312108898275,0.7516130277036459,COMPLETE
189,0.9931155660501056,2022-09-18 03:52:31.785883,2022-09-18 03:52:48.982720,0 days 00:00:17.196837,0.5699284095026678,0.7854567425581939,1.569727928448742,0.1515964078763828,7.0,1.0,700.0,0.6426092182961716,1.546611957868702,0.7942806394688541,COMPLETE
177,0.9931155623507208,2022-09-18 03:49:08.115864,2022-09-18 03:49:25.036003,0 days 00:00:16.920139,0.579465528974956,0.7989674814311343,1.5444317695797027,0.15441415695740876,7.0,1.0,674.0,0.8387642269469743,1.5137503612594414,0.7900519264447966,COMPLETE
201,0.9931155615541509,2022-09-18 03:55:58.643642,2022-09-18 03:56:14.680029,0 days 00:00:16.036387,0.5555125138171365,0.7941070768470132,1.7634607341442055,0.15413656784427707,7.0,1.0,660.0,0.7898809160371579,1.4521620949774439,0.7792986913701456,COMPLETE
168,0.9931155615541509,2022-09-18 03:46:38.579494,2022-09-18 03:46:54.645829,0 days 00:00:16.066335,0.5821702064760429,0.777147944606768,1.6196439323297112,0.1495790968405673,7.0,1.0,656.0,0.77518677299166,1.5716148657329398,0.7962751963645186,COMPLETE
200,0.9931155602235183,2022-09-18 03:55:42.093192,2022-09-18 03:55:58.643220,0 days 00:00:16.550028,0.5619204093707326,0.794207704314964,1.7069485181181372,0.15700559807240522,7.0,1.0,689.0,0.8756369967746457,1.5664380864307899,0.7744200043978521,COMPLETE
161,0.9931155594233295,2022-09-18 03:44:46.754415,2022-09-18 03:45:02.751788,0 days 00:00:15.997373,0.589118667021757,0.7742814092438985,1.6378457828886206,0.15859675238615678,7.0,1.0,653.0,0.913821218003712,1.455936399142707,0.7951326643044303,COMPLETE
289,0.993113912193471,2022-09-18 04:21:24.636097,2022-09-18 04:21:43.934390,0 days 00:00:19.298293,0.5473851861961012,0.7825479862175623,1.3354139534993523,0.13835124114018402,8.0,6.0,688.0,0.29514853048237055,1.3798046408687308,0.7944343779415222,COMPLETE
287,0.9931139090281419,2022-09-18 04:20:45.748334,2022-09-18 04:21:05.547195,0 days 00:00:19.798861,0.541072124635845,0.7877944332906076,1.353807538372225,0.13039512498141087,8.0,1.0,694.0,0.3198918829768956,1.3579550462291143,0.7997153541197919,COMPLETE
194,0.9931139066398932,2022-09-18 03:53:57.363883,2022-09-18 03:54:14.888242,0 days 00:00:17.524359,0.5594677577264325,0.7928475916709038,1.4493515066623721,0.15658969870220768,7.0,1.0,694.0,0.7973775200182742,1.4244373888351223,0.7803480016889237,COMPLETE
258,0.9931122530548679,2022-09-18 04:11:53.674518,2022-09-18 04:12:11.526560,0 days 00:00:17.852042,0.564945243192339,0.7823523324114967,1.423368194996692,0.15419747058170827,7.0,1.0,700.0,0.5236929403809086,1.3715174875775022,0.7911835593445364,COMPLETE
206,0.993112250925436,2022-09-18 03:57:21.688650,2022-09-18 03:57:38.099331,0 days 00:00:16.410681,0.5487353324088505,0.7890516198396199,1.5927892720394672,0.15796862902528977,7.0,1.0,661.0,0.6493648362987331,1.5581132865174663,0.7743086251844882,COMPLETE
208,0.9931122495896385,2022-09-18 03:57:55.015767,2022-09-18 03:58:11.703123,0 days 00:00:16.687356,0.5576305631799165,0.789262796230233,1.675071883892493,0.14019708951895452,7.0,1.0,676.0,0.5845261074487617,1.5811820468948283,0.7854679342658005,COMPLETE
252,0.9931106029021378,2022-09-18 04:10:10.890593,2022-09-18 04:10:29.637141,0 days 00:00:18.746548,0.5536345554134405,0.7883427511099645,1.4118617162898954,0.15512665318810676,8.0,1.0,691.0,0.5319171251591589,1.5863001954079026,0.799022273049951,COMPLETE
121,0.9931106010563929,2022-09-18 03:33:57.199935,2022-09-18 03:34:13.524237,0 days 00:00:16.324302,0.5924887458458671,0.7857900636644362,1.8865489339356956,0.16064749607009843,8.0,1.0,647.0,0.9011595208996581,1.5430557653162205,0.7601638279407966,COMPLETE
