iteration,roc_weighted,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
157,0.9929568645460577,2022-09-20 00:17:42.076526,2022-09-20 00:18:00.774218,0 days 00:00:18.697692,0.4556485312626329,0.6556374742928195,0.027610702907096413,0.20004384947541007,7,6,606,1.348387531601844,2.485971105847508,0.637798290552863,COMPLETE
224,0.9929568575277761,2022-09-20 00:37:09.066386,2022-09-20 00:37:24.901424,0 days 00:00:15.835038,0.46249336145899445,0.6837203530813809,0.09182929544673424,0.20634073429493335,7,5,584,1.5829572203830988,2.475387892014415,0.6390491714247961,COMPLETE
215,0.9929568399820717,2022-09-20 00:34:33.724326,2022-09-20 00:34:49.431191,0 days 00:00:15.706865,0.47879286854286823,0.6783529555752721,0.08022559941218632,0.20011198605402372,7,5,594,1.5411785081608826,2.4990420473592536,0.6498830289552674,COMPLETE
197,0.9929552504398039,2022-09-20 00:29:21.097366,2022-09-20 00:29:38.731528,0 days 00:00:17.634162,0.46166634548190855,0.6528132586013934,0.017744841136241692,0.20928922720860987,7,5,612,1.4777225940252732,2.4481614525645723,0.6275628571296389,COMPLETE
171,0.992955225875818,2022-09-20 00:21:45.788226,2022-09-20 00:22:03.056537,0 days 00:00:17.268311,0.4536115211452345,0.65109114496051,0.015340038754444809,0.20009424224949057,7,5,624,1.3882395725628804,2.549228368161509,0.6499215988447562,COMPLETE
250,0.9929551662204235,2022-09-20 00:44:24.717416,2022-09-20 00:44:40.570117,0 days 00:00:15.852701,0.4429568811069492,0.667502613477648,0.08468022304220027,0.20762752482089236,7,5,597,1.6693784501845301,2.434401040148338,0.6218234995355288,COMPLETE
249,0.9929551556930009,2022-09-20 00:44:08.761782,2022-09-20 00:44:24.716966,0 days 00:00:15.955184,0.4532310835568868,0.6434352661558106,0.12490446998017886,0.20008775393540992,7,5,602,1.7115993930687674,2.4874336375232664,0.6298336262682546,COMPLETE
11,0.9929535731690148,2022-09-19 23:26:25.597154,2022-09-19 23:27:01.029469,0 days 00:00:35.432315,0.49991244220871517,0.6981740850246615,0.03861850602608108,0.20043362665248585,13,4,532,1.556845866515383,1.8138393886976176,0.6497265579495243,COMPLETE
137,0.992953566150733,2022-09-20 00:11:41.888595,2022-09-20 00:12:01.312103,0 days 00:00:19.423508,0.3886232132124662,0.6490707171217045,0.0014899634100834745,0.2081865705732439,7,5,645,1.3887408110590667,2.2724128925439926,0.628973692173286,COMPLETE
103,0.9929535310593246,2022-09-20 00:01:19.716052,2022-09-20 00:01:39.024278,0 days 00:00:19.308226,0.44632356846309235,0.6455648729206868,0.06987805454790157,0.20005119456243417,7,5,642,1.490186486966443,2.561105591092372,0.640235990125124,COMPLETE
