iteration,recall,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
153,1.0,2022-09-19 04:03:21.199954,2022-09-19 04:04:07.405924,0 days 00:00:46.205970,0.3265853007512511,0.8287721901060072,0.06830443926281785,0.24053483445006596,14,2,523,1.272057517881864,1.731624163282229,0.78964622002926,COMPLETE
154,1.0,2022-09-19 04:04:07.406290,2022-09-19 04:04:55.628648,0 days 00:00:48.222358,0.4668149177990394,0.9085929339865736,0.08091174826731581,0.2596143522073071,13,1,618,2.108379716815282,2.416914995353229,0.7616395265611203,COMPLETE
155,1.0,2022-09-19 04:04:55.629201,2022-09-19 04:05:42.373100,0 days 00:00:46.743899,0.47407503062275097,0.9276647951683468,0.11207455852843223,0.2640877700584307,13,1,615,2.0137296159041798,2.320978535240468,0.7058719867296694,COMPLETE
247,1.0,2022-09-19 05:17:59.972742,2022-09-19 05:19:00.252799,0 days 00:01:00.280057,0.5009745416060963,0.918188402455158,0.001920091934914924,0.2526400105380564,14,1,629,2.029485684919467,1.9876150081474104,0.7721039032165464,COMPLETE
158,1.0,2022-09-19 04:07:02.434535,2022-09-19 04:08:01.134339,0 days 00:00:58.699804,0.48426072176325746,0.9006970163980358,0.027526047368805272,0.2143713622682139,14,1,631,2.020108084865015,1.4488207812338854,0.7571063213508459,COMPLETE
159,1.0,2022-09-19 04:08:01.134783,2022-09-19 04:08:56.800383,0 days 00:00:55.665600,0.4585800191174649,0.8798899212937181,0.0177691033514678,0.24885331099748445,13,1,647,1.9808711021964713,2.1385609404968586,0.7930041781280296,COMPLETE
246,1.0,2022-09-19 05:17:01.847975,2022-09-19 05:17:59.972126,0 days 00:00:58.124151,0.4472331222423189,0.9204047583519778,0.04706690868418497,0.16639443310569169,14,3,643,2.174126305435084,2.011888741680865,0.7745178079448747,COMPLETE
161,1.0,2022-09-19 04:09:33.707328,2022-09-19 04:10:27.267691,0 days 00:00:53.560363,0.44712782346290425,0.9432617408959545,0.04153015794395683,0.27132755033535705,15,2,660,2.133467591336392,1.4012940072462974,0.7911861685373802,COMPLETE
245,1.0,2022-09-19 05:16:03.812930,2022-09-19 05:17:01.847550,0 days 00:00:58.034620,0.5110064775704031,0.8122963280937069,0.04192054009758601,0.17080115893936132,14,3,643,2.1771266304945702,2.0387416333050576,0.665466691853519,COMPLETE
163,1.0,2022-09-19 04:10:57.579132,2022-09-19 04:11:40.588666,0 days 00:00:43.009534,0.3543105155944721,0.8967437594555286,0.05306882838918944,0.25554706284159484,14,1,425,1.6426478294740219,2.2840150356317404,0.7515485225920993,COMPLETE
164,1.0,2022-09-19 04:11:40.589049,2022-09-19 04:12:28.802979,0 days 00:00:48.213930,0.3349668318507496,0.8582593593351087,0.03656256978845879,0.24885811509650516,14,2,528,0.9855864041874403,2.455166060096592,0.7962861012492066,COMPLETE
165,1.0,2022-09-19 04:12:28.803460,2022-09-19 04:13:31.302906,0 days 00:01:02.499446,0.4559967424495653,0.8734026667946051,0.014867264366987666,0.20096661605068258,14,1,640,2.0513692964900434,2.2114140202591512,0.7746333674721442,COMPLETE
243,1.0,2022-09-19 05:14:20.300679,2022-09-19 05:15:15.747507,0 days 00:00:55.446828,0.5992399132064486,0.9146245986109012,0.11207387693233023,0.19586825072056976,14,5,683,2.094189592960632,2.4568287393340347,0.7801309782678034,COMPLETE
140,1.0,2022-09-19 03:53:03.974883,2022-09-19 03:53:58.931260,0 days 00:00:54.956377,0.31859914355089863,0.8679266278311976,0.018848098597464495,0.23602766413761098,14,3,645,1.0742329164505224,1.6326892818971979,0.7304425726787074,COMPLETE
138,1.0,2022-09-19 03:51:33.250289,2022-09-19 03:52:18.652526,0 days 00:00:45.402237,0.5700736290029437,0.8392282194093452,0.07828367394885277,0.29991082331499336,14,4,622,1.7111232977017101,1.320642874238414,0.7157943352053739,COMPLETE
137,1.0,2022-09-19 03:50:42.532208,2022-09-19 03:51:33.249765,0 days 00:00:50.717557,0.4916830966350573,0.7693808963177754,0.1021294688138012,0.2317661461721146,15,1,624,2.1618409116385604,1.300412952136008,0.7673017756204633,COMPLETE
117,1.0,2022-09-19 03:37:11.533415,2022-09-19 03:37:56.714551,0 days 00:00:45.181136,0.3649351057970674,0.8072841882969826,0.17310483706360658,0.27581977296746457,15,4,675,1.7004698769036206,1.5400522004589858,0.7031263874459399,COMPLETE
107,1.0,2022-09-19 03:29:03.191089,2022-09-19 03:29:54.702779,0 days 00:00:51.511690,0.4678123414531831,0.8237616556696007,0.03395317439630803,0.24686368552239923,13,1,607,1.6452435161381667,1.5872076538033186,0.7642544731377592,COMPLETE
