iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,params_reg_lambd,subsample,state
42,0.9999150743099787,2022-09-18 14:48:15.968867,2022-09-18 14:49:07.529817,0 days 00:00:51.560950,0.24455197249557564,0.7979163266061313,1.8030939534272639,0.0022747502239030618,15,4,558,0.49432548777068835,1.9676527843308054,0.790565400381927,COMPLETE
30,0.9999079547546483,2022-09-18 14:38:39.866397,2022-09-18 14:39:47.026806,0 days 00:01:07.160409,0.22541411780902867,0.7548798970537454,1.6482156314583016,0.0014695274286450405,15,3,647,0.2742291530336781,2.0940970657926656,0.7993547661582443,COMPLETE
91,0.9999055235010291,2022-09-18 15:18:04.850196,2022-09-18 15:18:53.645982,0 days 00:00:48.795786,0.23917334308278002,0.8076913948590189,1.7868578925609766,0.006953491831192656,15,4,553,0.47168231363528856,2.020511231515532,0.7924172737832047,COMPLETE
71,0.9999017039118454,2022-09-18 15:06:13.829505,2022-09-18 15:07:01.060297,0 days 00:00:47.230792,0.2666615653845031,0.8241014926362912,2.4365629805188793,0.0024684525430511035,16,4,527,0.6665500551315989,1.452685920669719,0.6004997693552836,COMPLETE
84,0.9998945775450171,2022-09-18 15:13:31.112325,2022-09-18 15:14:23.654724,0 days 00:00:52.542399,0.23647081087930827,0.8391547945613442,1.7504525469496355,0.0013731607103041961,16,4,529,0.3591395494221118,2.04575574671058,0.5943271405530328,COMPLETE
82,0.9998917474332302,2022-09-18 15:12:30.965381,2022-09-18 15:13:14.953100,0 days 00:00:43.987719,0.21629256248754242,0.7357013217586257,1.8046464095439798,0.007084532739845389,14,3,564,0.5369095899981311,1.2892523272796266,0.6402331676304437,COMPLETE
99,0.9998885635846055,2022-09-18 15:23:28.984035,2022-09-18 15:24:18.048895,0 days 00:00:49.064860,0.2637335920426402,0.7534144264604481,2.13841353291648,0.0069118783924816615,18,5,475,0.695192698056972,1.5387796668742615,0.6329003251174281,COMPLETE
10,0.9998816980054284,2022-09-18 14:28:12.379548,2022-09-18 14:29:05.511754,0 days 00:00:53.132206,0.2048986490185985,0.8906217136307697,1.8837153270922915,0.0044543259491374165,15,3,616,0.8472814422291378,2.4788596492944075,0.7913155052747248,COMPLETE
77,0.9998685926270355,2022-09-18 15:09:44.966273,2022-09-18 15:10:25.141552,0 days 00:00:40.175279,0.2774476704017338,0.6641401668139304,2.548767283199506,0.010131230847803482,17,4,498,1.1770924582279907,1.3946365073228326,0.6231081849397546,COMPLETE
95,0.9998484792366047,2022-09-18 15:21:05.337635,2022-09-18 15:21:50.527254,0 days 00:00:45.189619,0.30811674788068183,0.7062929681902433,1.7176711168659302,0.011468474970539473,17,5,450,0.388837067661467,2.082799713606143,0.6277540087240369,COMPLETE
31,0.9998483970514911,2022-09-18 14:39:47.027305,2022-09-18 14:40:46.019868,0 days 00:00:58.992563,0.22375449495669797,0.7590722538211071,1.5993970183318584,0.007645997034066223,15,3,654,0.32340533528545024,2.2669014435241523,0.7997244202243303,COMPLETE
81,0.9998350379412735,2022-09-18 15:11:47.463900,2022-09-18 15:12:30.964998,0 days 00:00:43.501098,0.24040795196121972,0.7935784256325309,2.3739547759669124,0.009654016029807658,15,3,568,0.44647062041936614,1.921217429624891,0.6718485058592352,COMPLETE
11,0.9998245915851186,2022-09-18 14:29:05.512015,2022-09-18 14:29:59.603195,0 days 00:00:54.091180,0.19001969938377214,0.8858342253418999,1.8441063105130404,0.0069186978992438,15,3,634,0.8495843633509945,2.5201003384795357,0.7847584187432836,COMPLETE
12,0.9998131361863474,2022-09-18 14:29:59.603472,2022-09-18 14:30:48.888256,0 days 00:00:49.284784,0.16289875281846788,0.8669292566982992,1.9413373121272548,0.004264872392402285,14,3,629,0.9665585349286123,2.609003329340796,0.7992623512378877,COMPLETE
66,0.9998117153404926,2022-09-18 15:03:10.740866,2022-09-18 15:03:56.797424,0 days 00:00:46.056558,0.32425044303388234,0.7050598570118426,1.95659018401672,0.01222597559637242,19,4,483,0.9058320873012469,1.1474645104342245,0.5549731370889405,COMPLETE
61,0.9998116805159953,2022-09-18 15:00:39.717851,2022-09-18 15:01:18.429879,0 days 00:00:38.712028,0.3113130585055484,0.7077463936593179,2.5148939778757056,0.01191942816245932,16,4,523,0.6057475762084126,1.7859398588152435,0.598774254444659,COMPLETE
88,0.9998080381498919,2022-09-18 15:16:38.894260,2022-09-18 15:17:13.591286,0 days 00:00:34.697026,0.3240254639925006,0.8195819277380938,2.233918829595073,0.008292192002586494,14,4,545,0.7495841028994269,1.9254417914285127,0.5329605880278195,COMPLETE
72,0.9998050885334928,2022-09-18 15:07:01.060764,2022-09-18 15:07:37.939260,0 days 00:00:36.878496,0.2834122621958568,0.7509597573942787,2.3330824409388757,0.01482038362234554,16,4,488,0.7169958285090653,1.645130202313954,0.7037989617444369,COMPLETE
9,0.9998043528125969,2022-09-18 14:27:22.084305,2022-09-18 14:28:12.379273,0 days 00:00:50.294968,0.3079920748759616,0.9235746364355788,1.4137162199026763,0.0033490382904400166,17,2,462,0.800614943827731,2.56653538160243,0.713893959913604,COMPLETE
54,0.9997950296366984,2022-09-18 14:56:44.454284,2022-09-18 14:57:24.903077,0 days 00:00:40.448793,0.27493023383228604,0.7405549371743885,2.656881580351206,0.015792087780401583,19,5,491,0.6345113391896212,1.2226192533110787,0.626800653835843,COMPLETE
34,0.9997917408449948,2022-09-18 14:42:19.877721,2022-09-18 14:43:37.884624,0 days 00:01:18.006903,0.19129805296520386,0.6842439652731538,1.2879929661830896,0.01974396345931711,18,2,655,0.2767717186542895,2.319462075203473,0.7814137373082282,COMPLETE
75,0.9997915363769022,2022-09-18 15:08:25.785711,2022-09-18 15:09:15.969266,0 days 00:00:50.183555,0.31451822763236376,0.7186887894059465,2.247631318650785,0.011268816810665308,17,3,515,0.22579307015101494,1.8213091623817648,0.6368509417096819,COMPLETE
16,0.9997883128534419,2022-09-18 14:32:16.569274,2022-09-18 14:32:32.994188,0 days 00:00:16.424914,0.23474607274292564,0.9144360622024066,2.2456817245550624,0.03739626319903727,7,6,593,1.3888833933882485,2.965351753178597,0.6500270679480687,COMPLETE
63,0.9997882815519298,2022-09-18 15:01:31.912448,2022-09-18 15:01:59.772065,0 days 00:00:27.859617,0.25587115716809966,0.6194950964817991,2.420375179994529,0.026836395140051664,16,5,439,0.5053724235326504,1.6239906651072664,0.6208038437408273,COMPLETE
21,0.9997843237031621,2022-09-18 14:33:53.221214,2022-09-18 14:34:38.003336,0 days 00:00:44.782122,0.17157320981007299,0.8741582429491405,1.9825146083598875,0.009974323193089281,14,3,631,0.9427127527209176,2.494506092546561,0.7871216415628718,COMPLETE
96,0.9997817649507796,2022-09-18 15:21:50.527689,2022-09-18 15:22:28.299942,0 days 00:00:37.772253,0.2945602185728781,0.701288860078855,1.6779236818893417,0.020541779569136314,16,5,463,0.21001377993047898,1.4772057862030086,0.6177749369114246,COMPLETE
43,0.9997784707094644,2022-09-18 14:49:07.530118,2022-09-18 14:49:44.330375,0 days 00:00:36.800257,0.32312433788349354,0.7894618623336187,1.857490829892625,0.017368497718597126,14,4,554,0.49856772382275205,2.0100005710838693,0.7872637674196273,COMPLETE
20,0.9997783196630459,2022-09-18 14:33:29.096897,2022-09-18 14:33:53.220933,0 days 00:00:24.124036,0.1624807911090066,0.7764328043249014,1.721038109759423,0.037830601329648494,10,4,643,1.6730780680238517,1.3490447532046645,0.6798130438872778,COMPLETE
93,0.9997782712548839,2022-09-18 15:19:40.040307,2022-09-18 15:20:19.012299,0 days 00:00:38.971992,0.2719945577279391,0.7208736202138577,1.8291294089765444,0.016317595063355124,15,4,509,0.5993769934064744,1.782877422846613,0.7791981938249448,COMPLETE
